A;RTSALEDATA;253;20230605 01:12;VALNET;;;;;;;;;;;;;;;;;;;
B;253;2679811;1;20230605 01:12;;;34;OPAL ST;LIGHTNING RIDGE;2834;2162;M;20220702;20230601;1225000;E1;3;COMMERCIAL;;ELL;;0;AT138735
C;253;2679811;1;20230605 01:12;33/752756;;;;;;;;;;;;;;;;;;
D;253;2679811;1;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;253;2679811;1;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;253;2679811;1;20230605 01:12;V;;;;;;;;;;;;;;;;;;
B;253;2680032;2;20230605 01:12;;;11 A;SILICA ST;LIGHTNING RIDGE;2834;809.4;M;20220702;20230601;1225000;E1;3;COMMERCIAL;;ELL;;0;AT138735
C;253;2680032;2;20230605 01:12;9/19/758612;;;;;;;;;;;;;;;;;;
D;253;2680032;2;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;253;2680032;2;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;253;2680032;2;20230605 01:12;V;;;;;;;;;;;;;;;;;;
B;253;2682216;3;20230605 01:12;LOT 7;;;WLL 16388;LIGHTNING RIDGE;2834;1643;M;20230310;20230512;17000;SP1;3;OTHER;;SSF;;0;AT80694
C;253;2682216;3;20230605 01:12;7/1076808 Western Land Lease 16388;;;;;;;;;;;;;;;;;;
D;253;2682216;3;20230605 01:12;P;;;;;;;;;;;;;;;;;;
D;253;2682216;3;20230605 01:12;V;;;;;;;;;;;;;;;;;;
Z;16;3;3;8;;;;;;;;;;;;;;;;;;;
