A;RTSALEDATA;232;20231211 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;232;2610205;1;20231211 01:08;;;350;SHANNONVALE RD;FIVE WAYS;2873;2666;H;20230927;20231101;1225000;RU1;3;FARM;;RFA;;0;AT565891
C;232;2610205;1;20231211 01:08;22/724651;;;;;;;;;;;;;;;;;;
D;232;2610205;1;20231211 01:08;P;;;;;;;;;;;;;;;;;;
D;232;2610205;1;20231211 01:08;V;;;;;;;;;;;;;;;;;;
B;232;3903805;2;20231211 01:08;;;2023;COCKIES RD;BUDDABADAH;2825;641.85;H;20231004;20231204;1268800;RU1;3;FARM;;RTE;;0;AT658376
C;232;3903805;2;20231211 01:08;7/752863;;;;;;;;;;;;;;;;;;
D;232;3903805;2;20231211 01:08;P;;;;;;;;;;;;;;;;;;
D;232;3903805;2;20231211 01:08;P;;;;;;;;;;;;;;;;;;
D;232;3903805;2;20231211 01:08;V;;;;;;;;;;;;;;;;;;
Z;11;2;2;5;;;;;;;;;;;;;;;;;;;
