A;RTSALEDATA;148;20230501 01:16;VALNET;;;;;;;;;;;;;;;;;;;
B;148;1658830;1;20230501 01:16;;;3;YEATES CT;WOLLONGBAR;2477;1113;M;20230324;20230424;940000;R2;R;RESIDENCE;;ADW;;0;AT31008
C;148;1658830;1;20230501 01:16;162/814523;;;;;;;;;;;;;;;;;;
D;148;1658830;1;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1658830;1;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1658830;1;20230501 01:16;V;;;;;;;;;;;;;;;;;;
D;148;1658830;1;20230501 01:16;V;;;;;;;;;;;;;;;;;;
B;148;1656552;2;20230501 01:16;;;12;KYLA ST;ALSTONVILLE;2477;861;M;20230324;20230427;1100000;R2;R;RESIDENCE;;ADR;;0;AT40828
C;148;1656552;2;20230501 01:16;126/244651;;;;;;;;;;;;;;;;;;
D;148;1656552;2;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1656552;2;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1656552;2;20230501 01:16;V;;;;;;;;;;;;;;;;;;
D;148;1656552;2;20230501 01:16;V;;;;;;;;;;;;;;;;;;
B;148;1643349;3;20230501 01:16;;2;14;CAMOOLA AVE;BALLINA;2478;;;20230324;20230421;625000;;R;RESIDENCE;2;;;0;AT27834
C;148;1643349;3;20230501 01:16;2/SP56954;;;;;;;;;;;;;;;;;;
D;148;1643349;3;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1643349;3;20230501 01:16;V;;;;;;;;;;;;;;;;;;
D;148;1643349;3;20230501 01:16;V;;;;;;;;;;;;;;;;;;
B;148;1652038;4;20230501 01:16;;11;7;PARK LANE;LENNOX HEAD;2478;83;M;20230308;20230421;450000;;R;RESIDENCE;11;;;0;AT26994
C;148;1652038;4;20230501 01:16;11/SP62832;;;;;;;;;;;;;;;;;;
D;148;1652038;4;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1652038;4;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1652038;4;20230501 01:16;V;;;;;;;;;;;;;;;;;;
B;148;1647002;5;20230501 01:16;;;486;RIVER ST;WEST BALLINA;2478;2447;M;20230209;20230406;6000;B6;V;VACANT LAND;;CCX;BVP;0;AS992102
C;148;1647002;5;20230501 01:16;123/31154 201/226033 2/549702;;;;;;;;;;;;;;;;;;
B;148;1655787;6;20230501 01:16;;;18;ASHLAND ST;ALSTONVILLE;2477;640;M;20230322;20230427;790000;R2;R;RESIDENCE;;ADR;;0;AT37941
C;148;1655787;6;20230501 01:16;151/244651;;;;;;;;;;;;;;;;;;
D;148;1655787;6;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1655787;6;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;1655787;6;20230501 01:16;V;;;;;;;;;;;;;;;;;;
D;148;1655787;6;20230501 01:16;V;;;;;;;;;;;;;;;;;;
B;148;4200052;7;20230501 01:16;;;10;LEACH CRES;WEST BALLINA;2478;622;M;20230329;20230427;935000;R2;R;RESIDENCE;;AAC;;0;AT39043
C;148;4200052;7;20230501 01:16;29/1251946;;;;;;;;;;;;;;;;;;
D;148;4200052;7;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;4200052;7;20230501 01:16;P;;;;;;;;;;;;;;;;;;
D;148;4200052;7;20230501 01:16;V;;;;;;;;;;;;;;;;;;
D;148;4200052;7;20230501 01:16;V;;;;;;;;;;;;;;;;;;
B;148;3067373;8;20230501 01:16;;7;26;RIVER ST;BALLINA;2478;;;20230419;20230427;800000;;3;OFFICE;7;;;0;AT41569
C;148;3067373;8;20230501 01:16;7/SP72053;;;;;;;;;;;;;;;;;;
