A;RTSALEDATA;252;20230313 01:07;VALNET;;;;;;;;;;;;;;;;;;;
B;252;2676261;1;20230313 01:07;HOMEHILL;;1275;TOPS RD;NOWENDOC;2354;273;H;20221208;20230217;3300000;RU1;3;FARM;;RWN;;0;AS866549
C;252;2676261;1;20230313 01:07;75/753716 1371/857769 Enclosure Permit 57161;;;;;;;;;;;;;;;;;;
D;252;2676261;1;20230313 01:07;P;;;;;;;;;;;;;;;;;;
D;252;2676261;1;20230313 01:07;V;;;;;;;;;;;;;;;;;;
D;252;2676261;1;20230313 01:07;V;;;;;;;;;;;;;;;;;;
B;252;4472220;2;20230313 01:07;FOREST HILL;;;GLENROY RD;WALCHA ROAD;2354;76.004;H;20230130;20230302;305000;;3;FARM;;;;0;AS896265
C;252;4472220;2;20230313 01:07;248, 251/753836 1/1188631;;;;;;;;;;;;;;;;;;
D;252;4472220;2;20230313 01:07;P;;;;;;;;;;;;;;;;;;
D;252;4472220;2;20230313 01:07;V;;;;;;;;;;;;;;;;;;
D;252;4472220;2;20230313 01:07;V;;;;;;;;;;;;;;;;;;
Z;12;2;2;6;;;;;;;;;;;;;;;;;;;
