A;RTSALEDATA;118;20230227 01:07;VALNET;;;;;;;;;;;;;;;;;;;
B;118;1250440;1;20230227 01:07;;;135;ADELAIDE ST;BLAYNEY;2799;398.4;M;20230217;20230221;140000;B2;3;SHOP;;BLC;;0;AS875068
C;118;1250440;1;20230227 01:07;1/964638;;;;;;;;;;;;;;;;;;
D;118;1250440;1;20230227 01:07;P;;;;;;;;;;;;;;;;;;
D;118;1250440;1;20230227 01:07;P;;;;;;;;;;;;;;;;;;
D;118;1250440;1;20230227 01:07;V;;;;;;;;;;;;;;;;;;
B;118;1250483;2;20230227 01:07;;;28;ADELAIDE ST;BLAYNEY;2799;2024;M;20230213;20230222;330000;B2;3;COMMERCIAL;;BLC;;0;AS878242
C;118;1250483;2;20230227 01:07;6/8/758121;;;;;;;;;;;;;;;;;;
D;118;1250483;2;20230227 01:07;P;;;;;;;;;;;;;;;;;;
D;118;1250483;2;20230227 01:07;V;;;;;;;;;;;;;;;;;;
B;118;1250072;3;20230227 01:07;ROKEBY;;109;CARCOAR RD;MILLTHORPE;2798;37.47;H;20221208;20230222;1200000;RU1;3;FARM;;RHN;;0;AS876739
C;118;1250072;3;20230227 01:07;2/216400;;;;;;;;;;;;;;;;;;
D;118;1250072;3;20230227 01:07;P;;;;;;;;;;;;;;;;;;
D;118;1250072;3;20230227 01:07;V;;;;;;;;;;;;;;;;;;
Z;15;3;3;7;;;;;;;;;;;;;;;;;;;
