A;RTSALEDATA;085;20230710 01:10;VALNET;;;;;;;;;;;;;;;;;;;
B;085;727215;1;20230710 01:10;;;29;KARA ST;LANE COVE NORTH;2066;696.8;M;20230401;20230703;3220000;R2;R;RESIDENCE;;RAG;;0;AT230646
C;085;727215;1;20230710 01:10;13/8/7817;;;;;;;;;;;;;;;;;;
D;085;727215;1;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;727215;1;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;727215;1;20230710 01:10;V;;;;;;;;;;;;;;;;;;
D;085;727215;1;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;725176;2;20230710 01:10;;;6;FOX ST;LANE COVE;2066;606.2;M;20230527;20230706;3710000;R2;R;RESIDENCE;;RAF;;0;AT241988
C;085;725176;2;20230710 01:10;10/10308;;;;;;;;;;;;;;;;;;
D;085;725176;2;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;725176;2;20230710 01:10;V;;;;;;;;;;;;;;;;;;
D;085;725176;2;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;733322;3;20230710 01:10;;14;6;STOKES ST;LANE COVE NORTH;2066;;;20230525;20230706;735000;;R;RESIDENCE;14;;;0;AT242312
C;085;733322;3;20230710 01:10;14/SP15298;;;;;;;;;;;;;;;;;;
D;085;733322;3;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;733322;3;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;733322;3;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;2830910;4;20230710 01:10;;3 S;91;LONGUEVILLE RD;LANE COVE;2066;;;20230609;20230704;560000;;3;COMMERCIAL;3;;;0;AT235034
C;085;2830910;4;20230710 01:10;3/SP66609;;;;;;;;;;;;;;;;;;
D;085;2830910;4;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;2830910;4;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;4187503;5;20230710 01:10;;403;15;FINLAYSON ST;LANE COVE;2066;81;M;20230512;20230630;815000;;R;RESIDENCE;226;;;0;AT226481
C;085;4187503;5;20230710 01:10;226/SP98941;;;;;;;;;;;;;;;;;;
D;085;4187503;5;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;4187503;5;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;4187503;5;20230710 01:10;V;;;;;;;;;;;;;;;;;;
D;085;4187503;5;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;4031439;6;20230710 01:10;;107;542;MOWBRAY RD W;LANE COVE NORTH;2066;81;M;20230602;20230630;675000;;R;RESIDENCE;7;;;0;AT227096
C;085;4031439;6;20230710 01:10;7/SP95590;;;;;;;;;;;;;;;;;;
D;085;4031439;6;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;4031439;6;20230710 01:10;V;;;;;;;;;;;;;;;;;;
D;085;4031439;6;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;4031439;7;20230710 01:10;;401;536;MOWBRAY RD W;LANE COVE NORTH;2066;164;M;20230417;20230703;1270000;;R;RESIDENCE;65;;;0;AT229994
C;085;4031439;7;20230710 01:10;65/SP95590;;;;;;;;;;;;;;;;;;
D;085;4031439;7;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;4031439;7;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;4031439;7;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;722148;8;20230710 01:10;;16;108;BURNS BAY RD;LANE COVE;2066;;;20230523;20230704;520000;;R;RESIDENCE;16;;;0;AT234882
C;085;722148;8;20230710 01:10;16/SP3981;;;;;;;;;;;;;;;;;;
D;085;722148;8;20230710 01:10;P;;;;;;;;;;;;;;;;;;
D;085;722148;8;20230710 01:10;V;;;;;;;;;;;;;;;;;;
B;085;722068;9;20230710 01:10;;7;126;BURNS BAY RD;LANE COVE;2066;;;20230704;20230704;420000;;R;RESIDENCE;7;;;0;AT236475
C;085;722068;9;20230710 01:10;7/SP4738;;;;;;;;;;;;;;;;;;
