A;RTSALEDATA;085;20230508 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;085;727850;1;20230508 01:08;;4;16;LANDERS RD;LANE COVE NORTH;2066;;;20230326;20230504;1202000;;R;RESIDENCE;4;;;0;AT59009
C;085;727850;1;20230508 01:08;4/SP6310;;;;;;;;;;;;;;;;;;
D;085;727850;1;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;727850;1;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;727850;1;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;728127;2;20230508 01:08;;16;56;CHRISTIE ST;ST LEONARDS;2065;;;20230317;20230428;1062500;;R;RESIDENCE;16;;;0;AT43014
C;085;728127;2;20230508 01:08;16/SP61234;;;;;;;;;;;;;;;;;;
D;085;728127;2;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;728127;2;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;2903721;3;20230508 01:08;;1;31;CHAPLIN DR;LANE COVE WEST;2066;;;20230426;20230501;1350000;;R;RESIDENCE;1;;;0;AT48875
C;085;2903721;3;20230508 01:08;1/SP66991;;;;;;;;;;;;;;;;;;
D;085;2903721;3;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;2903721;3;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4187503;4;20230508 01:08;;406;8;BIRDWOOD AVE;LANE COVE;2066;129;M;20230405;20230503;1390000;;R;RESIDENCE;133;;;0;AT55020
C;085;4187503;4;20230508 01:08;133/SP98941;;;;;;;;;;;;;;;;;;
D;085;4187503;4;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4187503;4;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4177923;5;20230508 01:08;;1108;1;MARSHALL AVE;ST LEONARDS;2065;61;M;20230317;20230428;720000;;R;RESIDENCE;69;;;0;AT46518
C;085;4177923;5;20230508 01:08;69/SP94161;;;;;;;;;;;;;;;;;;
D;085;4177923;5;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4177923;5;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4206039;6;20230508 01:08;;212;2;BURLEY ST;LANE COVE NORTH;2066;78;M;20230317;20230428;762000;;R;RESIDENCE;21;;;0;AT44475
C;085;4206039;6;20230508 01:08;21/SP94529;;;;;;;;;;;;;;;;;;
D;085;4206039;6;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4206039;6;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4225666;7;20230508 01:08;;;23 A;MARS RD;LANE COVE WEST;2066;;;20230303;20230428;1050000;;R;RESIDENCE;18;;;0;AT43695
C;085;4225666;7;20230508 01:08;18/SP99780;;;;;;;;;;;;;;;;;;
D;085;4225666;7;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4225666;7;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4046607;8;20230508 01:08;;401;9;MAFEKING AVE;LANE COVE;2066;71;M;20230322;20230503;598000;;R;RESIDENCE;43;;;0;AT56210
C;085;4046607;8;20230508 01:08;43/SP95880;;;;;;;;;;;;;;;;;;
D;085;4046607;8;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4046607;8;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4046607;8;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4070612;9;20230508 01:08;;102;390;PACIFIC HWY;LANE COVE;2066;93;M;20230323;20230504;695000;;R;RESIDENCE;5;;;0;AT58451
C;085;4070612;9;20230508 01:08;5/SP96489;;;;;;;;;;;;;;;;;;
D;085;4070612;9;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4070612;9;20230508 01:08;V;;;;;;;;;;;;;;;;;;
B;085;4035819;10;20230508 01:08;;5;326;PACIFIC HWY;LANE COVE;2066;73;M;20230324;20230504;725000;;R;RESIDENCE;5;;;0;AT60317
C;085;4035819;10;20230508 01:08;5/SP92416;;;;;;;;;;;;;;;;;;
D;085;4035819;10;20230508 01:08;P;;;;;;;;;;;;;;;;;;
D;085;4035819;10;20230508 01:08;V;;;;;;;;;;;;;;;;;;
