A;RTSALEDATA;088;20230213 01:05;VALNET;;;;;;;;;;;;;;;;;;;
B;088;785138;1;20230213 01:05;;4 B;26;ROSS ST;WOLLSTONECRAFT;2065;;;20220831;20230203;3060000;;R;RESIDENCE;77;;;0;AS837627
C;088;785138;1;20230213 01:05;77/SP58146;;;;;;;;;;;;;;;;;;
D;088;785138;1;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;785138;1;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;785138;1;20230213 01:05;V;;;;;;;;;;;;;;;;;;
D;088;785138;1;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;772076;2;20230213 01:05;;24;154;BEN BOYD RD;NEUTRAL BAY;2089;;;20230124;20230203;870000;;R;RESIDENCE;8;;;0;AS837560
C;088;772076;2;20230213 01:05;8/SP219;;;;;;;;;;;;;;;;;;
D;088;772076;2;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;772076;2;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;782732;3;20230213 01:05;;18;16;HARRISON ST;CREMORNE;2090;;;20221216;20230203;955000;;R;RESIDENCE;18;;;0;AS836864
C;088;782732;3;20230213 01:05;18/SP4272;;;;;;;;;;;;;;;;;;
D;088;782732;3;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;782732;3;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;780905;4;20230213 01:05;;11;101;GERARD ST;CREMORNE;2090;;;20230114;20230203;610000;;R;RESIDENCE;11;;;0;AS836409
C;088;780905;4;20230213 01:05;11/SP878;;;;;;;;;;;;;;;;;;
D;088;780905;4;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;780905;4;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;780905;4;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;783591;5;20230213 01:05;;36;52;HIGH ST;NORTH SYDNEY;2060;31;M;20221213;20230206;294500;;R;RESIDENCE;36;;;0;AS839919
C;088;783591;5;20230213 01:05;36/SP10193;;;;;;;;;;;;;;;;;;
D;088;783591;5;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;783591;5;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;788048;6;20230213 01:05;;6;5;MIDDLEMISS ST;LAVENDER BAY;2060;;;20221230;20230207;1850000;;R;RESIDENCE;6;;;0;AS844020
C;088;788048;6;20230213 01:05;6/SP52429;;;;;;;;;;;;;;;;;;
D;088;788048;6;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;788048;6;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;793894;7;20230213 01:05;;2;11;PREMIER ST;NEUTRAL BAY;2089;;;20221229;20230207;1281618;;R;RESIDENCE;2;;;0;AS844830
C;088;793894;7;20230213 01:05;2/SP8435;;;;;;;;;;;;;;;;;;
D;088;793894;7;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;793894;7;20230213 01:05;V;;;;;;;;;;;;;;;;;;
D;088;793894;7;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;793894;8;20230213 01:05;;3;11;PREMIER ST;NEUTRAL BAY;2089;;;20221229;20230207;1537942;;R;RESIDENCE;3;;;0;AS844864
C;088;793894;8;20230213 01:05;3/SP8435;;;;;;;;;;;;;;;;;;
D;088;793894;8;20230213 01:05;P;;;;;;;;;;;;;;;;;;
D;088;793894;8;20230213 01:05;V;;;;;;;;;;;;;;;;;;
D;088;793894;8;20230213 01:05;V;;;;;;;;;;;;;;;;;;
B;088;793894;9;20230213 01:05;;4;11;PREMIER ST;NEUTRAL BAY;2089;;;20221229;20230207;1281618;;R;RESIDENCE;4;;;0;AS844826
C;088;793894;9;20230213 01:05;4/SP8435;;;;;;;;;;;;;;;;;;
