A;RTSALEDATA;708;20230807 01:18;VALNET;;;;;;;;;;;;;;;;;;;
B;708;2031866;1;20230807 01:18;;2103;183;KENT ST;MILLERS POINT;2000;;;20230509;20230801;2710000;;R;RESIDENCE;105;;;0;AT316389
C;708;2031866;1;20230807 01:18;105/SP61643;;;;;;;;;;;;;;;;;;
D;708;2031866;1;20230807 01:18;P;;;;;;;;;;;;;;;;;;
D;708;2031866;1;20230807 01:18;V;;;;;;;;;;;;;;;;;;
D;708;2031866;1;20230807 01:18;V;;;;;;;;;;;;;;;;;;
B;708;2037249;2;20230807 01:18;ONE DARLING HARBOUR;501;50;MURRAY ST;SYDNEY;2000;;;20230706;20230801;1470000;;R;RESIDENCE;56;;;0;AT315346
C;708;2037249;2;20230807 01:18;56/SP49259;;;;;;;;;;;;;;;;;;
D;708;2037249;2;20230807 01:18;P;;;;;;;;;;;;;;;;;;
D;708;2037249;2;20230807 01:18;V;;;;;;;;;;;;;;;;;;
B;708;2037249;3;20230807 01:18;;410;50;MURRAY ST;SYDNEY;2000;;;20230706;20230801;1470000;;R;RESIDENCE;410;;;0;AT315346
C;708;2037249;3;20230807 01:18;410/SP49259;;;;;;;;;;;;;;;;;;
D;708;2037249;3;20230807 01:18;P;;;;;;;;;;;;;;;;;;
D;708;2037249;3;20230807 01:18;V;;;;;;;;;;;;;;;;;;
B;708;2038054;4;20230807 01:18;;11;60;PARK ST;SYDNEY;2000;30;M;20230712;20230802;550000;;R;RESIDENCE;11;;;0;AT317916
C;708;2038054;4;20230807 01:18;11/SP9314;;;;;;;;;;;;;;;;;;
D;708;2038054;4;20230807 01:18;P;;;;;;;;;;;;;;;;;;
D;708;2038054;4;20230807 01:18;V;;;;;;;;;;;;;;;;;;
B;708;2040700;5;20230807 01:18;;80;2;BRISBANE ST;SURRY HILLS;2010;;;20230617;20230731;690000;;R;RESIDENCE;151;;;0;AT309645
C;708;2040700;5;20230807 01:18;151/SP64038;;;;;;;;;;;;;;;;;;
D;708;2040700;5;20230807 01:18;P;;;;;;;;;;;;;;;;;;
D;708;2040700;5;20230807 01:18;V;;;;;;;;;;;;;;;;;;
D;708;2040700;5;20230807 01:18;V;;;;;;;;;;;;;;;;;;
B;708;2025311;6;20230807 01:18;;574;6 C;COWPER WHARF RDWY;WOOLLOOMOOLOO;2011;;;20230605;20230728;1625000;;R;RESIDENCE;81;;;0;AT305246
