A;RTSALEDATA;238;20230320 01:07;VALNET;;;;;;;;;;;;;;;;;;;
B;238;4473718;1;20230320 01:07;;;;BEANBAH RD;COONAMBLE;2829;9.078;H;20190228;20221028;7029;;V;VACANT LAND;;;;0;AS844113
C;238;4473718;1;20230320 01:07;4/1259742;;;;;;;;;;;;;;;;;;
D;238;4473718;1;20230320 01:07;P;;;;;;;;;;;;;;;;;;
D;238;4473718;1;20230320 01:07;V;;;;;;;;;;;;;;;;;;
B;238;4473766;2;20230320 01:07;;;;CASTLEREAGH HWY;COONAMBLE;2829;237.6;H;20221205;20230120;1203592;;3;FARM;;;;0;AS803141
C;238;4473766;2;20230320 01:07;101/1050313;;;;;;;;;;;;;;;;;;
D;238;4473766;2;20230320 01:07;P;;;;;;;;;;;;;;;;;;
D;238;4473766;2;20230320 01:07;V;;;;;;;;;;;;;;;;;;
B;238;4473768;3;20230320 01:07;;;;CASTLEREAGH HWY;COONAMBLE;2829;1088.8;H;20220901;20230120;7106407;;3;FARM;;;;0;AS803145
C;238;4473768;3;20230320 01:07;37, 38/754278 23, 72, 73/754280 100/1050313 2/1235275;;;;;;;;;;;;;;;;;;
D;238;4473768;3;20230320 01:07;P;;;;;;;;;;;;;;;;;;
D;238;4473768;3;20230320 01:07;P;;;;;;;;;;;;;;;;;;
D;238;4473768;3;20230320 01:07;V;;;;;;;;;;;;;;;;;;
Z;15;3;3;7;;;;;;;;;;;;;;;;;;;
