A;RTSALEDATA;087;20231009 01:05;VALNET;;;;;;;;;;;;;;;;;;;
B;087;766352;1;20231009 01:05;;7;73 B;SPOFFORTH ST;MOSMAN;2088;;;20230707;20230929;640000;;R;RESIDENCE;7;;;0;AT481357
C;087;766352;1;20231009 01:05;7/SP12107;;;;;;;;;;;;;;;;;;
D;087;766352;1;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;766352;1;20231009 01:05;V;;;;;;;;;;;;;;;;;;
D;087;766352;1;20231009 01:05;V;;;;;;;;;;;;;;;;;;
B;087;761176;2;20231009 01:05;;12;31;MOSMAN ST;MOSMAN;2088;;;20230908;20230929;831000;;R;RESIDENCE;12;;;0;AT481087
C;087;761176;2;20231009 01:05;12/SP2879;;;;;;;;;;;;;;;;;;
D;087;761176;2;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;761176;2;20231009 01:05;V;;;;;;;;;;;;;;;;;;
B;087;759359;3;20231009 01:05;;3;66;MIDDLE HEAD RD;MOSMAN;2088;;;20230822;20230929;1200000;;R;RESIDENCE;3;;;0;AT480600
C;087;759359;3;20231009 01:05;3/SP53673;;;;;;;;;;;;;;;;;;
D;087;759359;3;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;759359;3;20231009 01:05;V;;;;;;;;;;;;;;;;;;
B;087;754223;4;20231009 01:05;;8 C;139;AVENUE RD;MOSMAN;2088;;;20230809;20231004;2200000;;R;RESIDENCE;8;;;0;AT490316
C;087;754223;4;20231009 01:05;8/SP3986;;;;;;;;;;;;;;;;;;
D;087;754223;4;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;754223;4;20231009 01:05;V;;;;;;;;;;;;;;;;;;
B;087;754963;5;20231009 01:05;;1;38;BELMONT RD;MOSMAN;2088;;;20230814;20230929;1640000;;R;RESIDENCE;1;;;0;AT481709
C;087;754963;5;20231009 01:05;1/SP11174;;;;;;;;;;;;;;;;;;
D;087;754963;5;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;754963;5;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;754963;5;20231009 01:05;V;;;;;;;;;;;;;;;;;;
B;087;760407;6;20231009 01:05;;17;480;MILITARY RD;MOSMAN;2088;;;20230818;20230929;895000;;R;RESIDENCE;17;;;0;AT482771
C;087;760407;6;20231009 01:05;17/SP539;;;;;;;;;;;;;;;;;;
D;087;760407;6;20231009 01:05;P;;;;;;;;;;;;;;;;;;
D;087;760407;6;20231009 01:05;V;;;;;;;;;;;;;;;;;;
Z;28;6;6;14;;;;;;;;;;;;;;;;;;;
