A;RTSALEDATA;902;20230313 01:09;VALNET;;;;;;;;;;;;;;;;;;;
B;902;3469634;1;20230313 01:09;;;12490;GWYDIR HWY;GLEN ELGIN;2370;39.23;H;20210630;20211011;354951;;3;COMMERCIAL;;;;0;AS730364
C;902;3469634;1;20230313 01:09;1/601579;;;;;;;;;;;;;;;;;;
D;902;3469634;1;20230313 01:09;P;;;;;;;;;;;;;;;;;;
D;902;3469634;1;20230313 01:09;V;;;;;;;;;;;;;;;;;;
B;902;3490817;2;20230313 01:09;;;12490;GWYDIR HWY;GLEN ELGIN;2370;1.44;H;20210630;20211011;354951;;3;COMMERCIAL;;;;0;AS730364
C;902;3490817;2;20230313 01:09;1/786917;;;;;;;;;;;;;;;;;;
D;902;3490817;2;20230313 01:09;P;;;;;;;;;;;;;;;;;;
D;902;3490817;2;20230313 01:09;V;;;;;;;;;;;;;;;;;;
B;902;3490821;3;20230313 01:09;;;12490;GWYDIR HWY;GLEN ELGIN;2370;2.66;H;20210630;20211011;354951;;3;COMMERCIAL;;;;0;AS730364
C;902;3490821;3;20230313 01:09;1/778550;;;;;;;;;;;;;;;;;;
D;902;3490821;3;20230313 01:09;P;;;;;;;;;;;;;;;;;;
D;902;3490821;3;20230313 01:09;V;;;;;;;;;;;;;;;;;;
B;902;3490828;4;20230313 01:09;;;12490;GWYDIR HWY;GLEN ELGIN;2370;1.446;H;20210630;20211011;354951;;3;COMMERCIAL;;;;0;AS730364
C;902;3490828;4;20230313 01:09;1/778547;;;;;;;;;;;;;;;;;;
D;902;3490828;4;20230313 01:09;P;;;;;;;;;;;;;;;;;;
D;902;3490828;4;20230313 01:09;V;;;;;;;;;;;;;;;;;;
B;902;3490830;5;20230313 01:09;;;;NETLEY RD;BROKEN HILL;2880;2.56;H;20210630;20211011;354951;;3;COMMERCIAL;;;;0;AS730364
C;902;3490830;5;20230313 01:09;1/775150;;;;;;;;;;;;;;;;;;
D;902;3490830;5;20230313 01:09;P;;;;;;;;;;;;;;;;;;
D;902;3490830;5;20230313 01:09;V;;;;;;;;;;;;;;;;;;
Z;22;5;5;10;;;;;;;;;;;;;;;;;;;
