A;RTSALEDATA;097;20230731 01:09;VALNET;;;;;;;;;;;;;;;;;;;
B;097;3546312;1;20230731 01:09;;8;89;CAMPBELL ST;NAROOMA;2546;;;20230531;20230726;1950000;;R;RESIDENCE;8;;;0;AT297208
C;097;3546312;1;20230731 01:09;8/SP84520;;;;;;;;;;;;;;;;;;
D;097;3546312;1;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;3546312;1;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;3546312;1;20230731 01:09;V;;;;;;;;;;;;;;;;;;
D;097;3546312;1;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1000392;2;20230731 01:09;;;12;BURRAWANG CRES;SUNSHINE BAY;2536;557;M;20230529;20230721;799000;R2;R;RESIDENCE;;EYG;;0;AT287323
C;097;1000392;2;20230731 01:09;111/250697;;;;;;;;;;;;;;;;;;
D;097;1000392;2;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000392;2;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000392;2;20230731 01:09;V;;;;;;;;;;;;;;;;;;
D;097;1000392;2;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1000731;3;20230731 01:09;;;20;CLARE CRES;BATEHAVEN;2536;556.4;M;20230707;20230721;590000;R2;R;RESIDENCE;;EYM;;0;AT284854
C;097;1000731;3;20230731 01:09;206/214268;;;;;;;;;;;;;;;;;;
D;097;1000731;3;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000731;3;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000731;3;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1000024;4;20230731 01:09;CASEYS BEACH HOLIDAY PARK;;414;BEACH RD;SUNSHINE BAY;2536;1.486;H;20171205;20171220;2150000;RE2;3;CARAVAN PARK;;EWA;BP;0;AN30660
C;097;1000024;4;20230731 01:09;1/505968 1/509779;;;;;;;;;;;;;;;;;;
D;097;1000024;4;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000024;4;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000024;4;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1000066;5;20230731 01:09;;;522;BEACH RD;DENHAMS BEACH;2536;712.4;M;20230704;20230724;764000;R2;R;RESIDENCE;;EYJ;;0;AT291407
C;097;1000066;5;20230731 01:09;201/813261;;;;;;;;;;;;;;;;;;
D;097;1000066;5;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000066;5;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1000066;5;20230731 01:09;V;;;;;;;;;;;;;;;;;;
D;097;1000066;5;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1005472;6;20230731 01:09;;;390;GEORGE BASS DR;MALUA BAY;2536;626;M;20230627;20230725;725000;R2;R;RESIDENCE;;EXV;;0;AT292734
C;097;1005472;6;20230731 01:09;190/202012;;;;;;;;;;;;;;;;;;
D;097;1005472;6;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1005472;6;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1005472;6;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1005472;6;20230731 01:09;V;;;;;;;;;;;;;;;;;;
D;097;1005472;6;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1008486;7;20230731 01:09;;;115;NORTHCOVE RD;LONG BEACH;2536;822;M;20230621;20230726;975000;R2;R;RESIDENCE;;ETX;;0;AT297022
C;097;1008486;7;20230731 01:09;155/222540;;;;;;;;;;;;;;;;;;
D;097;1008486;7;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1008486;7;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1008486;7;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1006372;8;20230731 01:09;;;90;YUGURA ST;MALUA BAY;2536;676.6;M;20230524;20230727;1830000;R2;R;RESIDENCE;;ETY;;0;AT302550
C;097;1006372;8;20230731 01:09;444/211219;;;;;;;;;;;;;;;;;;
D;097;1006372;8;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1006372;8;20230731 01:09;P;;;;;;;;;;;;;;;;;;
D;097;1006372;8;20230731 01:09;V;;;;;;;;;;;;;;;;;;
B;097;1009497;9;20230731 01:09;;;7;CORONATION DR;BROULEE;2537;569.1;M;20230123;20230724;1500000;R2;R;RESIDENCE;;EXS;;0;AT289332
C;097;1009497;9;20230731 01:09;6/38770;;;;;;;;;;;;;;;;;;
