A;RTSALEDATA;137;20230529 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;137;4188377;1;20230529 01:08;;1001;29;GEORGE ST;BURWOOD;2134;;;20230412;20230524;1050000;;R;RESIDENCE;19;;;0;AT113591
C;137;4188377;1;20230529 01:08;19/SP98095;;;;;;;;;;;;;;;;;;
D;137;4188377;1;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4188377;1;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4188377;1;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;4241609;2;20230529 01:08;;601;2 A;ELSIE ST;BURWOOD;2134;82;M;20230420;20230525;762000;;R;RESIDENCE;20;;;0;AT117149
C;137;4241609;2;20230529 01:08;20/SP100096;;;;;;;;;;;;;;;;;;
D;137;4241609;2;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4241609;2;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;4158772;3;20230529 01:08;;103;120;WENTWORTH RD;BURWOOD;2134;183;M;20230428;20230519;960000;;R;RESIDENCE;3;;;0;AT102245
C;137;4158772;3;20230529 01:08;3/SP98325;;;;;;;;;;;;;;;;;;
D;137;4158772;3;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4158772;3;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;3077717;4;20230529 01:08;;36;320 A;LIVERPOOL RD;ENFIELD;2136;;;20230406;20230519;545000;;R;RESIDENCE;36;;;0;AT103714
C;137;3077717;4;20230529 01:08;36/SP72426;;;;;;;;;;;;;;;;;;
D;137;3077717;4;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;3077717;4;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;3077717;4;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;2900941;5;20230529 01:08;;1;1;MT PLEASANT AVE;BURWOOD;2134;;;20230329;20230524;1200000;;R;RESIDENCE;1;;;0;AT112755
C;137;2900941;5;20230529 01:08;1/SP64447;;;;;;;;;;;;;;;;;;
D;137;2900941;5;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;2900941;5;20230529 01:08;V;;;;;;;;;;;;;;;;;;
D;137;2900941;5;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;4387954;6;20230529 01:08;BUILDING B;23;1 A;GLOUCESTER AVE;BURWOOD;2134;;;20230331;20230524;1171100;;R;RESIDENCE;46;;;0;AT114080
C;137;4387954;6;20230529 01:08;46/SP103737;;;;;;;;;;;;;;;;;;
D;137;4387954;6;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4387954;6;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;4387954;7;20230529 01:08;BUILDING D;11;1 C;GLOUCESTER AVE;BURWOOD;2134;;;20230329;20230524;1075000;;R;RESIDENCE;96;;;0;AT114551
C;137;4387954;7;20230529 01:08;96/SP103737;;;;;;;;;;;;;;;;;;
D;137;4387954;7;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4387954;7;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4387954;7;20230529 01:08;V;;;;;;;;;;;;;;;;;;
B;137;4284187;8;20230529 01:08;;4 G;68;RAILWAY PDE;BURWOOD;2134;86;M;20230328;20230523;656000;;R;RESIDENCE;7;;;0;AT110099
C;137;4284187;8;20230529 01:08;7/SP101022;;;;;;;;;;;;;;;;;;
D;137;4284187;8;20230529 01:08;P;;;;;;;;;;;;;;;;;;
D;137;4284187;8;20230529 01:08;V;;;;;;;;;;;;;;;;;;
Z;38;8;8;20;;;;;;;;;;;;;;;;;;;
