A;RTSALEDATA;139;20230313 01:06;VALNET;;;;;;;;;;;;;;;;;;;
B;139;3460107;1;20230313 01:06;;65;17;ORCHARDS AVE;BREAKFAST POINT;2137;;;20230202;20230303;1300000;;R;RESIDENCE;45;;;0;AS900017
C;139;3460107;1;20230313 01:06;45/SP82362;;;;;;;;;;;;;;;;;;
D;139;3460107;1;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3460107;1;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;4218357;2;20230313 01:06;;1;364;VICTORIA PL;DRUMMOYNE;2047;226;M;20220916;20230309;3150000;;R;RESIDENCE;1;;;0;AS913502
C;139;4218357;2;20230313 01:06;1/SP99615;;;;;;;;;;;;;;;;;;
D;139;4218357;2;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;4218357;2;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;4218357;2;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3019980;3;20230313 01:06;ROSEWOOD;55;21;TENNYSON RD;BREAKFAST POINT;2137;148;M;20230119;20230307;1540000;;R;RESIDENCE;35;;;0;AS906860
C;139;3019980;3;20230313 01:06;35/SP70931;;;;;;;;;;;;;;;;;;
D;139;3019980;3;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3019980;3;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3019980;3;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3541623;4;20230313 01:06;;6;112;MAJORS BAY RD;CONCORD;2137;;;20230208;20230308;790000;;R;RESIDENCE;6;;;0;AS910814
C;139;3541623;4;20230313 01:06;6/SP84317;;;;;;;;;;;;;;;;;;
D;139;3541623;4;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3541623;4;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3517691;5;20230313 01:06;;409 D;27;GEORGE ST;NORTH STRATHFIELD;2137;;;20230213;20230309;710000;;R;RESIDENCE;31;;;0;AS914485
C;139;3517691;5;20230313 01:06;31/SP83638;;;;;;;;;;;;;;;;;;
D;139;3517691;5;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3517691;5;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3517691;5;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3506599;6;20230313 01:06;;55;1;TIMBROL AVE;RHODES;2138;;;20230125;20230308;825000;;R;RESIDENCE;145;;;0;AS910608
C;139;3506599;6;20230313 01:06;145/SP82939;;;;;;;;;;;;;;;;;;
D;139;3506599;6;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3506599;6;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3506599;6;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3558380;7;20230313 01:06;;90;44;COOPER ST;STRATHFIELD;2135;;;20221220;20230308;650000;;R;RESIDENCE;90;;;0;AS911962
C;139;3558380;7;20230313 01:06;90/SP82089;;;;;;;;;;;;;;;;;;
D;139;3558380;7;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3558380;7;20230313 01:06;V;;;;;;;;;;;;;;;;;;
D;139;3558380;7;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3617176;8;20230313 01:06;NAUTICA;404 B;3;TIMBROL AVE;RHODES;2138;;;20230122;20230306;2110000;;R;RESIDENCE;25;;;0;AS905741
C;139;3617176;8;20230313 01:06;25/SP83406;;;;;;;;;;;;;;;;;;
D;139;3617176;8;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3617176;8;20230313 01:06;V;;;;;;;;;;;;;;;;;;
D;139;3617176;8;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;3299343;9;20230313 01:06;;507 G;10;MARQUET ST;RHODES;2138;;;20230124;20230307;585000;;R;RESIDENCE;73;;;0;AS906895
C;139;3299343;9;20230313 01:06;73/SP86269;;;;;;;;;;;;;;;;;;
D;139;3299343;9;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;3299343;9;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;1454892;10;20230313 01:06;;;27;MEPUNGA ST;CONCORD WEST;2138;746.1;M;20221203;20230303;3200000;R2;R;RESIDENCE;;ECO;;0;AS901052
C;139;1454892;10;20230313 01:06;60/B/11996;;;;;;;;;;;;;;;;;;
D;139;1454892;10;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;139;1454892;10;20230313 01:06;V;;;;;;;;;;;;;;;;;;
D;139;1454892;10;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;139;1455410;11;20230313 01:06;;6;11;NORMAN ST;CONCORD;2137;;;20221112;20230303;1171000;;R;RESIDENCE;6;;;0;AS900859
C;139;1455410;11;20230313 01:06;6/SP11569;;;;;;;;;;;;;;;;;;
