A;RTSALEDATA;216;20230807 01:14;VALNET;;;;;;;;;;;;;;;;;;;
B;216;2893614;1;20230807 01:14;;;12 A;MOUNT VIEW AVE;HAZELBROOK;2779;872.6;M;20230519;20230728;855000;C4;R;RESIDENCE;;HZL;;0;AT307125
C;216;2893614;1;20230807 01:14;13/16018;;;;;;;;;;;;;;;;;;
D;216;2893614;1;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2893614;1;20230807 01:14;V;;;;;;;;;;;;;;;;;;
D;216;2893614;1;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;3417549;2;20230807 01:14;;;20;FITZROY ST;LEURA;2780;1.879;H;20230428;20230728;20900000;R1;3;COMMERCIAL;;KAG;;0;AT306309
C;216;3417549;2;20230807 01:14;2/184184 A/315787 A/414796 1/940336 3/1097665 1/1116868;;;;;;;;;;;;;;;;;;
D;216;3417549;2;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;3417549;2;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;2979024;3;20230807 01:14;;;88;LURLINE ST;KATOOMBA;2780;948.5;M;20230502;20230801;5020000;R1;3;COMMERCIAL;;KAG;;0;AT314969
C;216;2979024;3;20230807 01:14;1/217715;;;;;;;;;;;;;;;;;;
D;216;2979024;3;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2979024;3;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;2979031;4;20230807 01:14;;;90;LURLINE ST;KATOOMBA;2780;822;M;20230502;20230801;5020000;R1;3;COMMERCIAL;;KAG;;0;AT314969
C;216;2979031;4;20230807 01:14;3/217715;;;;;;;;;;;;;;;;;;
D;216;2979031;4;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2979031;4;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;4072439;5;20230807 01:14;;;111;MORT ST;KATOOMBA;2780;6.74;H;20170719;20170823;420000;C3;V;VACANT LAND;;ZAB;AV;0;AN324307
C;216;4072439;5;20230807 01:14;418/751627;;;;;;;;;;;;;;;;;;
D;216;4072439;5;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;4072439;5;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;2245852;6;20230807 01:14;;;16;SUNBEAM AVE;BLACKHEATH;2785;897.8;M;20230621;20230802;752000;C4;R;RESIDENCE;;BLH;;0;AT318541
C;216;2245852;6;20230807 01:14;39/16621;;;;;;;;;;;;;;;;;;
D;216;2245852;6;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2245852;6;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2245852;6;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;2259587;7;20230807 01:14;;;7;WARATAH ST;KATOOMBA;2780;1061.47;M;20230616;20230728;755000;C4;R;RESIDENCE;;KAP;;0;AT304393
C;216;2259587;7;20230807 01:14;7/6575;;;;;;;;;;;;;;;;;;
D;216;2259587;7;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2259587;7;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2259587;7;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;2262497;8;20230807 01:14;;;5;ISABEL ST;LEURA;2780;772.42;M;20230620;20230801;1575000;C4;R;RESIDENCE;;LSE;;0;AT315792
C;216;2262497;8;20230807 01:14;51/4565;;;;;;;;;;;;;;;;;;
D;216;2262497;8;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2262497;8;20230807 01:14;V;;;;;;;;;;;;;;;;;;
D;216;2262497;8;20230807 01:14;V;;;;;;;;;;;;;;;;;;
B;216;2267670;9;20230807 01:14;;;17;DEAKIN CL;SPRINGWOOD;2777;1118;M;20230703;20230728;900000;C4;R;RESIDENCE;;SPL;;0;AT303753
C;216;2267670;9;20230807 01:14;656/248936;;;;;;;;;;;;;;;;;;
D;216;2267670;9;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2267670;9;20230807 01:14;P;;;;;;;;;;;;;;;;;;
D;216;2267670;9;20230807 01:14;V;;;;;;;;;;;;;;;;;;
