A;RTSALEDATA;231;20230814 01:11;VALNET;;;;;;;;;;;;;;;;;;;
B;231;4499626;1;20230814 01:11;;;;CHARCOAL TANK RD;WEST WYALONG;2671;2.742;H;20230726;20230726;6778;;V;VACANT LAND;;;;0;AT298670
C;231;4499626;1;20230814 01:11;10/1294057;;;;;;;;;;;;;;;;;;
D;231;4499626;1;20230814 01:11;P;;;;;;;;;;;;;;;;;;
D;231;4499626;1;20230814 01:11;V;;;;;;;;;;;;;;;;;;
B;231;4286849;2;20230814 01:11;;4;14;DUMARESQ ST;WEST WYALONG;2671;232;M;20230714;20230809;445000;;R;RESIDENCE;4;;;0;AT337735
C;231;4286849;2;20230814 01:11;4/SP101293;;;;;;;;;;;;;;;;;;
D;231;4286849;2;20230814 01:11;P;;;;;;;;;;;;;;;;;;
D;231;4286849;2;20230814 01:11;P;;;;;;;;;;;;;;;;;;
D;231;4286849;2;20230814 01:11;V;;;;;;;;;;;;;;;;;;
Z;11;2;2;5;;;;;;;;;;;;;;;;;;;
