A;RTSALEDATA;143;20230320 01:06;VALNET;;;;;;;;;;;;;;;;;;;
B;143;2913718;1;20230320 01:06;;170;1;BERESFORD RD;HOMEBUSH;2140;;;20230129;20230313;510000;;R;RESIDENCE;170;;;0;AS921534
C;143;2913718;1;20230320 01:06;170/SP67782;;;;;;;;;;;;;;;;;;
D;143;2913718;1;20230320 01:06;P;;;;;;;;;;;;;;;;;;
D;143;2913718;1;20230320 01:06;V;;;;;;;;;;;;;;;;;;
B;143;4065217;2;20230320 01:06;BUILDING A;408;5;POWELL ST;HOMEBUSH;2140;74;M;20221208;20230313;520000;;R;RESIDENCE;6;;;0;AS920592
C;143;4065217;2;20230320 01:06;6/SP95012;;;;;;;;;;;;;;;;;;
D;143;4065217;2;20230320 01:06;P;;;;;;;;;;;;;;;;;;
D;143;4065217;2;20230320 01:06;V;;;;;;;;;;;;;;;;;;
B;143;3741586;3;20230320 01:06;;12;29;HAMPSTEAD RD;HOMEBUSH WEST;2140;116;M;20230116;20230313;710000;;R;RESIDENCE;12;;;0;AS920410
C;143;3741586;3;20230320 01:06;12/SP86000;;;;;;;;;;;;;;;;;;
D;143;3741586;3;20230320 01:06;P;;;;;;;;;;;;;;;;;;
D;143;3741586;3;20230320 01:06;V;;;;;;;;;;;;;;;;;;
D;143;3741586;3;20230320 01:06;V;;;;;;;;;;;;;;;;;;
B;143;4408298;4;20230320 01:06;;304;459;LIVERPOOL RD;STRATHFIELD;2135;62;M;20230301;20230313;550000;;R;RESIDENCE;16;;;0;AS922228
C;143;4408298;4;20230320 01:06;16/SP103401;;;;;;;;;;;;;;;;;;
D;143;4408298;4;20230320 01:06;P;;;;;;;;;;;;;;;;;;
D;143;4408298;4;20230320 01:06;V;;;;;;;;;;;;;;;;;;
B;143;4291510;5;20230320 01:06;;402;218;PARRAMATTA RD;HOMEBUSH;2140;75;M;20230127;20230310;500000;;R;RESIDENCE;20;;;0;AS916090
C;143;4291510;5;20230320 01:06;20/SP101074;;;;;;;;;;;;;;;;;;
D;143;4291510;5;20230320 01:06;P;;;;;;;;;;;;;;;;;;
D;143;4291510;5;20230320 01:06;V;;;;;;;;;;;;;;;;;;
Z;23;5;5;11;;;;;;;;;;;;;;;;;;;
