A;RTSALEDATA;265;20231120 01:08;VALNET;;;;;;;;;;;;;;;;;;;
B;265;419845;1;20231120 01:08;;3;319;PARKER ST;COOTAMUNDRA;2590;;;20231017;20231114;385000;;R;RESIDENCE;3;;;0;AT600853
C;265;419845;1;20231120 01:08;3/SP40186;;;;;;;;;;;;;;;;;;
D;265;419845;1;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;419845;1;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;419884;2;20231120 01:08;;;129;PARKER ST;COOTAMUNDRA;2590;290.9;M;20230928;20231110;140000;E2;3;SHOP;;BBS;;0;AT593179
C;265;419884;2;20231120 01:08;1/222142;;;;;;;;;;;;;;;;;;
D;265;419884;2;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;419884;2;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;419884;2;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;419884;2;20231120 01:08;V;;;;;;;;;;;;;;;;;;
D;265;419884;2;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;419989;3;20231120 01:08;;;18;POOLE ST;COOTAMUNDRA;2590;765.1;M;20230921;20231115;500000;R1;R;RESIDENCE;;RNW;;0;AT604279
C;265;419989;3;20231120 01:08;1/355434;;;;;;;;;;;;;;;;;;
D;265;419989;3;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;419989;3;20231120 01:08;V;;;;;;;;;;;;;;;;;;
D;265;419989;3;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;420557;4;20231120 01:08;;;129;THOMPSON ST;COOTAMUNDRA;2590;739.8;M;20231101;20231116;368000;R1;R;RESIDENCE;;RCY;;0;AT606955
C;265;420557;4;20231120 01:08;1/376591;;;;;;;;;;;;;;;;;;
D;265;420557;4;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;420557;4;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;419156;5;20231120 01:08;;;4 A;HUME ST;COOTAMUNDRA;2590;408.8;M;20231023;20231113;372500;R1;R;RESIDENCE;;RWE;;0;AT597810
C;265;419156;5;20231120 01:08;2/843225;;;;;;;;;;;;;;;;;;
D;265;419156;5;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;419156;5;20231120 01:08;V;;;;;;;;;;;;;;;;;;
D;265;419156;5;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;525081;6;20231120 01:08;;;22;CAMPHOR LANE;SOUTH GUNDAGAI;2722;1897;M;20231025;20231110;170000;R1;V;VACANT LAND;;AGA;;0;AT592565
C;265;525081;6;20231120 01:08;20/27/758915;;;;;;;;;;;;;;;;;;
D;265;525081;6;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;525081;6;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;525081;6;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;3362269;7;20231120 01:08;;;18;EAGLE ST;SOUTH GUNDAGAI;2722;2.79;H;20231102;20231110;300000;R1;V;VACANT LAND;;AGC;;0;AT591664
C;265;3362269;7;20231120 01:08;6/4/758915;;;;;;;;;;;;;;;;;;
D;265;3362269;7;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;3362269;7;20231120 01:08;V;;;;;;;;;;;;;;;;;;
D;265;3362269;7;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;4495139;8;20231120 01:08;;;;DARBALARA RD;DARBALARA;2722;5059;M;20220811;20230804;18765;RU1;3;FARM;;RGG;AV;0;AT326397
C;265;4495139;8;20231120 01:08;1/133903;;;;;;;;;;;;;;;;;;
D;265;4495139;8;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;4495139;8;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;4495139;8;20231120 01:08;V;;;;;;;;;;;;;;;;;;
B;265;3937383;9;20231120 01:08;;;571;KANGAROO MOUNT RD;GOBARRALONG;2727;2743.24;H;20230915;20231110;19000000;RU1;3;FARM;;RGZ;;0;AT594728
C;265;3937383;9;20231120 01:08;53, 54, 56, 57, 65, 73, 79, 80, 81, 82, 83, 87, 108, 112, 118, 120, 12;;;;;;;;;;;;;;;;;;
C;265;3937383;9;20231120 01:08;5, 142, 143, 144, 146, 147, 148, 149, 150, 159, 164, 179, 182, 184, 20;;;;;;;;;;;;;;;;;;
C;265;3937383;9;20231120 01:08;5, 206, 209/750984 37, 87, 88, 94, 99, 105, 117, 126, 128, 152, 161, 2;;;;;;;;;;;;;;;;;;
C;265;3937383;9;20231120 01:08;33, 235, 236, 237, 273/751000 Enclosure Permit 35371 Licence 475825;;;;;;;;;;;;;;;;;;
D;265;3937383;9;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;3937383;9;20231120 01:08;P;;;;;;;;;;;;;;;;;;
D;265;3937383;9;20231120 01:08;V;;;;;;;;;;;;;;;;;;
D;265;3937383;9;20231120 01:08;V;;;;;;;;;;;;;;;;;;
Z;51;9;12;28;;;;;;;;;;;;;;;;;;;
