A;RTSALEDATA;139;20230522 01:10;VALNET;;;;;;;;;;;;;;;;;;;
B;139;1455578;1;20230522 01:10;CONCORD SCHOOL OF ARTS;33;4;PARRAMATTA RD;STRATHFIELD;2135;;;20230317;20230512;630000;;R;RESIDENCE;33;;;0;AT84078
C;139;1455578;1;20230522 01:10;33/SP65828;;;;;;;;;;;;;;;;;;
D;139;1455578;1;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;1455578;1;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;1455578;1;20230522 01:10;V;;;;;;;;;;;;;;;;;;
B;139;3421118;2;20230522 01:10;;906;39;COOPER ST;STRATHFIELD;2135;;;20230405;20230517;518000;;R;RESIDENCE;76;;;0;AT94306
C;139;3421118;2;20230522 01:10;76/SP81539;;;;;;;;;;;;;;;;;;
D;139;3421118;2;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3421118;2;20230522 01:10;V;;;;;;;;;;;;;;;;;;
B;139;3452399;3;20230522 01:10;;530;60;WALKER ST;RHODES;2138;99;M;20230405;20230517;685000;;R;RESIDENCE;20;;;0;AT94181
C;139;3452399;3;20230522 01:10;20/SP81965;;;;;;;;;;;;;;;;;;
D;139;3452399;3;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3452399;3;20230522 01:10;V;;;;;;;;;;;;;;;;;;
D;139;3452399;3;20230522 01:10;V;;;;;;;;;;;;;;;;;;
B;139;3045692;4;20230522 01:10;MULBERRY HILL;11;25;MARKET ST;BREAKFAST POINT;2137;224;M;20030723;20031215;680000;;R;RESIDENCE;1;;;0;AA371178
C;139;3045692;4;20230522 01:10;1/SP71690;;;;;;;;;;;;;;;;;;
D;139;3045692;4;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3045692;4;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3045692;4;20230522 01:10;V;;;;;;;;;;;;;;;;;;
B;139;3045692;5;20230522 01:10;MULBERRY HILL;11;25;MARKET ST;BREAKFAST POINT;2137;224;M;20080715;20080826;905000;;R;RESIDENCE;1;;XA;0;AE215910
C;139;3045692;5;20230522 01:10;1/SP71690;;;;;;;;;;;;;;;;;;
D;139;3045692;5;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3045692;5;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3045692;5;20230522 01:10;V;;;;;;;;;;;;;;;;;;
D;139;3045692;5;20230522 01:10;V;;;;;;;;;;;;;;;;;;
B;139;3045692;6;20230522 01:10;MULBERRY HILL;11;25;MARKET ST;BREAKFAST POINT;2137;224;M;20171124;20180116;1900000;;R;RESIDENCE;1;;XA;0;AN76445
C;139;3045692;6;20230522 01:10;1/SP71690;;;;;;;;;;;;;;;;;;
D;139;3045692;6;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3045692;6;20230522 01:10;P;;;;;;;;;;;;;;;;;;
D;139;3045692;6;20230522 01:10;V;;;;;;;;;;;;;;;;;;
D;139;3045692;6;20230522 01:10;V;;;;;;;;;;;;;;;;;;
