A;RTSALEDATA;090;20230626 01:09;VALNET;;;;;;;;;;;;;;;;;;;
B;090;2904480;1;20230626 01:09;;7;602;BLAXLAND RD;EASTWOOD;2122;;;20230511;20230622;730000;;R;RESIDENCE;7;;;0;AT197512
C;090;2904480;1;20230626 01:09;7/SP66393;;;;;;;;;;;;;;;;;;
D;090;2904480;1;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;2904480;1;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;2904480;1;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;4188465;2;20230626 01:09;;612 B;37;NANCARROW AVE;RYDE;2112;;;20230325;20230620;1600000;;R;RESIDENCE;191;;;0;AT189476
C;090;4188465;2;20230626 01:09;191/SP98936;;;;;;;;;;;;;;;;;;
D;090;4188465;2;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;4188465;2;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;4188465;2;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;4187133;3;20230626 01:09;;116;20;NANCARROW AVE;MEADOWBANK;2114;;;20230509;20230620;570000;;R;RESIDENCE;16;;;0;AT189516
C;090;4187133;3;20230626 01:09;16/SP98937;;;;;;;;;;;;;;;;;;
D;090;4187133;3;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;4187133;3;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;4214794;4;20230626 01:09;;303 A;21;GLEN ST;EASTWOOD;2122;116;M;20230505;20230616;927500;;R;RESIDENCE;27;;;0;AT181320
C;090;4214794;4;20230626 01:09;27/SP99579;;;;;;;;;;;;;;;;;;
D;090;4214794;4;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;4214794;4;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;4214794;4;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;863159;5;20230626 01:09;;;17;BOYCE ST;RYDE;2112;720.8;M;20230506;20230619;2440000;R2;R;RESIDENCE;;RED;;0;AT185142
C;090;863159;5;20230626 01:09;104/12999;;;;;;;;;;;;;;;;;;
D;090;863159;5;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;863159;5;20230626 01:09;V;;;;;;;;;;;;;;;;;;
D;090;863159;5;20230626 01:09;V;;;;;;;;;;;;;;;;;;
D;090;863159;5;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;890168;6;20230626 01:09;;;13;STANBURY ST;GLADESVILLE;2111;796.7;M;20230602;20230620;2300000;R2;R;RESIDENCE;;RSD;;0;AT191451
C;090;890168;6;20230626 01:09;117/24389;;;;;;;;;;;;;;;;;;
D;090;890168;6;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;890168;6;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;890168;6;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;890168;6;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;892809;7;20230626 01:09;;12;10;TUCKWELL PL;MACQUARIE PARK;2113;;;20230518;20230622;1410000;;R;RESIDENCE;12;;;0;AT197423
C;090;892809;7;20230626 01:09;12/SP22729;;;;;;;;;;;;;;;;;;
D;090;892809;7;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;892809;7;20230626 01:09;V;;;;;;;;;;;;;;;;;;
D;090;892809;7;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;871620;8;20230626 01:09;;;63;FALCONER ST;WEST RYDE;2114;1100;M;20230330;20230616;2615000;R2;R;RESIDENCE;;RWD;;0;AT182940
C;090;871620;8;20230626 01:09;C/362396;;;;;;;;;;;;;;;;;;
D;090;871620;8;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;871620;8;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;874314;9;20230626 01:09;;;27 A;GORDON ST;EASTWOOD;2122;1018;M;20230524;20230616;1800000;R2;R;RESIDENCE;;EC2;;0;AT181349
C;090;874314;9;20230626 01:09;1/212505;;;;;;;;;;;;;;;;;;
D;090;874314;9;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;874314;9;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;885099;10;20230626 01:09;;8;5;PEACH TREE RD;MACQUARIE PARK;2113;;;20230505;20230616;520000;;R;RESIDENCE;8;;;0;AT180947
C;090;885099;10;20230626 01:09;8/SP6737;;;;;;;;;;;;;;;;;;
D;090;885099;10;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;885099;10;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;885369;11;20230626 01:09;;;42;PELLISIER RD;PUTNEY;2112;733.5;M;20230510;20230621;5650000;R2;R;RESIDENCE;;RSD;;0;AT194943
C;090;885369;11;20230626 01:09;A/382051;;;;;;;;;;;;;;;;;;
D;090;885369;11;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;885369;11;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;895367;12;20230626 01:09;;;9;WATTS RD;RYDE;2112;240.3;M;20230502;20230616;900000;E1;3;SHOP;;E1A;;0;AT180387
C;090;895367;12;20230626 01:09;1/26150;;;;;;;;;;;;;;;;;;
D;090;895367;12;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;895367;12;20230626 01:09;P;;;;;;;;;;;;;;;;;;
D;090;895367;12;20230626 01:09;V;;;;;;;;;;;;;;;;;;
B;090;872099;13;20230626 01:09;;2;6;FIRST AVE;EASTWOOD;2122;;;20230510;20230621;663000;;R;RESIDENCE;2;;;0;AT193366
