A;RTSALEDATA;902;20230410 01:19;VALNET;;;;;;;;;;;;;;;;;;;
B;902;3511637;1;20230410 01:19;;;;STIRLING ST;SILVERTON;2880;1012;M;20230324;20230328;250000;;R;RESIDENCE;;;;0;AS961788
C;902;3511637;1;20230410 01:19;14/23/758905;;;;;;;;;;;;;;;;;;
D;902;3511637;1;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;3511637;1;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;3511637;1;20230410 01:19;V;;;;;;;;;;;;;;;;;;
B;902;3263922;2;20230410 01:19;TIBOOBURRA HOTEL;;43;BRISCOE ST;TIBOOBURRA;2880;;;20140930;20141003;470000;;3;HOTEL;;;;0;AR601297
C;902;3263922;2;20230410 01:19;10, 11/3/758976;;;;;;;;;;;;;;;;;;
D;902;3263922;2;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;3263922;2;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;3263922;2;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;3263922;2;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;3263922;2;20230410 01:19;V;;;;;;;;;;;;;;;;;;
D;902;3263922;2;20230410 01:19;V;;;;;;;;;;;;;;;;;;
B;902;4465097;3;20230410 01:19;DP1290008;;;ADJOINING 61 THE POINT RD RD;WOOLWICH;2110;11.4;M;20230223;20230406;33000;;V;VACANT LAND;;;;0;AS989134
C;902;4465097;3;20230410 01:19;2/1290008;;;;;;;;;;;;;;;;;;
D;902;4465097;3;20230410 01:19;P;;;;;;;;;;;;;;;;;;
D;902;4465097;3;20230410 01:19;V;;;;;;;;;;;;;;;;;;
Z;19;3;3;11;;;;;;;;;;;;;;;;;;;
