A;RTSALEDATA;085;20230313 01:06;VALNET;;;;;;;;;;;;;;;;;;;
B;085;733241;1;20230313 01:06;;10;19;STOKES ST;LANE COVE NORTH;2066;;;20230203;20230303;820000;;R;RESIDENCE;10;;;0;AS900110
C;085;733241;1;20230313 01:06;10/SP4662;;;;;;;;;;;;;;;;;;
D;085;733241;1;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;085;733241;1;20230313 01:06;V;;;;;;;;;;;;;;;;;;
D;085;733241;1;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;085;4177923;2;20230313 01:06;;1207;1;MARSHALL AVE;ST LEONARDS;2065;61;M;20230210;20230306;725000;;R;RESIDENCE;78;;;0;AS904442
C;085;4177923;2;20230313 01:06;78/SP94161;;;;;;;;;;;;;;;;;;
D;085;4177923;2;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;085;4177923;2;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;085;4177923;2;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;085;4070612;3;20230313 01:06;;;390;PACIFIC HWY;LANE COVE;2066;76;M;20230214;20230307;585000;;R;RESIDENCE;62;;;0;AS907239
C;085;4070612;3;20230313 01:06;62/SP96489;;;;;;;;;;;;;;;;;;
D;085;4070612;3;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;085;4070612;3;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;085;4070612;3;20230313 01:06;V;;;;;;;;;;;;;;;;;;
D;085;4070612;3;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;085;4081549;4;20230313 01:06;;411;43;LITTLE ST;LANE COVE;2066;114;M;20230202;20230307;1162000;;R;RESIDENCE;37;;;0;AS907535
C;085;4081549;4;20230313 01:06;37/SP96437;;;;;;;;;;;;;;;;;;
D;085;4081549;4;20230313 01:06;P;;;;;;;;;;;;;;;;;;
D;085;4081549;4;20230313 01:06;V;;;;;;;;;;;;;;;;;;
B;085;721881;5;20230313 01:06;;24;292;BURNS BAY RD;LANE COVE;2066;;;20230126;20230309;1170000;;R;RESIDENCE;24;;;0;AS913775
