A;RTSALEDATA;101;20221024 01:09;VALNET;
B;101;2858041;1;20221024 01:09;;;22;YARRAWONGA DR;MOLLYMOOK BEACH;2539;692;M;20220927;20221018;1160000;R2;R;RESIDENCE;;YAS;;0;AS558187;
C;101;2858041;1;20221024 01:09;123/1033411;
D;101;2858041;1;20221024 01:09;P;;;;;;
D;101;2858041;1;20221024 01:09;V;;;;;;
B;101;1071264;2;20221024 01:09;;2;7;HARBOUR BVD;BOMADERRY;2541;155;M;20220816;20221018;530000;;R;RESIDENCE;2;;;0;AS557449;
C;101;1071264;2;20221024 01:09;2/SP67390;
D;101;1071264;2;20221024 01:09;P;;;;;;
D;101;1071264;2;20221024 01:09;P;;;;;;
D;101;1071264;2;20221024 01:09;V;;;;;;
B;101;2937035;3;20221024 01:09;;;11;MANNINGVALE CL;WORRIGEE;2540;1;H;20220708;20221014;1625000;R5;R;RESIDENCE;;RUS;;0;AS551192;
C;101;2937035;3;20221024 01:09;4/1044903;
D;101;2937035;3;20221024 01:09;P;;;;;;
D;101;2937035;3;20221024 01:09;V;;;;;;
D;101;2937035;3;20221024 01:09;V;;;;;;
B;101;3371223;4;20221024 01:09;;;14;BLUE BELL WAY;WORRIGEE;2540;740;M;20220908;20221020;932000;R2;R;RESIDENCE;;FUS;;0;AS566104;
C;101;3371223;4;20221024 01:09;417/1122005;
D;101;3371223;4;20221024 01:09;P;;;;;;
D;101;3371223;4;20221024 01:09;V;;;;;;
B;101;3049388;5;20221024 01:09;;;1;WILLOWGREEN RD;FALLS CREEK;2540;1.253;H;20220906;20221018;1250000;R5;R;RESIDENCE;;LIS;;0;AS559632;
C;101;3049388;5;20221024 01:09;12/1042235;
D;101;3049388;5;20221024 01:09;P;;;;;;
D;101;3049388;5;20221024 01:09;V;;;;;;
D;101;3049388;5;20221024 01:09;V;;;;;;
B;101;3109240;6;20221024 01:09;;;91;PARNELL RD;TOMERONG;2540;2.599;H;20220907;20221019;1550000;RU4;R;RESIDENCE;;KSS;;0;AS561402;
C;101;3109240;6;20221024 01:09;67/10814;
D;101;3109240;6;20221024 01:09;P;;;;;;
D;101;3109240;6;20221024 01:09;P;;;;;;
D;101;3109240;6;20221024 01:09;V;;;;;;
D;101;3109240;6;20221024 01:09;V;;;;;;
B;101;4017533;7;20221024 01:09;;2;25;ROYAL ST;WORRIGEE;2540;213;M;20220829;20221018;543000;;R;RESIDENCE;2;;;0;AS557446;
C;101;4017533;7;20221024 01:09;2/SP94785;
D;101;4017533;7;20221024 01:09;P;;;;;;
D;101;4017533;7;20221024 01:09;V;;;;;;
B;101;1055864;8;20221024 01:09;;;26;BEACH RD;MOLLYMOOK BEACH;2539;758.8;M;20220505;20221020;4750000;R2;R;RESIDENCE;;YFS;;0;AS566017;
C;101;1055864;8;20221024 01:09;397/226611;
D;101;1055864;8;20221024 01:09;P;;;;;;
D;101;1055864;8;20221024 01:09;V;;;;;;
D;101;1055864;8;20221024 01:09;V;;;;;;
D;101;1055864;8;20221024 01:09;V;;;;;;
B;101;1056450;9;20221024 01:09;;;133;BERRY ST;NOWRA;2541;695.6;M;20220527;20221018;957000;R1;R;RESIDENCE;;GPS;;0;AS557288;
C;101;1056450;9;20221024 01:09;C/327275;
D;101;1056450;9;20221024 01:09;P;;;;;;
D;101;1056450;9;20221024 01:09;P;;;;;;
D;101;1056450;9;20221024 01:09;V;;;;;;
B;101;3681241;10;20221024 01:09;;;30;BANOOL CCT;BOMADERRY;2541;1002;M;20220825;20221014;1000000;R1;R;RESIDENCE;;EVS;;0;AS550642;
C;101;3681241;10;20221024 01:09;201/1180659;
D;101;3681241;10;20221024 01:09;P;;;;;;
D;101;3681241;10;20221024 01:09;P;;;;;;
D;101;3681241;10;20221024 01:09;V;;;;;;
B;101;1059544;11;20221024 01:09;;;150;CAMDEN ST;ULLADULLA;2539;746.1;M;20211222;20221018;500000;R2;R;RESIDENCE;;YNS;;0;AS558182;
C;101;1059544;11;20221024 01:09;7/515014;
D;101;1059544;11;20221024 01:09;P;;;;;;
D;101;1059544;11;20221024 01:09;V;;;;;;
B;101;1059547;12;20221024 01:09;;;144;CAMDEN ST;ULLADULLA;2539;663.9;M;20211222;20221018;532000;R2;R;RESIDENCE;;EQS;;0;AS558184;
C;101;1059547;12;20221024 01:09;3/20703;
D;101;1059547;12;20221024 01:09;P;;;;;;
D;101;1059547;12;20221024 01:09;V;;;;;;
B;101;1054310;13;20221024 01:09;;;70;ANGLERS PDE;FISHERMANS PARADISE;2539;765.1;M;20220921;20221019;870000;RU5;R;RESIDENCE;;WUS;;0;AS560335;
C;101;1054310;13;20221024 01:09;251/26974;
D;101;1054310;13;20221024 01:09;P;;;;;;
D;101;1054310;13;20221024 01:09;P;;;;;;
D;101;1054310;13;20221024 01:09;V;;;;;;
B;101;1059751;14;20221024 01:09;;;112;CAMMARAY DR;SANCTUARY POINT;2540;704.3;M;20220905;20221017;730000;R2;R;RESIDENCE;;NNS;;0;AS554088;
C;101;1059751;14;20221024 01:09;4/803714;
D;101;1059751;14;20221024 01:09;P;;;;;;
D;101;1059751;14;20221024 01:09;P;;;;;;
D;101;1059751;14;20221024 01:09;V;;;;;;
B;101;1065938;15;20221024 01:09;;;324;ELIZABETH DR;VINCENTIA;2540;696.7;M;20220905;20221017;2250000;R2;R;RESIDENCE;;VES;;0;AS555881;
C;101;1065938;15;20221024 01:09;2/632304;
D;101;1065938;15;20221024 01:09;P;;;;;;
D;101;1065938;15;20221024 01:09;P;;;;;;
D;101;1065938;15;20221024 01:09;V;;;;;;
B;101;1066045;16;20221024 01:09;;;369;ELIZABETH DR;VINCENTIA;2540;695.6;M;20221017;20221017;1600000;R2;R;RESIDENCE;;VES;;0;AS555556;
C;101;1066045;16;20221024 01:09;1385/28172;
D;101;1066045;16;20221024 01:09;P;;;;;;
D;101;1066045;16;20221024 01:09;V;;;;;;
D;101;1066045;16;20221024 01:09;V;;;;;;
B;101;1074378;17;20221024 01:09;;;112;JERBERRA RD;TOMERONG;2540;4831;M;20220902;20221014;325000;C3;R;RESIDENCE;;DPS;;0;AS548559;
C;101;1074378;17;20221024 01:09;112/11629;
D;101;1074378;17;20221024 01:09;P;;;;;;
D;101;1074378;17;20221024 01:09;P;;;;;;
D;101;1074378;17;20221024 01:09;V;;;;;;
B;101;1101138;18;20221024 01:09;;;46;VOYAGER CRES;BAWLEY POINT;2539;4157;M;20220822;20221017;1100000;R2;R;RESIDENCE;;WLS;;0;AS554787;
C;101;1101138;18;20221024 01:09;41/259461;
D;101;1101138;18;20221024 01:09;P;;;;;;
D;101;1101138;18;20221024 01:09;P;;;;;;
D;101;1101138;18;20221024 01:09;V;;;;;;
D;101;1101138;18;20221024 01:09;V;;;;;;
B;101;1069573;19;20221024 01:09;;;60;GOONAWARRA DR;CUDMIRRAH;2540;999.1;M;20220916;20221014;880000;R2;R;RESIDENCE;;SSS;;0;AS551253;
C;101;1069573;19;20221024 01:09;2/247081;
D;101;1069573;19;20221024 01:09;P;;;;;;
D;101;1069573;19;20221024 01:09;P;;;;;;
D;101;1069573;19;20221024 01:09;V;;;;;;
D;101;1069573;19;20221024 01:09;V;;;;;;
B;101;1082481;20;20221024 01:09;;;6;MONTAGUE ST;VINCENTIA;2540;651.3;M;20220908;20221020;1500000;R2;R;RESIDENCE;;VES;;0;AS564246;
C;101;1082481;20;20221024 01:09;10/224297;
D;101;1082481;20;20221024 01:09;P;;;;;;
D;101;1082481;20;20221024 01:09;V;;;;;;
D;101;1082481;20;20221024 01:09;V;;;;;;
B;101;1072344;21;20221024 01:09;;;14;HOPE ST;CULBURRA BEACH;2540;834.7;M;20220907;20221019;870000;R2;R;RESIDENCE;;KVS;;0;AS561453;
C;101;1072344;21;20221024 01:09;543/12278;
D;101;1072344;21;20221024 01:09;P;;;;;;
D;101;1072344;21;20221024 01:09;P;;;;;;
D;101;1072344;21;20221024 01:09;V;;;;;;
B;101;1088192;22;20221024 01:09;;6;42;PLUNKETT ST;NOWRA;2541;;;20220809;20221018;465000;;R;RESIDENCE;6;;;0;AS558466;
C;101;1088192;22;20221024 01:09;6/SP12527;
D;101;1088192;22;20221024 01:09;P;;;;;;
D;101;1088192;22;20221024 01:09;V;;;;;;
D;101;1088192;22;20221024 01:09;V;;;;;;
B;101;1077725;23;20221024 01:09;;;56;LAKEHAVEN DR;SUSSEX INLET;2540;663.9;M;20220805;20221019;690000;R2;R;RESIDENCE;;NVS;;0;AS561134;
C;101;1077725;23;20221024 01:09;185/229096;
D;101;1077725;23;20221024 01:09;P;;;;;;
D;101;1077725;23;20221024 01:09;P;;;;;;
D;101;1077725;23;20221024 01:09;V;;;;;;
D;101;1077725;23;20221024 01:09;V;;;;;;
B;101;1085791;24;20221024 01:09;;;33;ORMONDE CRES;ORIENT POINT;2540;607;M;20220906;20221018;722000;R2;R;RESIDENCE;;JCS;;0;AS559700;
C;101;1085791;24;20221024 01:09;2/555219;
D;101;1085791;24;20221024 01:09;P;;;;;;
D;101;1085791;24;20221024 01:09;V;;;;;;
B;101;1093815;25;20221024 01:09;;;103;SCOTT ST;SHOALHAVEN HEADS;2535;651.3;M;20220919;20221018;465000;R2;R;RESIDENCE;;FWS;;0;AS557260;
C;101;1093815;25;20221024 01:09;85/243489;
D;101;1093815;25;20221024 01:09;P;;;;;;
D;101;1093815;25;20221024 01:09;V;;;;;;
B;101;1077834;26;20221024 01:09;;;104;LAKESIDE DR;CONJOLA PARK;2539;891.6;M;20220916;20221014;1200000;RU5;R;RESIDENCE;;WHS;;0;AS549736;
C;101;1077834;26;20221024 01:09;231/755923;
D;101;1077834;26;20221024 01:09;P;;;;;;
D;101;1077834;26;20221024 01:09;P;;;;;;
D;101;1077834;26;20221024 01:09;V;;;;;;
B;101;1091223;27;20221024 01:09;;;16;RENNIES BEACH CL;ULLADULLA;2539;638.6;M;20220913;20221018;1400000;R2;R;RESIDENCE;;YQS;;0;AS557304;
C;101;1091223;27;20221024 01:09;38/237534;
D;101;1091223;27;20221024 01:09;P;;;;;;
D;101;1091223;27;20221024 01:09;P;;;;;;
D;101;1091223;27;20221024 01:09;V;;;;;;
D;101;1091223;27;20221024 01:09;V;;;;;;
B;101;1101855;28;20221024 01:09;;;92;WALSH CRES;NORTH NOWRA;2541;847.3;M;20221017;20221017;740000;R2;R;RESIDENCE;;HWS;;0;AS555555;
C;101;1101855;28;20221024 01:09;44/30358;
D;101;1101855;28;20221024 01:09;P;;;;;;
D;101;1101855;28;20221024 01:09;V;;;;;;
D;101;1101855;28;20221024 01:09;V;;;;;;
B;101;1080644;29;20221024 01:09;;;40;MCMAHONS RD;NORTH NOWRA;2541;947.1;M;20220905;20221017;750000;R3;R;RESIDENCE;;FVS;;0;AS555536;
C;101;1080644;29;20221024 01:09;2/245408;
D;101;1080644;29;20221024 01:09;P;;;;;;
D;101;1080644;29;20221024 01:09;V;;;;;;
B;101;1086243;30;20221024 01:09;;;1;TOORAK CL;MOLLYMOOK BEACH;2539;725.8;M;20220907;20221019;880000;R2;R;RESIDENCE;;YAS;;0;AS562837;
C;101;1086243;30;20221024 01:09;26/773821;
D;101;1086243;30;20221024 01:09;P;;;;;;
D;101;1086243;30;20221024 01:09;V;;;;;;
B;101;1078318;31;20221024 01:09;;;8;LEO DR;NARRAWALLEE;2539;650.6;M;20220914;20221017;820000;R2;R;RESIDENCE;;YMS;;0;AS554411;
C;101;1078318;31;20221024 01:09;601/250225;
D;101;1078318;31;20221024 01:09;P;;;;;;
D;101;1078318;31;20221024 01:09;P;;;;;;
D;101;1078318;31;20221024 01:09;V;;;;;;
D;101;1078318;31;20221024 01:09;V;;;;;;
B;101;1068149;32;20221024 01:09;;;11;FORMBY CL;BOMADERRY;2541;1005;M;20220920;20221014;725000;R2;R;RESIDENCE;;EWS;;0;AS549786;
C;101;1068149;32;20221024 01:09;13/712819;
D;101;1068149;32;20221024 01:09;P;;;;;;
D;101;1068149;32;20221024 01:09;V;;;;;;
D;101;1068149;32;20221024 01:09;V;;;;;;
D;101;1068149;32;20221024 01:09;V;;;;;;
B;101;1102747;33;20221024 01:09;;;20;WATERPARK RD;ST GEORGES BASIN;2540;2023;M;20220902;20221014;955000;R5;R;RESIDENCE;;KRS;;0;AS552157;
C;101;1102747;33;20221024 01:09;17/E/9699;
D;101;1102747;33;20221024 01:09;P;;;;;;
D;101;1102747;33;20221024 01:09;V;;;;;;
B;101;1094879;34;20221024 01:09;;;8;SILVER STRAND CIR;HYAMS BEACH;2540;752;M;20220808;20221017;1300000;R2;R;RESIDENCE;;MRS;;0;AS555870;
C;101;1094879;34;20221024 01:09;16/740850;
D;101;1094879;34;20221024 01:09;P;;;;;;
D;101;1094879;34;20221024 01:09;P;;;;;;
D;101;1094879;34;20221024 01:09;V;;;;;;
B;101;1100268;35;20221024 01:09;;;4;TURLEY AVE;BOMADERRY;2541;657.6;M;20220906;20221018;685000;R2;R;RESIDENCE;;EWS;;0;AS558032;
C;101;1100268;35;20221024 01:09;22/25271;
D;101;1100268;35;20221024 01:09;P;;;;;;
D;101;1100268;35;20221024 01:09;P;;;;;;
D;101;1100268;35;20221024 01:09;V;;;;;;
B;101;1076336;36;20221024 01:09;;;105;KING GEORGE ST;CALLALA BEACH;2540;796.7;M;20220905;20221017;1000000;R2;R;RESIDENCE;;LXS;;0;AS554709;
C;101;1076336;36;20221024 01:09;31/G/27357;
D;101;1076336;36;20221024 01:09;P;;;;;;
D;101;1076336;36;20221024 01:09;V;;;;;;
D;101;1076336;36;20221024 01:09;V;;;;;;
B;101;1079070;37;20221024 01:09;;;5;LORALYN AVE;ST GEORGES BASIN;2540;758.8;M;20220902;20221014;990000;R2;R;RESIDENCE;;PLS;;0;AS550484;
C;101;1079070;37;20221024 01:09;26/24521;
D;101;1079070;37;20221024 01:09;P;;;;;;
D;101;1079070;37;20221024 01:09;V;;;;;;
D;101;1079070;37;20221024 01:09;V;;;;;;
B;101;1084436;38;20221024 01:09;;;51;NOORAMUNGA AVE;CAMBEWARRA VILLAGE;2540;1303;M;20220923;20221020;1085000;R2;R;RESIDENCE;;FNS;;0;AS565621;
C;101;1084436;38;20221024 01:09;26/794379;
D;101;1084436;38;20221024 01:09;P;;;;;;
D;101;1084436;38;20221024 01:09;P;;;;;;
D;101;1084436;38;20221024 01:09;V;;;;;;
B;101;1097884;39;20221024 01:09;;;17;THE CITADEL;MANYANA;2539;556.4;M;20220818;20221017;1100000;R2;R;RESIDENCE;;VBS;;0;AS554988;
C;101;1097884;39;20221024 01:09;573/545798;
D;101;1097884;39;20221024 01:09;P;;;;;;
D;101;1097884;39;20221024 01:09;P;;;;;;
D;101;1097884;39;20221024 01:09;V;;;;;;
B;101;1097958;40;20221024 01:09;;;32;THE CORONADO;OLD EROWAL BAY;2540;784.1;M;20220905;20221017;545000;R2;R;RESIDENCE;;PTS;;0;AS555116;
C;101;1097958;40;20221024 01:09;20/Q/12958;
D;101;1097958;40;20221024 01:09;P;;;;;;
D;101;1097958;40;20221024 01:09;V;;;;;;
B;101;1079293;41;20221024 01:09;;;17;LOVEGROVE ST;SHOALHAVEN HEADS;2535;665.6;M;20220902;20221020;980000;R2;R;RESIDENCE;;FWS;;0;AS566959;
C;101;1079293;41;20221024 01:09;328/245684;
D;101;1079293;41;20221024 01:09;P;;;;;;
D;101;1079293;41;20221024 01:09;P;;;;;;
D;101;1079293;41;20221024 01:09;V;;;;;;
B;101;1082025;42;20221024 01:09;;;9;MINERVA AVE;VINCENTIA;2540;663.9;M;20220902;20221020;1310000;R1;R;RESIDENCE;;VFS;;0;AS566963;
C;101;1082025;42;20221024 01:09;389/25247;
D;101;1082025;42;20221024 01:09;P;;;;;;
D;101;1082025;42;20221024 01:09;P;;;;;;
D;101;1082025;42;20221024 01:09;V;;;;;;
D;101;1082025;42;20221024 01:09;V;;;;;;
B;101;2778038;43;20221024 01:09;;;4;YALLARA CRES;SANCTUARY POINT;2540;738.6;M;20220908;20221020;725000;R2;R;RESIDENCE;;NNS;;0;AS566088;
C;101;2778038;43;20221024 01:09;708/1019410;
D;101;2778038;43;20221024 01:09;P;;;;;;
D;101;2778038;43;20221024 01:09;V;;;;;;
B;101;4449976;44;20221024 01:09;;;;PRINCES HWY;CONJOLA;2539;39.216;H;20220808;20220914;850000;;3;FARM;;;;0;AS472335;
C;101;4449976;44;20221024 01:09;1/254833 3/1125483;
D;101;4449976;44;20221024 01:09;P;;;;;;
D;101;4449976;44;20221024 01:09;P;;;;;;
D;101;4449976;44;20221024 01:09;P;;;;;;
D;101;4449976;44;20221024 01:09;V;;;;;;
D;101;4449976;44;20221024 01:09;V;;;;;;
B;101;4445736;45;20221024 01:09;8A;;;THADALEE PL PL;ULLADULLA;2539;;;20210816;20221017;497000;;V;VACANT LAND;;;;0;AS555697;
C;101;4445736;45;20221024 01:09;8/1287767;
D;101;4445736;45;20221024 01:09;P;;;;;;
D;101;4445736;45;20221024 01:09;V;;;;;;
D;101;4445736;45;20221024 01:09;V;;;;;;
B;101;4445896;46;20221024 01:09;;;39 A;QUEEN ST;BERRY;2535;338.9;M;20220325;20221014;1715000;;R;RESIDENCE;1;;;0;AS549628;
C;101;4445896;46;20221024 01:09;1/SP105388;
D;101;4445896;46;20221024 01:09;P;;;;;;
D;101;4445896;46;20221024 01:09;V;;;;;;
D;101;4445896;46;20221024 01:09;V;;;;;;
B;101;4450457;47;20221024 01:09;;;;PRINCES HWY;FALLS CREEK;2540;3115;M;20220811;20220923;312500;;V;VACANT LAND;;;;0;AS495355;
C;101;4450457;47;20221024 01:09;PT 62/15507;
D;101;4450457;47;20221024 01:09;P;;;;;;
D;101;4450457;47;20221024 01:09;P;;;;;;
D;101;4450457;47;20221024 01:09;V;;;;;;
B;101;4443054;48;20221024 01:09;;;36 B;BENDOURA ST;MOLLYMOOK;2539;300;M;20220304;20221017;775000;;R;RESIDENCE;2;;;0;AS554684;
C;101;4443054;48;20221024 01:09;2/SP103820;
D;101;4443054;48;20221024 01:09;P;;;;;;
D;101;4443054;48;20221024 01:09;V;;;;;;
D;101;4443054;48;20221024 01:09;V;;;;;;
B;101;4369705;49;20221024 01:09;;100;35;THE BASIN ROAD;ST GEORGES BASIN;2540;305;M;20211020;20221019;499000;SP3;R;RESIDENCE;;ZWS;;0;AS562465;
C;101;4369705;49;20221024 01:09;100/270575;
D;101;4369705;49;20221024 01:09;P;;;;;;
D;101;4369705;49;20221024 01:09;V;;;;;;
