A;RTSALEDATA;250;20240506 01:22;VALNET;
B;250;3443701;1;20240506 01:22;;;27;KILLARNEY RD;LEGUME;2476;8092;M;20240411;20240502;160000;RU1;V;VACANT LAND;;RSV;;0;AU34352;
C;250;3443701;1;20240506 01:22;14, 15, 16, 17/1/758607;
D;250;3443701;1;20240506 01:22;P;;;;;;
D;250;3443701;1;20240506 01:22;V;;;;;;
B;250;4546419;2;20240506 01:22;;;;MOLE RIVER RD;MOLE RIVER;2372;167.9;H;20240313;20240424;580000;;3;FARM;;;;0;AU10672;
C;250;4546419;2;20240506 01:22;61/751515;
D;250;4546419;2;20240506 01:22;P;;;;;;
D;250;4546419;2;20240506 01:22;P;;;;;;
D;250;4546419;2;20240506 01:22;V;;;;;;
B;250;4546420;3;20240506 01:22;;;;MOLE RIVER RD;MOLE RIVER;2372;77.29;H;20240321;20240424;320000;;V;VACANT LAND;;;;0;AU11707;
C;250;4546420;3;20240506 01:22;12/751515;
D;250;4546420;3;20240506 01:22;P;;;;;;
D;250;4546420;3;20240506 01:22;P;;;;;;
D;250;4546420;3;20240506 01:22;V;;;;;;
B;250;4429434;4;20240506 01:22;;;9;MOUNT MCKENZIE LOOKOUT RD;TENTERFIELD;2372;5.7;H;20240226;20240501;250000;RU1;V;VACANT LAND;;RGE;;0;AU29150;
C;250;4429434;4;20240506 01:22;543/1284441;
D;250;4429434;4;20240506 01:22;P;;;;;;
D;250;4429434;4;20240506 01:22;V;;;;;;
B;250;4484008;5;20240506 01:22;;;;ROUSE ST;TENTERFIELD;2372;3963;M;20240315;20240426;200000;RU5;V;VACANT LAND;;ATR;;0;AU15198;
C;250;4484008;5;20240506 01:22;4/1294209;
D;250;4484008;5;20240506 01:22;P;;;;;;
D;250;4484008;5;20240506 01:22;P;;;;;;
D;250;4484008;5;20240506 01:22;V;;;;;;
D;250;4484008;5;20240506 01:22;V;;;;;;
B;250;4359816;6;20240506 01:22;;;517;GUNYAH RD;TENTERFIELD;2372;48.5;H;20240325;20240424;920000;RU1;R;RESIDENCE;;RSJ;;0;AU10265;
C;250;4359816;6;20240506 01:22;261/1265809 Enclosure Permit 54659;
D;250;4359816;6;20240506 01:22;P;;;;;;
D;250;4359816;6;20240506 01:22;V;;;;;;
D;250;4359816;6;20240506 01:22;V;;;;;;
B;250;4340499;7;20240506 01:22;;;335;WASHPOOL CREEK RD;TENTERFIELD;2372;22.7;H;20240404;20240502;540000;RU1;3;FARM;;RJE;;0;AU33803;
C;250;4340499;7;20240506 01:22;32/1269783;
D;250;4340499;7;20240506 01:22;P;;;;;;
D;250;4340499;7;20240506 01:22;P;;;;;;
D;250;4340499;7;20240506 01:22;V;;;;;;
Z;36;7;7;20;
