A;RTSALEDATA;018;20210517 01:00;VALNET;
B;018;393299;1;20210517 01:00;;1;46;WALLAGA LAKE RD;BERMAGUI;2546;;;20210329;20210510;435000;;R;RESIDENCE;1;;;0;AR33425;
C;018;393299;1;20210517 01:00;1/SP51106;
D;018;393299;1;20210517 01:00;P;;;;;;
D;018;393299;1;20210517 01:00;V;;;;;;
D;018;393299;1;20210517 01:00;V;;;;;;
B;018;391514;2;20210517 01:00;;;4;MERINGO ST;BEGA;2550;676.6;M;20210324;20210513;469000;R2;R;RESIDENCE;;BRH;;0;AR48448;
C;018;391514;2;20210517 01:00;17/21127;
D;018;391514;2;20210517 01:00;P;;;;;;
D;018;391514;2;20210517 01:00;P;;;;;;
D;018;391514;2;20210517 01:00;V;;;;;;
B;018;392049;3;20210517 01:00;;;18;UNION ST;BEGA;2550;1110;M;20210416;20210513;297000;R3;R;RESIDENCE;;BMC;;0;AR47876;
C;018;392049;3;20210517 01:00;1/583808;
D;018;392049;3;20210517 01:00;P;;;;;;
D;018;392049;3;20210517 01:00;P;;;;;;
D;018;392049;3;20210517 01:00;V;;;;;;
B;018;392478;4;20210517 01:00;;;98;LAMONT ST;BERMAGUI;2546;1012;M;20210312;20210511;1245000;R2;R;RESIDENCE;;BRD;;0;AR37821;
C;018;392478;4;20210517 01:00;7/4/758095;
D;018;392478;4;20210517 01:00;P;;;;;;
D;018;392478;4;20210517 01:00;V;;;;;;
B;018;392643;5;20210517 01:00;;;36;GEORGE ST;BERMAGUI;2546;828.4;M;20210330;20210511;264500;R2;V;VACANT LAND;;BRC;;0;AR39488;
C;018;392643;5;20210517 01:00;9/22979;
D;018;392643;5;20210517 01:00;P;;;;;;
D;018;392643;5;20210517 01:00;V;;;;;;
D;018;392643;5;20210517 01:00;V;;;;;;
B;018;395700;6;20210517 01:00;;2;9;CAMERON ST;MERIMBULA;2548;;;20210408;20210511;415000;;R;RESIDENCE;2;;;0;AR39540;
C;018;395700;6;20210517 01:00;2/SP31671;
D;018;395700;6;20210517 01:00;P;;;;;;
D;018;395700;6;20210517 01:00;P;;;;;;
D;018;395700;6;20210517 01:00;V;;;;;;
B;018;403886;7;20210517 01:00;;;339;COOLAGOLITE RD;COOLAGOLITE;2550;53.53;H;20210331;20210512;780000;RU1;V;VACANT LAND;;BUH;;0;AR44504;
C;018;403886;7;20210517 01:00;5/603247;
D;018;403886;7;20210517 01:00;P;;;;;;
D;018;403886;7;20210517 01:00;P;;;;;;
D;018;403886;7;20210517 01:00;V;;;;;;
D;018;403886;7;20210517 01:00;V;;;;;;
B;018;393988;8;20210517 01:00;;;26;BASS ST;EDEN;2551;2036;M;20210407;20210507;495000;R3;R;RESIDENCE;;BMI;;0;AR29307;
C;018;393988;8;20210517 01:00;1/199787;
D;018;393988;8;20210517 01:00;P;;;;;;
