A;RTSALEDATA;042;20230515 01:07;VALNET;
B;042;472931;1;20230515 01:07;;;67;PINE SPRINGS RD;WOODSTOCK;2793;2.596;H;20230420;20230508;260000;RU1;R;RESIDENCE;;HFE;;0;AT68438;
C;042;472931;1;20230515 01:07;17/809672;
D;042;472931;1;20230515 01:07;P;;;;;;
D;042;472931;1;20230515 01:07;P;;;;;;
D;042;472931;1;20230515 01:07;V;;;;;;
B;042;474527;2;20230515 01:07;;;22;FITZROY AVE;COWRA;2794;695.5;M;20230406;20230511;280000;R1;R;RESIDENCE;;ACS;;0;AT77410;
C;042;474527;2;20230515 01:07;52/35725;
D;042;474527;2;20230515 01:07;P;;;;;;
D;042;474527;2;20230515 01:07;V;;;;;;
Z;11;2;2;5;
