A;RTSALEDATA;238;20231204 01:08;VALNET;
B;238;4519789;1;20231204 01:08;;;;CARINDA RD;COONAMBLE;2829;11.11;H;20230723;20231106;20200;;V;VACANT LAND;;;;0;AT592351;
C;238;4519789;1;20231204 01:08;2/1298056;
D;238;4519789;1;20231204 01:08;P;;;;;;
D;238;4519789;1;20231204 01:08;V;;;;;;
B;238;4519383;2;20231204 01:08;;;;EMBY RD;QUAMBONE;2831;54.58;H;20230503;20230719;22226;;V;VACANT LAND;;;;0;AT591983;
C;238;4519383;2;20231204 01:08;1/1257283;
D;238;4519383;2;20231204 01:08;P;;;;;;
D;238;4519383;2;20231204 01:08;V;;;;;;
B;238;3983968;3;20231204 01:08;;;;BACK GULAR RD;COONAMBLE;2829;114.01;H;20231026;20231130;1200000;RU1;3;FARM;;RRC;;0;AT648956;
C;238;3983968;3;20231204 01:08;175, 231/754199 51/754247;
D;238;3983968;3;20231204 01:08;P;;;;;;
D;238;3983968;3;20231204 01:08;P;;;;;;
D;238;3983968;3;20231204 01:08;V;;;;;;
D;238;3983968;3;20231204 01:08;V;;;;;;
B;238;3983969;4;20231204 01:08;;;;BACK GULAR RD;COONAMBLE;2829;129.5;H;20231026;20231130;1200000;RU1;3;FARM;;RRC;;0;AT648956;
C;238;3983969;4;20231204 01:08;233/754199;
D;238;3983969;4;20231204 01:08;P;;;;;;
D;238;3983969;4;20231204 01:08;P;;;;;;
D;238;3983969;4;20231204 01:08;V;;;;;;
D;238;3983969;4;20231204 01:08;V;;;;;;
B;238;3949979;5;20231204 01:08;;;QUILBONE, ;MERRI MERRI RD;QUAMBONE;2831;6719.5;H;20230816;20231113;9000000;RU1;3;FARM;;RGA;;0;AT597609;
C;238;3949979;5;20231204 01:08;2, 4/110608 19/753441 1, 2, 3, 5, 6, 7, 9, 10, 13, 16, 17, 18, 19, 21,;
C;238;3949979;5;20231204 01:08; 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 3;
C;238;3949979;5;20231204 01:08;9, 40, 43, 44, 45, 46, 49, 50, 51, 52, 53, 56, 60/753488 1, 2, 3, 4/11;
C;238;3949979;5;20231204 01:08;41552;
D;238;3949979;5;20231204 01:08;P;;;;;;
D;238;3949979;5;20231204 01:08;V;;;;;;
D;238;3949979;5;20231204 01:08;V;;;;;;
Z;30;5;8;15;
