A;RTSALEDATA;137;20230703 01:10;VALNET;
B;137;2868761;1;20230703 01:10;;;25;RAWSON ST;CROYDON PARK;2133;423;M;20230603;20230629;1620000;R2;R;RESIDENCE;;ESW;;0;AT221004;
C;137;2868761;1;20230703 01:10;391/1035221;
D;137;2868761;1;20230703 01:10;P;;;;;;
D;137;2868761;1;20230703 01:10;P;;;;;;
D;137;2868761;1;20230703 01:10;V;;;;;;
D;137;2868761;1;20230703 01:10;V;;;;;;
B;137;3486307;2;20230703 01:10;;14;47;RAILWAY CRES;BURWOOD;2134;;;20230503;20230623;750000;;R;RESIDENCE;14;;;0;AT201336;
C;137;3486307;2;20230703 01:10;14/SP82979;
D;137;3486307;2;20230703 01:10;P;;;;;;
D;137;3486307;2;20230703 01:10;V;;;;;;
B;137;3077717;3;20230703 01:10;;2;320 A;LIVERPOOL RD;ENFIELD;2136;;;20230513;20230626;552000;;R;RESIDENCE;2;;;0;AT206937;
C;137;3077717;3;20230703 01:10;2/SP72426;
D;137;3077717;3;20230703 01:10;P;;;;;;
D;137;3077717;3;20230703 01:10;V;;;;;;
D;137;3077717;3;20230703 01:10;V;;;;;;
B;137;4125375;4;20230703 01:10;;43;27;BURWOOD RD;BURWOOD;2134;;;20230516;20230627;880800;;R;RESIDENCE;43;;;0;AT210852;
C;137;4125375;4;20230703 01:10;43/SP97169;
D;137;4125375;4;20230703 01:10;P;;;;;;
D;137;4125375;4;20230703 01:10;P;;;;;;
D;137;4125375;4;20230703 01:10;V;;;;;;
D;137;4125375;4;20230703 01:10;V;;;;;;
B;137;1391212;5;20230703 01:10;;;102;CORONATION PDE;CROYDON PARK;2133;322.5;M;20230512;20230623;1450000;R2;R;RESIDENCE;;ESW;;0;AT201531;
C;137;1391212;5;20230703 01:10;8/233107;
D;137;1391212;5;20230703 01:10;P;;;;;;
D;137;1391212;5;20230703 01:10;P;;;;;;
D;137;1391212;5;20230703 01:10;V;;;;;;
D;137;1391212;5;20230703 01:10;V;;;;;;
B;137;1399133;6;20230703 01:10;;;38;WOODSIDE AVE;STRATHFIELD;2135;1039;M;20230401;20230626;5430000;R2;R;RESIDENCE;;EPS;;0;AT208749;
C;137;1399133;6;20230703 01:10;E/386041;
D;137;1399133;6;20230703 01:10;P;;;;;;
D;137;1399133;6;20230703 01:10;P;;;;;;
D;137;1399133;6;20230703 01:10;V;;;;;;
B;137;1392588;7;20230703 01:10;;;384;GEORGES RIVER RD;CROYDON PARK;2133;398.4;M;20230522;20230626;1415000;R2;R;RESIDENCE;;ELL;;0;AT207418;
C;137;1392588;7;20230703 01:10;8/A/7728;
D;137;1392588;7;20230703 01:10;P;;;;;;
D;137;1392588;7;20230703 01:10;P;;;;;;
D;137;1392588;7;20230703 01:10;V;;;;;;
B;137;1390131;8;20230703 01:10;;;282;BURWOOD RD;BURWOOD;2134;1103.78;M;20230504;20230628;3850000;R2;3;COMMERCIAL;;EFH;;0;AT215642;
C;137;1390131;8;20230703 01:10;1/917486;
D;137;1390131;8;20230703 01:10;P;;;;;;
D;137;1390131;8;20230703 01:10;V;;;;;;
B;137;1390163;9;20230703 01:10;;;30;BURWOOD RD;BURWOOD HEIGHTS;2136;582.1;M;20230429;20230626;2177000;R1;R;RESIDENCE;;EDL;;0;AT208624;
C;137;1390163;9;20230703 01:10;1/591106;
D;137;1390163;9;20230703 01:10;P;;;;;;
D;137;1390163;9;20230703 01:10;P;;;;;;
D;137;1390163;9;20230703 01:10;V;;;;;;
D;137;1390163;9;20230703 01:10;V;;;;;;
B;137;1397974;10;20230703 01:10;;;39;TRELAWNEY ST;CROYDON PARK;2133;524.8;M;20230602;20230627;820000;R2;R;RESIDENCE;;ELL;;0;AT209939;
C;137;1397974;10;20230703 01:10;3/229789;
D;137;1397974;10;20230703 01:10;P;;;;;;
D;137;1397974;10;20230703 01:10;P;;;;;;
D;137;1397974;10;20230703 01:10;P;;;;;;
D;137;1397974;10;20230703 01:10;V;;;;;;
D;137;1397974;10;20230703 01:10;V;;;;;;
B;137;1390682;11;20230703 01:10;;;23;CARLYLE ST;ENFIELD;2136;499.6;M;20230513;20230627;1630000;R2;R;RESIDENCE;;ESW;;0;AT210245;
C;137;1390682;11;20230703 01:10;C/9526;
D;137;1390682;11;20230703 01:10;P;;;;;;
D;137;1390682;11;20230703 01:10;V;;;;;;
B;137;1393311;12;20230703 01:10;;;12;KENT AVE;CROYDON PARK;2133;243;M;20230513;20230626;1213000;R2;R;RESIDENCE;;ESE;;0;AT208604;
C;137;1393311;12;20230703 01:10;2/1076799;
D;137;1393311;12;20230703 01:10;P;;;;;;
D;137;1393311;12;20230703 01:10;P;;;;;;
D;137;1393311;12;20230703 01:10;V;;;;;;
D;137;1393311;12;20230703 01:10;V;;;;;;
B;137;1398584;13;20230703 01:10;;;135;WENTWORTH RD;STRATHFIELD;2135;1530.2;M;20221027;20230627;5250000;R2;R;RESIDENCE;;EPS;;0;AT211801;
C;137;1398584;13;20230703 01:10;8, 9/11233;
D;137;1398584;13;20230703 01:10;P;;;;;;
D;137;1398584;13;20230703 01:10;P;;;;;;
D;137;1398584;13;20230703 01:10;V;;;;;;
B;137;4414134;14;20230703 01:10;;104;15;CLARENCE ST;BURWOOD;2134;134;M;20220819;20230627;1300000;;R;RESIDENCE;114;;;0;AT210370;
C;137;4414134;14;20230703 01:10;114/SP106267;
D;137;4414134;14;20230703 01:10;P;;;;;;
D;137;4414134;14;20230703 01:10;V;;;;;;
B;137;4414134;15;20230703 01:10;;309;15;CLARENCE ST;BURWOOD;2134;107;M;20230123;20230626;1090000;;R;RESIDENCE;120;;;0;AT208029;
C;137;4414134;15;20230703 01:10;120/SP106267;
D;137;4414134;15;20230703 01:10;P;;;;;;
D;137;4414134;15;20230703 01:10;P;;;;;;
D;137;4414134;15;20230703 01:10;V;;;;;;
B;137;4414134;16;20230703 01:10;;2;15;CLARENCE ST;BURWOOD;2134;140;M;20221118;20230628;1395000;;R;RESIDENCE;121;;;0;AT217432;
C;137;4414134;16;20230703 01:10;121/SP106267;
D;137;4414134;16;20230703 01:10;P;;;;;;
D;137;4414134;16;20230703 01:10;V;;;;;;
B;137;4487661;17;20230703 01:10;;;22;CORONATION PDE;ENFIELD;2136;96;M;20180629;20230629;620000;;R;RESIDENCE;22;;;0;AT222061;
C;137;4487661;17;20230703 01:10;22/SP106286;
D;137;4487661;17;20230703 01:10;P;;;;;;
D;137;4487661;17;20230703 01:10;V;;;;;;
B;137;4290747;18;20230703 01:10;;802;6;RAILWAY PDE;BURWOOD;2134;81;M;20230531;20230628;705000;;R;RESIDENCE;18;;;0;AT214957;
C;137;4290747;18;20230703 01:10;18/SP101331;
D;137;4290747;18;20230703 01:10;P;;;;;;
D;137;4290747;18;20230703 01:10;V;;;;;;
D;137;4290747;18;20230703 01:10;V;;;;;;
B;137;4365925;19;20230703 01:10;;2001;7;DEANE ST;BURWOOD;2134;93;M;20230525;20230626;953000;;R;RESIDENCE;9;;;0;AT207580;
C;137;4365925;19;20230703 01:10;9/SP102696;
D;137;4365925;19;20230703 01:10;P;;;;;;
D;137;4365925;19;20230703 01:10;V;;;;;;
Z;97;19;19;57;
