A;RTSALEDATA;265;20240429 01:07;VALNET;
B;265;420406;1;20240429 01:07;;;23;TEMORA ST;COOTAMUNDRA;2590;550.1;M;20240313;20240424;400000;R1;R;RESIDENCE;;RCY;;0;AU12563;
C;265;420406;1;20240429 01:07;4/24900;
D;265;420406;1;20240429 01:07;P;;;;;;
D;265;420406;1;20240429 01:07;V;;;;;;
D;265;420406;1;20240429 01:07;V;;;;;;
B;265;421458;2;20240429 01:07;;;68;MORRISONS HILL RD;WALLENDBEEN;2588;2.055;H;20240313;20240424;430000;RU1;R;RESIDENCE;;HWB;;0;AU12552;
C;265;421458;2;20240429 01:07;1/585113;
D;265;421458;2;20240429 01:07;P;;;;;;
D;265;421458;2;20240429 01:07;P;;;;;;
D;265;421458;2;20240429 01:07;V;;;;;;
B;265;4090278;3;20240429 01:07;;;5;DODD ST;GUNDAGAI;2722;1761;M;20240229;20240424;315000;R1;R;RESIDENCE;;AGA;;0;AU12293;
C;265;4090278;3;20240429 01:07;202/1230030;
D;265;4090278;3;20240429 01:07;P;;;;;;
D;265;4090278;3;20240429 01:07;V;;;;;;
B;265;527088;4;20240429 01:07;;;239;BRUNGLE RD;SOUTH GUNDAGAI;2722;6436;M;20240307;20240418;400000;RU4;R;RESIDENCE;;RSG;;0;AT993149;
C;265;527088;4;20240429 01:07;12/607689;
D;265;527088;4;20240429 01:07;P;;;;;;
D;265;527088;4;20240429 01:07;V;;;;;;
D;265;527088;4;20240429 01:07;V;;;;;;
Z;21;4;4;11;
