A;RTSALEDATA;137;20240205 01:07;VALNET;
B;137;4523516;1;20240205 01:07;;804;15;GEORGE ST;BURWOOD;2134;116;M;20230913;20240130;1240000;;R;RESIDENCE;20;;;0;AT799291;
C;137;4523516;1;20240205 01:07;20/SP106917;
D;137;4523516;1;20240205 01:07;P;;;;;;
D;137;4523516;1;20240205 01:07;V;;;;;;
B;137;4523516;2;20240205 01:07;;1204;15;GEORGE ST;BURWOOD;2134;75;M;20231003;20240129;870000;;R;RESIDENCE;36;;;0;AT795661;
C;137;4523516;2;20240205 01:07;36/SP106917;
D;137;4523516;2;20240205 01:07;P;;;;;;
D;137;4523516;2;20240205 01:07;P;;;;;;
D;137;4523516;2;20240205 01:07;V;;;;;;
B;137;1391303;3;20240205 01:07;;;54;CROYDON AVE;CROYDON;2132;354.1;M;20231115;20240129;3010000;R2;R;RESIDENCE;;ESE;;0;AT796845;
C;137;1391303;3;20240205 01:07;1/301847;
D;137;1391303;3;20240205 01:07;P;;;;;;
D;137;1391303;3;20240205 01:07;P;;;;;;
D;137;1391303;3;20240205 01:07;V;;;;;;
B;137;1394300;4;20240205 01:07;;21;11;LYONS ST;STRATHFIELD;2135;;;20230912;20240129;1285000;;R;RESIDENCE;21;;;0;AT797166;
C;137;1394300;4;20240205 01:07;21/SP14878;
D;137;1394300;4;20240205 01:07;P;;;;;;
D;137;1394300;4;20240205 01:07;V;;;;;;
D;137;1394300;4;20240205 01:07;V;;;;;;
B;137;1391948;5;20240205 01:07;;30;7;EVERTON RD;STRATHFIELD;2135;;;20231219;20240130;685000;;R;RESIDENCE;30;;;0;AT799441;
C;137;1391948;5;20240205 01:07;30/SP3014;
D;137;1391948;5;20240205 01:07;P;;;;;;
D;137;1391948;5;20240205 01:07;P;;;;;;
D;137;1391948;5;20240205 01:07;V;;;;;;
B;137;1391948;6;20240205 01:07;GARAGE;30;7;EVERTON RD;STRATHFIELD;2135;;;20231219;20240130;685000;;R;RESIDENCE;54;;;0;AT799441;
C;137;1391948;6;20240205 01:07;54/SP3014;
D;137;1391948;6;20240205 01:07;P;;;;;;
D;137;1391948;6;20240205 01:07;P;;;;;;
D;137;1391948;6;20240205 01:07;V;;;;;;
B;137;1394453;7;20240205 01:07;;;9;MCDONALD CRES;STRATHFIELD;2135;366.7;M;20231111;20240131;2985000;R2;R;RESIDENCE;;EPS;;0;AT802489;
C;137;1394453;7;20240205 01:07;8/216584;
D;137;1394453;7;20240205 01:07;P;;;;;;
D;137;1394453;7;20240205 01:07;V;;;;;;
D;137;1394453;7;20240205 01:07;V;;;;;;
B;137;1397106;8;20240205 01:07;;;80;SHAFTESBURY RD;BURWOOD;2134;599.8;M;20230909;20240130;3700000;R2;R;RESIDENCE;;EJJ;;0;AT800077;
C;137;1397106;8;20240205 01:07;1/249137;
D;137;1397106;8;20240205 01:07;P;;;;;;
D;137;1397106;8;20240205 01:07;P;;;;;;
D;137;1397106;8;20240205 01:07;P;;;;;;
D;137;1397106;8;20240205 01:07;V;;;;;;
B;137;1397335;9;20240205 01:07;;;39;STANLEY ST;BURWOOD;2134;360;M;20231202;20240129;2261000;R1;R;RESIDENCE;;MHD;;0;AT795283;
C;137;1397335;9;20240205 01:07;1/195096;
D;137;1397335;9;20240205 01:07;P;;;;;;
D;137;1397335;9;20240205 01:07;P;;;;;;
D;137;1397335;9;20240205 01:07;V;;;;;;
B;137;1394939;10;20240205 01:07;;3;34;MORWICK ST;STRATHFIELD;2135;;;20231028;20240129;900000;;R;RESIDENCE;3;;;0;AT793647;
C;137;1394939;10;20240205 01:07;3/SP7421;
D;137;1394939;10;20240205 01:07;P;;;;;;
D;137;1394939;10;20240205 01:07;V;;;;;;
B;137;1397561;11;20240205 01:07;;;24;TAHLEE ST;BURWOOD;2134;430;M;20231118;20240129;2500000;R2;R;RESIDENCE;;EFH;;0;AT796712;
C;137;1397561;11;20240205 01:07;42/6519;
D;137;1397561;11;20240205 01:07;P;;;;;;
D;137;1397561;11;20240205 01:07;P;;;;;;
D;137;1397561;11;20240205 01:07;V;;;;;;
D;137;1397561;11;20240205 01:07;V;;;;;;
B;137;1392556;12;20240205 01:07;;;434;GEORGES RIVER RD;CROYDON PARK;2133;423.7;M;20231217;20240129;1500000;R1;R;RESIDENCE;;EDL;;0;AT795592;
C;137;1392556;12;20240205 01:07;56/655906;
D;137;1392556;12;20240205 01:07;P;;;;;;
D;137;1392556;12;20240205 01:07;V;;;;;;
D;137;1392556;12;20240205 01:07;V;;;;;;
B;137;1390652;13;20240205 01:07;;7;2 A;CARLYLE ST;ENFIELD;2136;;;20231216;20240129;646500;;R;RESIDENCE;7;;;0;AT795835;
C;137;1390652;13;20240205 01:07;7/SP10487;
D;137;1390652;13;20240205 01:07;P;;;;;;
D;137;1390652;13;20240205 01:07;P;;;;;;
D;137;1390652;13;20240205 01:07;P;;;;;;
D;137;1390652;13;20240205 01:07;V;;;;;;
D;137;1390652;13;20240205 01:07;V;;;;;;
B;137;1393448;14;20240205 01:07;;;10;LEA ST;CROYDON;2132;682.9;M;20231219;20240131;3500000;R2;R;RESIDENCE;;EFG;;0;AT801959;
C;137;1393448;14;20240205 01:07;31/G/5639;
D;137;1393448;14;20240205 01:07;P;;;;;;
D;137;1393448;14;20240205 01:07;P;;;;;;
D;137;1393448;14;20240205 01:07;V;;;;;;
B;137;1391093;15;20240205 01:07;;;30;CONDER ST;BURWOOD;2134;245.4;M;20231219;20240130;1730000;R2;R;RESIDENCE;;EFH;;0;AT799061;
C;137;1391093;15;20240205 01:07;1/995539;
D;137;1391093;15;20240205 01:07;P;;;;;;
D;137;1391093;15;20240205 01:07;P;;;;;;
D;137;1391093;15;20240205 01:07;V;;;;;;
B;137;3244908;16;20240205 01:07;;;3;TANGARRA ST E;CROYDON PARK;2133;;;20231121;20240130;1950000;;R;RESIDENCE;1;;;0;AT798463;
C;137;3244908;16;20240205 01:07;1/SP76866;
D;137;3244908;16;20240205 01:07;P;;;;;;
D;137;3244908;16;20240205 01:07;V;;;;;;
B;137;3708503;17;20240205 01:07;;228;1;RAILWAY PDE;BURWOOD;2134;;;20231217;20240129;588000;;R;RESIDENCE;228;;;0;AT796638;
C;137;3708503;17;20240205 01:07;228/SP88309;
D;137;3708503;17;20240205 01:07;P;;;;;;
D;137;3708503;17;20240205 01:07;P;;;;;;
D;137;3708503;17;20240205 01:07;V;;;;;;
B;137;4487661;18;20240205 01:07;;42;22;CORONATION PDE;ENFIELD;2136;101;M;20231221;20240201;756000;;R;RESIDENCE;42;;;0;AT808644;
C;137;4487661;18;20240205 01:07;42/SP106286;
D;137;4487661;18;20240205 01:07;P;;;;;;
D;137;4487661;18;20240205 01:07;V;;;;;;
B;137;4353608;19;20240205 01:07;;;42;NICHOLSON ST;BURWOOD;2134;802.5;M;20230721;20240130;3900000;R2;R;RESIDENCE;;EFH;;0;AT799978;
C;137;4353608;19;20240205 01:07;1/1270084;
D;137;4353608;19;20240205 01:07;P;;;;;;
D;137;4353608;19;20240205 01:07;P;;;;;;
D;137;4353608;19;20240205 01:07;V;;;;;;
B;137;4353609;20;20240205 01:07;;;40;NICHOLSON ST;BURWOOD;2134;808.5;M;20231020;20240130;4051000;R2;R;RESIDENCE;;EFH;;0;AT799110;
C;137;4353609;20;20240205 01:07;2/1270084;
D;137;4353609;20;20240205 01:07;P;;;;;;
D;137;4353609;20;20240205 01:07;P;;;;;;
D;137;4353609;20;20240205 01:07;V;;;;;;
D;137;4353609;20;20240205 01:07;V;;;;;;
Z;103;20;20;61;
