A;RTSALEDATA;061;20221017 01:08;VALNET;
B;061;534667;1;20221017 01:08;;;42;MARQUIS ST;JUNEE;2663;1012;M;20220513;20221010;380000;RU5;R;RESIDENCE;;JCN;;0;AS535517;
C;061;534667;1;20221017 01:08;6, 7/13/1611;
D;061;534667;1;20221017 01:08;P;;;;;;
D;061;534667;1;20221017 01:08;P;;;;;;
D;061;534667;1;20221017 01:08;V;;;;;;
D;061;534667;1;20221017 01:08;V;;;;;;
B;061;534179;2;20221017 01:08;;;23;GEORGE ST;JUNEE;2663;770.3;M;20220831;20221012;365000;RU5;R;RESIDENCE;;JNS;;0;AS544418;
C;061;534179;2;20221017 01:08;122/777160;
D;061;534179;2;20221017 01:08;P;;;;;;
D;061;534179;2;20221017 01:08;V;;;;;;
B;061;534180;3;20221017 01:08;;;23;GEORGE ST;JUNEE;2663;537.5;M;20220831;20221012;365000;RU5;R;RESIDENCE;;JNS;;0;AS544418;
C;061;534180;3;20221017 01:08;A/375881;
D;061;534180;3;20221017 01:08;P;;;;;;
D;061;534180;3;20221017 01:08;V;;;;;;
Z;16;3;3;8;
