A;RTSALEDATA;109;20230320 01:06;VALNET;
B;109;3963832;1;20230320 01:06;;;13;LOFTUS ST;CARGO;2800;1526;M;20230210;20230221;500000;RU5;R;RESIDENCE;;ZVA;;0;AS873218;
C;109;3963832;1;20230320 01:06;15/1222174;
D;109;3963832;1;20230320 01:06;P;;;;;;
D;109;3963832;1;20230320 01:06;V;;;;;;
D;109;3963832;1;20230320 01:06;V;;;;;;
D;109;3963832;1;20230320 01:06;V;;;;;;
D;109;3963832;1;20230320 01:06;V;;;;;;
B;109;4325059;2;20230320 01:06;;;14;EURIMBLA RD;CUMNOCK;2867;2719;M;20230215;20230315;78000;RU5;R;RESIDENCE;;ZVF;;0;AS929189;
C;109;4325059;2;20230320 01:06;5/7016;
D;109;4325059;2;20230320 01:06;P;;;;;;
D;109;4325059;2;20230320 01:06;P;;;;;;
D;109;4325059;2;20230320 01:06;V;;;;;;
Z;14;2;2;8;
