A;RTSALEDATA;234;20231009 01:06;VALNET;
B;234;2928553;1;20231009 01:06;;;645;CHAPPLE LANE;BROKEN HILL;2880;671.9;M;20230823;20230929;235001;R1;R;RESIDENCE;;AAZ;;0;AT480287;
C;234;2928553;1;20231009 01:06;5/1043313;
D;234;2928553;1;20231009 01:06;P;;;;;;
D;234;2928553;1;20231009 01:06;P;;;;;;
D;234;2928553;1;20231009 01:06;V;;;;;;
B;234;2613440;2;20231009 01:06;;;512;ARGENT ST;BROKEN HILL;2880;513.5;M;20230823;20231004;140000;MU1;R;RESIDENCE;;MBX;;0;AT493003;
C;234;2613440;2;20231009 01:06;B/327086;
D;234;2613440;2;20231009 01:06;P;;;;;;
D;234;2613440;2;20231009 01:06;V;;;;;;
D;234;2613440;2;20231009 01:06;V;;;;;;
B;234;2613463;3;20231009 01:06;;;26;OXIDE ST;BROKEN HILL;2880;1827.4;M;20230921;20231004;1350000;E1;3;COMMERCIAL;;EBC;;0;AT490953;
C;234;2613463;3;20231009 01:06;510, 511, 512/757298;
D;234;2613463;3;20231009 01:06;P;;;;;;
D;234;2613463;3;20231009 01:06;V;;;;;;
B;234;2621570;4;20231009 01:06;;;119;THOMAS ST;BROKEN HILL;2880;1012;M;20230818;20230929;265000;R1;R;RESIDENCE;;AAR;;0;AT484109;
C;234;2621570;4;20231009 01:06;723/665738;
D;234;2621570;4;20231009 01:06;P;;;;;;
D;234;2621570;4;20231009 01:06;P;;;;;;
D;234;2621570;4;20231009 01:06;V;;;;;;
B;234;2613860;5;20231009 01:06;;;47;BLENDE ST;BROKEN HILL;2880;531.1;M;20230926;20230929;305000;R1;3;COMMERCIAL;;ACD;;0;AT479805;
C;234;2613860;5;20231009 01:06;B/369658;
D;234;2613860;5;20231009 01:06;P;;;;;;
D;234;2613860;5;20231009 01:06;V;;;;;;
B;234;2616883;6;20231009 01:06;;;108;GAFFNEY ST;BROKEN HILL;2880;935.8;M;20230822;20231004;180000;R1;R;RESIDENCE;;AAB;;0;AT492714;
C;234;2616883;6;20231009 01:06;B/405882;
D;234;2616883;6;20231009 01:06;P;;;;;;
D;234;2616883;6;20231009 01:06;P;;;;;;
D;234;2616883;6;20231009 01:06;V;;;;;;
D;234;2616883;6;20231009 01:06;V;;;;;;
B;234;2619792;7;20231009 01:06;;;157;NICHOLLS ST;BROKEN HILL;2880;588;M;20230912;20231005;160000;R1;R;RESIDENCE;;AAB;;0;AT495582;
C;234;2619792;7;20231009 01:06;218/757298 Western Land Lease 12583;
D;234;2619792;7;20231009 01:06;P;;;;;;
D;234;2619792;7;20231009 01:06;P;;;;;;
D;234;2619792;7;20231009 01:06;V;;;;;;
B;234;2622614;8;20231009 01:06;;;170;WILLS ST;BROKEN HILL;2880;1111;M;20230821;20231005;160000;R1;R;RESIDENCE;;AAB;;0;AT495510;
C;234;2622614;8;20231009 01:06;1/982450;
D;234;2622614;8;20231009 01:06;P;;;;;;
D;234;2622614;8;20231009 01:06;V;;;;;;
B;234;2622747;9;20231009 01:06;;;292;WILSON ST;BROKEN HILL;2880;1012;M;20230907;20231005;180000;R1;R;RESIDENCE;;AAC;;0;AT495790;
C;234;2622747;9;20231009 01:06;19/5/758018;
D;234;2622747;9;20231009 01:06;P;;;;;;
D;234;2622747;9;20231009 01:06;V;;;;;;
D;234;2622747;9;20231009 01:06;V;;;;;;
B;234;2622922;10;20231009 01:06;;;93;WOLFRAM ST;BROKEN HILL;2880;505.9;M;20230830;20231003;60000;R1;R;RESIDENCE;;ACD;;0;AT487503;
C;234;2622922;10;20231009 01:06;1/930339;
D;234;2622922;10;20231009 01:06;P;;;;;;
D;234;2622922;10;20231009 01:06;P;;;;;;
D;234;2622922;10;20231009 01:06;V;;;;;;
B;234;2620326;11;20231009 01:06;;;11;PATTON ST;BROKEN HILL;2880;1012;M;20230824;20231005;175000;R1;R;RESIDENCE;;AAC;;0;AT494297;
C;234;2620326;11;20231009 01:06;4704/757298;
D;234;2620326;11;20231009 01:06;P;;;;;;
D;234;2620326;11;20231009 01:06;V;;;;;;
D;234;2620326;11;20231009 01:06;V;;;;;;
D;234;2620326;11;20231009 01:06;V;;;;;;
B;234;2617893;12;20231009 01:06;;;289;KAOLIN ST;BROKEN HILL;2880;651.3;M;20230809;20231004;190000;R1;R;RESIDENCE;;AAR;;0;AT493236;
C;234;2617893;12;20231009 01:06;2/126836;
D;234;2617893;12;20231009 01:06;P;;;;;;
D;234;2617893;12;20231009 01:06;V;;;;;;
B;234;2620644;13;20231009 01:06;;;333;PIPER ST;BROKEN HILL;2880;505.9;M;20230817;20231004;130000;R1;R;RESIDENCE;;AAC;;0;AT492619;
C;234;2620644;13;20231009 01:06;A/312004;
D;234;2620644;13;20231009 01:06;P;;;;;;
D;234;2620644;13;20231009 01:06;V;;;;;;
B;234;2613264;14;20231009 01:06;;;245;ARGENT ST;BROKEN HILL;2880;679.4;M;20230828;20231004;115000;E1;3;COMMERCIAL;;EBC;;0;AT492979;
C;234;2613264;14;20231009 01:06;237/773066;
D;234;2613264;14;20231009 01:06;P;;;;;;
D;234;2613264;14;20231009 01:06;V;;;;;;
B;234;2615903;15;20231009 01:06;;;242;CRYSTAL LANE;BROKEN HILL;2880;208.7;M;20230828;20231004;115000;E1;3;COMMERCIAL;;EBC;;0;AT492979;
C;234;2615903;15;20231009 01:06;D/397900;
D;234;2615903;15;20231009 01:06;P;;;;;;
D;234;2615903;15;20231009 01:06;V;;;;;;
Z;72;15;15;40;
