A;RTSALEDATA;243;20210913 02:18;VALNET;
B;243;2644662;1;20210913 02:19;;;107;THELANGERIN RD;HAY;2711;4.768;H;20210811;20210908;50000;RU1;V;VACANT LAND;;RRD;;0;AR409155;
C;243;2644662;1;20210913 02:19;1/517869;
D;243;2644662;1;20210913 02:19;P;;;;;;
D;243;2644662;1;20210913 02:19;V;;;;;;
B;243;2645161;2;20210913 02:19;;;141;LACHLAN ST;HAY;2711;462.23;M;20210816;20210908;180000;RU5;3;SHOP;;RBA;;0;AR410758;
C;243;2645161;2;20210913 02:19;6/976571;
D;243;2645161;2;20210913 02:19;P;;;;;;
D;243;2645161;2;20210913 02:19;V;;;;;;
B;243;2644869;3;20210913 02:19;;;433;CHURCH ST;HAY;2711;505.9;M;20210809;20210906;80000;RU5;R;RESIDENCE;;RAA;;0;AR400242;
C;243;2644869;3;20210913 02:19;1/998334;
D;243;2644869;3;20210913 02:19;P;;;;;;
D;243;2644869;3;20210913 02:19;V;;;;;;
Z;14;3;3;6;
