A;RTSALEDATA;042;20210308 01:00;VALNET;
B;042;475453;1;20210308 01:00;;;3;LENTARA ST;COWRA;2794;1043;M;20210127;20210226;425000;R1;R;RESIDENCE;;ACN;;0;AQ832194;
C;042;475453;1;20210308 01:00;1/39464;
D;042;475453;1;20210308 01:00;P;;;;;;
D;042;475453;1;20210308 01:00;P;;;;;;
D;042;475453;1;20210308 01:00;V;;;;;;
D;042;475453;1;20210308 01:00;V;;;;;;
B;042;475549;2;20210308 01:00;;;22;LIVERPOOL ST;COWRA;2794;1208;M;20210128;20210302;285000;R1;R;RESIDENCE;;ACC;;0;AQ839888;
C;042;475549;2;20210308 01:00;2/592159;
D;042;475549;2;20210308 01:00;P;;;;;;
D;042;475549;2;20210308 01:00;V;;;;;;
D;042;475549;2;20210308 01:00;V;;;;;;
B;042;473284;3;20210308 01:00;;;4;ALLAMBIE PL;COWRA;2794;705.5;M;20210129;20210226;275000;R1;R;RESIDENCE;;ACN;;0;AQ829702;
C;042;473284;3;20210308 01:00;3/586785;
D;042;473284;3;20210308 01:00;P;;;;;;
D;042;473284;3;20210308 01:00;V;;;;;;
B;042;473524;4;20210308 01:00;;;14;BINNI CREEK RD;COWRA;2794;822;M;20210129;20210226;58030;R1;R;RESIDENCE;;ACC;;0;AQ834075;
C;042;473524;4;20210308 01:00;1/394965;
D;042;473524;4;20210308 01:00;P;;;;;;
D;042;473524;4;20210308 01:00;V;;;;;;
D;042;473524;4;20210308 01:00;V;;;;;;
B;042;476133;5;20210308 01:00;;;28;PARKES ST;COWRA;2794;809.4;M;20210125;20210303;286000;R1;R;RESIDENCE;;ACC;;0;AQ842024;
C;042;476133;5;20210308 01:00;16/2/1244;
D;042;476133;5;20210308 01:00;P;;;;;;
D;042;476133;5;20210308 01:00;P;;;;;;
D;042;476133;5;20210308 01:00;V;;;;;;
D;042;476133;5;20210308 01:00;V;;;;;;
B;042;3959465;6;20210308 01:00;;;;REG HAILSTONE WAY;WOODSTOCK;2793;152.4;H;20201120;20210301;1600000;RU1;R;RESIDENCE;;HFE;;0;AQ837117;
C;042;3959465;6;20210308 01:00;1/1221697 Enclosure Permit 27107;
D;042;3959465;6;20210308 01:00;P;;;;;;
D;042;3959465;6;20210308 01:00;P;;;;;;
D;042;3959465;6;20210308 01:00;V;;;;;;
Z;33;6;6;19;
