A;RTSALEDATA;082;20240226 01:05;VALNET;
B;082;664824;1;20240226 01:05;;708;5;CITY VIEW RD;PENNANT HILLS;2120;;;20240109;20240221;838000;;R;RESIDENCE;76;;;0;AT850781;
C;082;664824;1;20240226 01:05;76/SP64163;
D;082;664824;1;20240226 01:05;P;;;;;;
D;082;664824;1;20240226 01:05;V;;;;;;
B;082;664824;2;20240226 01:05;;306;5;CITY VIEW RD;PENNANT HILLS;2120;;;20231218;20240221;650000;;R;RESIDENCE;30;;;0;AT849476;
C;082;664824;2;20240226 01:05;30/SP64163;
D;082;664824;2;20240226 01:05;P;;;;;;
D;082;664824;2;20240226 01:05;V;;;;;;
B;082;3449121;3;20240226 01:05;;1;293;PENNANT HILLS RD;THORNLEIGH;2120;;;20231124;20240220;480000;;3;COMMERCIAL;23;;;0;AT846888;
C;082;3449121;3;20240226 01:05;23/SP81959;
D;082;3449121;3;20240226 01:05;P;;;;;;
D;082;3449121;3;20240226 01:05;V;;;;;;
B;082;3449121;4;20240226 01:05;;2;293;PENNANT HILLS RD;THORNLEIGH;2120;;;20231124;20240220;480000;;3;COMMERCIAL;24;;;0;AT846888;
C;082;3449121;4;20240226 01:05;24/SP81959;
D;082;3449121;4;20240226 01:05;P;;;;;;
D;082;3449121;4;20240226 01:05;V;;;;;;
B;082;4215414;5;20240226 01:05;;7;2;COWAN RD;MOUNT COLAH;2079;83;M;20240122;20240221;480000;;R;RESIDENCE;7;;;0;AT851027;
C;082;4215414;5;20240226 01:05;7/SP99606;
D;082;4215414;5;20240226 01:05;P;;;;;;
D;082;4215414;5;20240226 01:05;V;;;;;;
B;082;4155860;6;20240226 01:05;;408;3;PRETORIA PDE;HORNSBY;2077;;;20231212;20240222;741000;;R;RESIDENCE;40;;;0;AT853344;
C;082;4155860;6;20240226 01:05;40/SP94005;
D;082;4155860;6;20240226 01:05;P;;;;;;
D;082;4155860;6;20240226 01:05;P;;;;;;
D;082;4155860;6;20240226 01:05;V;;;;;;
D;082;4155860;6;20240226 01:05;V;;;;;;
B;082;4034489;7;20240226 01:05;;56;35;BALMORAL ST;WAITARA;2077;117;M;20240208;20240222;345000;;R;RESIDENCE;56;;;0;AT852226;
C;082;4034489;7;20240226 01:05;56/SP95301;
D;082;4034489;7;20240226 01:05;P;;;;;;
D;082;4034489;7;20240226 01:05;V;;;;;;
D;082;4034489;7;20240226 01:05;V;;;;;;
B;082;4038751;8;20240226 01:05;;40;16;PARK AVE;WAITARA;2077;;;20240109;20240222;688000;;R;RESIDENCE;40;;;0;AT852317;
C;082;4038751;8;20240226 01:05;40/SP91025;
D;082;4038751;8;20240226 01:05;P;;;;;;
D;082;4038751;8;20240226 01:05;V;;;;;;
B;082;4124736;9;20240226 01:05;;;4;WEROMBI RD;MOUNT COLAH;2079;;;20231110;20240216;520000;;R;RESIDENCE;27;;;0;AT841231;
C;082;4124736;9;20240226 01:05;27/SP97669;
D;082;4124736;9;20240226 01:05;P;;;;;;
D;082;4124736;9;20240226 01:05;V;;;;;;
B;082;4533695;10;20240226 01:05;;;58;MOUNT PLEASANT AVE;NORMANHURST;2076;1347;M;20231121;20240119;1900000;;V;VACANT LAND;;;;0;AT775362;
C;082;4533695;10;20240226 01:05;34/6612;
D;082;4533695;10;20240226 01:05;P;;;;;;
D;082;4533695;10;20240226 01:05;V;;;;;;
B;082;4533696;11;20240226 01:05;;;60;MOUNT PLEASANT AVE;NORMANHURST;2076;1353;M;20231103;20240202;1375000;;V;VACANT LAND;;;;0;AT811312;
C;082;4533696;11;20240226 01:05;35/6612;
D;082;4533696;11;20240226 01:05;P;;;;;;
D;082;4533696;11;20240226 01:05;P;;;;;;
D;082;4533696;11;20240226 01:05;V;;;;;;
B;082;625015;12;20240226 01:05;;3;51;ALEXANDRIA PDE;WAITARA;2077;;;20231214;20240222;675000;;R;RESIDENCE;3;;;0;AT852311;
C;082;625015;12;20240226 01:05;3/SP8894;
D;082;625015;12;20240226 01:05;P;;;;;;
D;082;625015;12;20240226 01:05;P;;;;;;
D;082;625015;12;20240226 01:05;V;;;;;;
B;082;632844;13;20240226 01:05;;;1;CARBEEN RD;WESTLEIGH;2120;695.6;M;20231118;20240222;1940000;R2;R;RESIDENCE;;REH;;0;AT853895;
C;082;632844;13;20240226 01:05;218/237774;
D;082;632844;13;20240226 01:05;P;;;;;;
D;082;632844;13;20240226 01:05;P;;;;;;
D;082;632844;13;20240226 01:05;V;;;;;;
D;082;632844;13;20240226 01:05;V;;;;;;
B;082;633117;14;20240226 01:05;;;15;CARINYA RD;MOUNT COLAH;2079;771.4;M;20231130;20240222;1370000;R2;R;RESIDENCE;;REP;;0;AT853350;
C;082;633117;14;20240226 01:05;23/31455;
D;082;633117;14;20240226 01:05;P;;;;;;
D;082;633117;14;20240226 01:05;P;;;;;;
D;082;633117;14;20240226 01:05;V;;;;;;
D;082;633117;14;20240226 01:05;V;;;;;;
B;082;636536;15;20240226 01:05;;;73 A;CROSSLANDS RD;GALSTON;2159;2.027;H;20231123;20240221;3850000;RU4;R;RESIDENCE;;RSL;;0;AT849862;
C;082;636536;15;20240226 01:05;12/559858;
D;082;636536;15;20240226 01:05;P;;;;;;
D;082;636536;15;20240226 01:05;P;;;;;;
D;082;636536;15;20240226 01:05;V;;;;;;
B;082;634782;16;20240226 01:05;;;16;CHURCH ST;MOUNT KURING-GAI;2080;2188;M;20231209;20240216;2050000;R2;R;RESIDENCE;;REP;;0;AT840233;
C;082;634782;16;20240226 01:05;B/413196;
D;082;634782;16;20240226 01:05;P;;;;;;
D;082;634782;16;20240226 01:05;V;;;;;;
D;082;634782;16;20240226 01:05;V;;;;;;
B;082;661867;17;20240226 01:05;;160;107;PACIFIC HWY;HORNSBY;2077;;;20240120;20240221;731008;;R;RESIDENCE;160;;;0;AT850102;
C;082;661867;17;20240226 01:05;160/SP52527;
D;082;661867;17;20240226 01:05;P;;;;;;
D;082;661867;17;20240226 01:05;P;;;;;;
D;082;661867;17;20240226 01:05;V;;;;;;
D;082;661867;17;20240226 01:05;V;;;;;;
B;082;654504;18;20240226 01:05;;;25;MCCUSKER CRES;CHERRYBROOK;2126;503.4;M;20240117;20240221;2090000;R2;R;RESIDENCE;;RER;;0;AT850380;
C;082;654504;18;20240226 01:05;1017/882677;
D;082;654504;18;20240226 01:05;P;;;;;;
D;082;654504;18;20240226 01:05;P;;;;;;
D;082;654504;18;20240226 01:05;V;;;;;;
B;082;646870;19;20240226 01:05;;;7;HAYLEY PL;CHERRYBROOK;2126;834.2;M;20231222;20240216;2160000;R2;R;RESIDENCE;;REG;;0;AT842241;
C;082;646870;19;20240226 01:05;11/717822;
D;082;646870;19;20240226 01:05;P;;;;;;
D;082;646870;19;20240226 01:05;P;;;;;;
D;082;646870;19;20240226 01:05;V;;;;;;
D;082;646870;19;20240226 01:05;V;;;;;;
B;082;671004;20;20240226 01:05;;;10;STAR CRES;WEST PENNANT HILLS;2125;935.2;M;20240109;20240222;2620000;R2;R;RESIDENCE;;REA;;0;AT853540;
C;082;671004;20;20240226 01:05;5/213257;
