A;RTSALEDATA;117;20240415 01:05;VALNET;
B;117;1249114;1;20240415 01:05;;;19;RANKIN ST;FORBES;2871;575.4;M;20240111;20240411;472500;E1;R;RESIDENCE;;BBA;;0;AT976235;
C;117;1249114;1;20240415 01:05;1/435051;
D;117;1249114;1;20240415 01:05;P;;;;;;
D;117;1249114;1;20240415 01:05;V;;;;;;
D;117;1249114;1;20240415 01:05;V;;;;;;
B;117;1247570;2;20240415 01:05;;;27;FACEY ST;FORBES;2871;550.1;M;20240308;20240405;380000;R1;R;RESIDENCE;;AAA;;0;AT961028;
C;117;1247570;2;20240415 01:05;7/30170;
D;117;1247570;2;20240415 01:05;P;;;;;;
D;117;1247570;2;20240415 01:05;P;;;;;;
D;117;1247570;2;20240415 01:05;V;;;;;;
B;117;3230109;3;20240415 01:05;;;2496;WIRRINYA RD;GAREMA;2871;50.57;H;20240229;20240405;830000;RU1;3;FARM;;RSH;;0;AT960299;
C;117;3230109;3;20240415 01:05;3/1092767;
D;117;3230109;3;20240415 01:05;P;;;;;;
D;117;3230109;3;20240415 01:05;P;;;;;;
D;117;3230109;3;20240415 01:05;V;;;;;;
D;117;3230109;3;20240415 01:05;V;;;;;;
B;117;4437337;4;20240415 01:05;;;217;WENNINGS RD;LAKE COWAL;2671;371.2;H;20240325;20240405;1500000;RU1;3;FARM;;RWP;;0;AT961557;
C;117;4437337;4;20240415 01:05;101/753077;
D;117;4437337;4;20240415 01:05;P;;;;;;
D;117;4437337;4;20240415 01:05;V;;;;;;
D;117;4437337;4;20240415 01:05;V;;;;;;
Z;23;4;4;13;
