A;RTSALEDATA;150;20220815 01:12;VALNET;
B;150;1664733;1;20220815 01:12;;;81;ALCORN ST;SUFFOLK PARK;2481;613.4;M;20220805;20220810;4500000;P;R;RESIDENCE;;XJ;;0;AS380403;
C;150;1664733;1;20220815 01:12;41/31280;
D;150;1664733;1;20220815 01:12;P;;;;;;
D;150;1664733;1;20220815 01:12;V;;;;;;
D;150;1664733;1;20220815 01:12;V;;;;;;
B;150;1667577;2;20220815 01:12;;33;5;BYRON ST;BYRON BAY;2481;;;20220624;20220805;1100000;;3;SHOP;33;;;0;AS367714;
C;150;1667577;2;20220815 01:12;33/SP46891;
D;150;1667577;2;20220815 01:12;P;;;;;;
D;150;1667577;2;20220815 01:12;V;;;;;;
B;150;1667577;3;20220815 01:12;;34;5;BYRON ST;BYRON BAY;2481;;;20220624;20220805;1100000;;3;SHOP;34;;;0;AS367714;
C;150;1667577;3;20220815 01:12;34/SP46891;
D;150;1667577;3;20220815 01:12;P;;;;;;
D;150;1667577;3;20220815 01:12;V;;;;;;
B;150;1667722;4;20220815 01:12;;;47;CALLISTEMON DR;FEDERAL;2480;1.994;H;20220712;20220811;1175000;R5;R;RESIDENCE;;RRS;;0;AS382410;
C;150;1667722;4;20220815 01:12;3/805551;
D;150;1667722;4;20220815 01:12;P;;;;;;
D;150;1667722;4;20220815 01:12;P;;;;;;
D;150;1667722;4;20220815 01:12;V;;;;;;
B;150;1670929;5;20220815 01:12;;;526;HUONBROOK RD;HUONBROOK;2482;118.6;H;20220810;20220810;3900000;RU2;R;RESIDENCE;;RRC;;0;AS378008;
C;150;1670929;5;20220815 01:12;6/711063;
D;150;1670929;5;20220815 01:12;P;;;;;;
D;150;1670929;5;20220815 01:12;V;;;;;;
B;150;1668686;6;20220815 01:12;;9;11;COOPER ST;BYRON BAY;2481;;;20220624;20220805;815000;;R;RESIDENCE;9;;;0;AS368728;
C;150;1668686;6;20220815 01:12;9/SP47184;
D;150;1668686;6;20220815 01:12;P;;;;;;
D;150;1668686;6;20220815 01:12;V;;;;;;
B;150;1674152;7;20220815 01:12;;;7;OAK CT;SUFFOLK PARK;2481;703.3;M;20220715;20220805;1890000;R2;R;RESIDENCE;;AHF;;0;AS369657;
C;150;1674152;7;20220815 01:12;90/805839;
D;150;1674152;7;20220815 01:12;P;;;;;;
D;150;1674152;7;20220815 01:12;V;;;;;;
D;150;1674152;7;20220815 01:12;V;;;;;;
B;150;1676972;8;20220815 01:12;;13;1;SUNRISE BVD;BYRON BAY;2481;;;20220609;20220808;880000;;R;RESIDENCE;13;;;0;AS370923;
C;150;1676972;8;20220815 01:12;13/SP56259;
D;150;1676972;8;20220815 01:12;P;;;;;;
D;150;1676972;8;20220815 01:12;P;;;;;;
D;150;1676972;8;20220815 01:12;V;;;;;;
B;150;4246892;9;20220815 01:12;;7;6;CANOWINDRA CT;SOUTH GOLDEN BEACH;2483;155;M;20220711;20220810;940000;;R;RESIDENCE;7;;;0;AS378316;
C;150;4246892;9;20220815 01:12;7/SP100273;
D;150;4246892;9;20220815 01:12;P;;;;;;
D;150;4246892;9;20220815 01:12;V;;;;;;
D;150;4246892;9;20220815 01:12;V;;;;;;
B;150;3538480;10;20220815 01:12;;;35;ALCORN ST;SUFFOLK PARK;2481;303.5;M;20220805;20220810;2850000;P;R;RESIDENCE;;XJ;;0;AS380412;
C;150;3538480;10;20220815 01:12;18/31280;
D;150;3538480;10;20220815 01:12;P;;;;;;
D;150;3538480;10;20220815 01:12;P;;;;;;
D;150;3538480;10;20220815 01:12;V;;;;;;
B;150;3572688;11;20220815 01:12;;3;6;DURRUMBUL RD;MAIN ARM;2482;6000;M;20220419;20220727;700000;RU2;R;RESIDENCE;;RRC;;0;AS356409;
C;150;3572688;11;20220815 01:12;3/286352;
D;150;3572688;11;20220815 01:12;P;;;;;;
D;150;3572688;11;20220815 01:12;P;;;;;;
D;150;3572688;11;20220815 01:12;V;;;;;;
D;150;3572688;11;20220815 01:12;V;;;;;;
D;150;3572688;11;20220815 01:12;V;;;;;;
D;150;3572688;11;20220815 01:12;V;;;;;;
B;150;3239357;12;20220815 01:12;;;60 B;KINGSVALE RD;MYOCUM;2481;1.405;H;20220727;20220808;5100000;R5;3;COMMERCIAL;;RRS;;0;AS371790;
C;150;3239357;12;20220815 01:12;3/1094599;
D;150;3239357;12;20220815 01:12;P;;;;;;
D;150;3239357;12;20220815 01:12;V;;;;;;
B;150;3671840;13;20220815 01:12;;43;183;BROKEN HEAD RD;SUFFOLK PARK;2481;146;M;20220624;20220805;1150000;;R;RESIDENCE;44;;;0;AS366827;
C;150;3671840;13;20220815 01:12;44/SP90638;
D;150;3671840;13;20220815 01:12;P;;;;;;
D;150;3671840;13;20220815 01:12;V;;;;;;
Z;64;13;13;36;
