A;RTSALEDATA;101;20220425 04:02;VALNET;
B;101;1083162;1;20220425 04:03;;;60;MOUNT SCANZI RD;KANGAROO VALLEY;2577;2.098;H;20210510;20220419;1400000;RU1;R;RESIDENCE;;EBS;;0;AS57065;
C;101;1083162;1;20220425 04:03;71/251566;
D;101;1083162;1;20220425 04:03;P;;;;;;
D;101;1083162;1;20220425 04:03;V;;;;;;
B;101;3139917;2;20220425 04:03;;3;61;HAWKE ST;HUSKISSON;2540;214.3;M;20220317;20220419;1050000;R3;R;RESIDENCE;;LFS;;0;AS57150;
C;101;3139917;2;20220425 04:03;3/285894;
D;101;3139917;2;20220425 04:03;P;;;;;;
D;101;3139917;2;20220425 04:03;V;;;;;;
D;101;3139917;2;20220425 04:03;V;;;;;;
B;101;2922972;3;20220425 04:03;;;21;THE BOUNTY;MANYANA;2539;676;M;20220211;20220420;1000000;R2;R;RESIDENCE;;VBS;;0;AS61158;
C;101;2922972;3;20220425 04:03;898/1042888;
D;101;2922972;3;20220425 04:03;P;;;;;;
D;101;2922972;3;20220425 04:03;V;;;;;;
B;101;3296675;4;20220425 04:03;;;8;ROCK LILLY CL;WORRIGEE;2540;798.1;M;20220311;20220419;865000;R2;R;RESIDENCE;;FUS;;0;AS57818;
C;101;3296675;4;20220425 04:03;327/1107559;
D;101;3296675;4;20220425 04:03;P;;;;;;
D;101;3296675;4;20220425 04:03;V;;;;;;
D;101;3296675;4;20220425 04:03;V;;;;;;
B;101;1059598;5;20220425 04:03;;;105;CAMDEN ST;ULLADULLA;2539;855.9;M;20220302;20220420;1460000;R2;R;RESIDENCE;;YNS;;0;AS61610;
C;101;1059598;5;20220425 04:03;37/588289;
D;101;1059598;5;20220425 04:03;P;;;;;;
D;101;1059598;5;20220425 04:03;P;;;;;;
D;101;1059598;5;20220425 04:03;V;;;;;;
D;101;1059598;5;20220425 04:03;V;;;;;;
B;101;3689770;6;20220425 04:03;;;15;MEYER PL;BOMADERRY;2541;830.4;M;20220321;20220420;1000000;R2;R;RESIDENCE;;EWS;;0;AS61714;
C;101;3689770;6;20220425 04:03;12/1182188;
D;101;3689770;6;20220425 04:03;P;;;;;;
D;101;3689770;6;20220425 04:03;V;;;;;;
B;101;4359205;7;20220425 04:03;;6;137;PRINCES HWY;ULLADULLA;2539;50;M;20220310;20220421;255000;;3;COMMERCIAL;7;;;0;AS66030;
C;101;4359205;7;20220425 04:03;7/SP102667;
D;101;4359205;7;20220425 04:03;P;;;;;;
D;101;4359205;7;20220425 04:03;V;;;;;;
B;101;1089333;8;20220425 04:03;;;84;PRINCES HWY;LAKE TABOURIE;2539;600.7;M;20220330;20220419;690000;RU5;R;RESIDENCE;;TAS;;0;AS57871;
C;101;1089333;8;20220425 04:03;6/224267;
D;101;1089333;8;20220425 04:03;P;;;;;;
D;101;1089333;8;20220425 04:03;V;;;;;;
D;101;1089333;8;20220425 04:03;V;;;;;;
B;101;4417610;9;20220425 04:03;;;78;FIRETAIL ST;SOUTH NOWRA;2541;504;M;20211025;20220420;370000;R1;R;RESIDENCE;;FTS;;0;AS61893;
C;101;4417610;9;20220425 04:03;29/1281408;
D;101;4417610;9;20220425 04:03;P;;;;;;
D;101;4417610;9;20220425 04:03;P;;;;;;
D;101;4417610;9;20220425 04:03;V;;;;;;
B;101;3944285;10;20220425 04:03;;;68;HALLORAN ST;VINCENTIA;2540;340;M;20220311;20220420;870000;R2;R;RESIDENCE;;VES;;0;AS61895;
C;101;3944285;10;20220425 04:03;703/1204850;
D;101;3944285;10;20220425 04:03;P;;;;;;
D;101;3944285;10;20220425 04:03;P;;;;;;
D;101;3944285;10;20220425 04:03;V;;;;;;
B;101;4417593;11;20220425 04:03;;;23;CASA CCT;SOUTH NOWRA;2541;517.3;M;20210519;20220420;300000;R1;V;VACANT LAND;;FTS;;0;AS61908;
C;101;4417593;11;20220425 04:03;12/1281408;
D;101;4417593;11;20220425 04:03;P;;;;;;
D;101;4417593;11;20220425 04:03;V;;;;;;
B;101;4417596;12;20220425 04:03;;;22;CASA CCT;SOUTH NOWRA;2541;574.4;M;20210414;20220420;280000;R1;V;VACANT LAND;;FTS;;0;AS61940;
C;101;4417596;12;20220425 04:03;15/1281408;
D;101;4417596;12;20220425 04:03;P;;;;;;
D;101;4417596;12;20220425 04:03;P;;;;;;
D;101;4417596;12;20220425 04:03;V;;;;;;
B;101;4417611;13;20220425 04:03;;;3;ASPROMONTE DR;SOUTH NOWRA;2541;512;M;20210726;20220420;370000;R1;R;RESIDENCE;;FTS;;0;AS61970;
C;101;4417611;13;20220425 04:03;30/1281408;
D;101;4417611;13;20220425 04:03;P;;;;;;
D;101;4417611;13;20220425 04:03;V;;;;;;
