A;RTSALEDATA;010;20211213 01:05;VALNET;
B;010;4401177;1;20211213 01:05;;;20;IVORY CL;HEATHERBRAE;2324;1.276;H;20210415;20211006;1966426;;3;COMMERCIAL;;;;0;AR494872;
C;010;4401177;1;20211213 01:05;1402/1272419;
D;010;4401177;1;20211213 01:05;P;;;;;;
D;010;4401177;1;20211213 01:05;P;;;;;;
D;010;4401177;1;20211213 01:05;V;;;;;;
B;010;268293;2;20211213 01:05;;;31;ELIZABETH ST;HINTON;2321;809.4;M;20211111;20211209;708000;RU5;R;RESIDENCE;;RAA;;0;AR701328;
C;010;268293;2;20211213 01:05;47/975910;
D;010;268293;2;20211213 01:05;P;;;;;;
D;010;268293;2;20211213 01:05;P;;;;;;
D;010;268293;2;20211213 01:05;V;;;;;;
B;010;288307;3;20211213 01:05;;;3;TILLIGERRY TRK;TANILBA BAY;2319;474.2;M;20211022;20211203;695000;R2;R;RESIDENCE;;AAO;;0;AR683007;
C;010;288307;3;20211213 01:05;619/15774;
D;010;288307;3;20211213 01:05;P;;;;;;
D;010;288307;3;20211213 01:05;P;;;;;;
D;010;288307;3;20211213 01:05;V;;;;;;
B;010;4396338;4;20211213 01:05;;;70;SASSIN CRES;MEDOWIE;2318;4001;M;20201119;20211208;335000;;V;VACANT LAND;;;;0;AR699337;
C;010;4396338;4;20211213 01:05;2/1279036;
D;010;4396338;4;20211213 01:05;P;;;;;;
D;010;4396338;4;20211213 01:05;P;;;;;;
D;010;4396338;4;20211213 01:05;V;;;;;;
B;010;280586;5;20211213 01:05;;;35;BRANDY HILL DR;BRANDY HILL;2324;2.883;H;20210923;20211130;1525000;R5;R;RESIDENCE;;ABA;;0;AR667394;
C;010;280586;5;20211213 01:05;1/736166;
D;010;280586;5;20211213 01:05;P;;;;;;
D;010;280586;5;20211213 01:05;P;;;;;;
D;010;280586;5;20211213 01:05;V;;;;;;
D;010;280586;5;20211213 01:05;V;;;;;;
B;010;280252;6;20211213 01:05;;;58;WAHROONGA ST;RAYMOND TERRACE;2324;619.7;M;20211112;20211203;590000;R2;R;RESIDENCE;;ABD;;0;AR683244;
C;010;280252;6;20211213 01:05;53/24067;
D;010;280252;6;20211213 01:05;P;;;;;;
D;010;280252;6;20211213 01:05;P;;;;;;
D;010;280252;6;20211213 01:05;V;;;;;;
D;010;280252;6;20211213 01:05;V;;;;;;
B;010;4392259;7;20211213 01:05;;;3;FATCHES RD;RAYMOND TERRACE;2324;667.6;M;20210701;20211203;351000;R2;V;VACANT LAND;;ABG;;0;AR683262;
C;010;4392259;7;20211213 01:05;1004/1274838;
D;010;4392259;7;20211213 01:05;P;;;;;;
D;010;4392259;7;20211213 01:05;P;;;;;;
D;010;4392259;7;20211213 01:05;V;;;;;;
B;010;3157552;8;20211213 01:05;;;88;PERSHING PL;TANILBA BAY;2319;594;M;20211026;20211207;700000;R2;R;RESIDENCE;;AAO;;0;AR692666;
