A;RTSALEDATA;902;20210301 01:04;VALNET;
B;902;3456646;1;20210301 01:04;;;7647;HAMILTON GATE RD;WANAARING;2840;36565;H;20201202;20201203;400000;;3;FARM;;;;0;AQ610072;
C;902;3456646;1;20210301 01:04;5048/43591 4016/766489 Western Land Lease 13296 Western Land Lease 817;
C;902;3456646;1;20210301 01:04;9;
D;902;3456646;1;20210301 01:04;P;;;;;;
D;902;3456646;1;20210301 01:04;P;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
D;902;3456646;1;20210301 01:04;V;;;;;;
B;902;3468795;2;20210301 01:04;WHITE LEEDS;;;;SILVERTON;2880;2652.356;H;20201109;20201109;250000;;3;GRAZING;;;;0;AQ623128;
C;902;3468795;2;20210301 01:04;3, 30, 31/757309 6481/769310 6482/769311 Western Land Lease 1139;
D;902;3468795;2;20210301 01:04;P;;;;;;
D;902;3468795;2;20210301 01:04;P;;;;;;
D;902;3468795;2;20210301 01:04;V;;;;;;
Z;19;2;3;12;
