A;RTSALEDATA;537;20240729 01:08;VALNET;
B;537;1220417;1;20240729 01:08;;;1632;GAMBLE CREEK RD;BINNAWAY;2395;57.19;H;20240705;20240724;225000;RU1;R;RESIDENCE;;HFS;;0;AU272896;
C;537;1220417;1;20240729 01:08;9/858028;
D;537;1220417;1;20240729 01:08;P;;;;;;
D;537;1220417;1;20240729 01:08;P;;;;;;
D;537;1220417;1;20240729 01:08;V;;;;;;
D;537;1220417;1;20240729 01:08;V;;;;;;
B;537;2629622;2;20240729 01:08;TUMBALONG;;5061;WARRUMBUNGLES WAY;BINNAWAY;2395;42.83;H;20240529;20240710;650000;RU1;R;RESIDENCE;;HFC;;0;AU233757;
C;537;2629622;2;20240729 01:08;14, 43/754962 Enclosure Permit 160246;
D;537;2629622;2;20240729 01:08;P;;;;;;
D;537;2629622;2;20240729 01:08;V;;;;;;
B;537;2630005;3;20240729 01:08;;;9;CAMP ST;COONABARABRAN;2357;480.5;M;20240612;20240724;63000;R1;R;RESIDENCE;;ACN;;0;AU270819;
C;537;2630005;3;20240729 01:08;2, 3/508029;
D;537;2630005;3;20240729 01:08;P;;;;;;
D;537;2630005;3;20240729 01:08;V;;;;;;
D;537;2630005;3;20240729 01:08;V;;;;;;
B;537;2630531;4;20240729 01:08;;;6;ESSEX ST;COONABARABRAN;2357;1264;M;20240705;20240724;288000;E1;R;RESIDENCE;;BCF;;0;AU270622;
C;537;2630531;4;20240729 01:08;31/596455;
D;537;2630531;4;20240729 01:08;P;;;;;;
D;537;2630531;4;20240729 01:08;P;;;;;;
D;537;2630531;4;20240729 01:08;V;;;;;;
D;537;2630531;4;20240729 01:08;V;;;;;;
B;537;2631209;5;20240729 01:08;;;76;SOUTHERN CROSS PDE;COONABARABRAN;2357;2.037;H;20240611;20240723;73500;R5;R;RESIDENCE;;CNL;;0;AU267405;
C;537;2631209;5;20240729 01:08;3/874116;
D;537;2631209;5;20240729 01:08;P;;;;;;
D;537;2631209;5;20240729 01:08;P;;;;;;
D;537;2631209;5;20240729 01:08;V;;;;;;
D;537;2631209;5;20240729 01:08;V;;;;;;
B;537;4124437;6;20240729 01:08;;;2600;SANDY CREEK RD;DUNEDOO;2844;10;H;20240625;20240719;275000;RU1;R;RESIDENCE;;HFS;;0;AU260523;
C;537;4124437;6;20240729 01:08;1/839623;
D;537;4124437;6;20240729 01:08;P;;;;;;
D;537;4124437;6;20240729 01:08;V;;;;;;
B;537;2631627;7;20240729 01:08;;;1885;KENEBRI RD;KENEBRI;2396;2024;M;20240612;20240724;19000;RU5;V;VACANT LAND;;ZOV;;0;AU270517;
C;537;2631627;7;20240729 01:08;17/750294;
D;537;2631627;7;20240729 01:08;P;;;;;;
D;537;2631627;7;20240729 01:08;P;;;;;;
D;537;2631627;7;20240729 01:08;V;;;;;;
B;537;2629315;8;20240729 01:08;;;4;NORMAN ST;BINNAWAY;2395;1012;M;20240607;20240719;222500;RU5;R;RESIDENCE;;ZBI;;0;AU259155;
C;537;2629315;8;20240729 01:08;14/5/7934;
D;537;2629315;8;20240729 01:08;P;;;;;;
D;537;2629315;8;20240729 01:08;V;;;;;;
D;537;2629315;8;20240729 01:08;V;;;;;;
B;537;3765627;9;20240729 01:08;;;31;TALLAWANG ST;DUNEDOO;2844;851.2;M;20240529;20240719;429000;R1;R;RESIDENCE;;ADU;;0;AU262023;
C;537;3765627;9;20240729 01:08;2/620987;
D;537;3765627;9;20240729 01:08;P;;;;;;
D;537;3765627;9;20240729 01:08;V;;;;;;
D;537;3765627;9;20240729 01:08;V;;;;;;
Z;48;9;9;28;
