A;RTSALEDATA;117;20211129 01:34;VALNET;
B;117;1246427;1;20211129 01:35;;;;LACHLAN VALLEY WAY;FORBES;2871;26.3;H;20211026;20211125;400000;RU1;R;RESIDENCE;;RRW;;0;AR652625;
C;117;1246427;1;20211129 01:35;371/752962;
D;117;1246427;1;20211129 01:35;P;;;;;;
D;117;1246427;1;20211129 01:35;P;;;;;;
D;117;1246427;1;20211129 01:35;V;;;;;;
B;117;1249884;2;20211129 01:35;;;143;YORK ST;FORBES;2871;632.3;M;20211007;20211125;95000;R1;V;VACANT LAND;;AAA;;0;AR654040;
C;117;1249884;2;20211129 01:35;35/516368;
D;117;1249884;2;20211129 01:35;P;;;;;;
D;117;1249884;2;20211129 01:35;P;;;;;;
D;117;1249884;2;20211129 01:35;V;;;;;;
D;117;1249884;2;20211129 01:35;V;;;;;;
B;117;3519037;3;20211129 01:35;OTISAA;;4005;LACHLAN VALLEY WAY;WARROO;2871;341.45;H;20210326;20211123;1395000;RU1;3;FARM;;RWP;;0;AR644329;
C;117;3519037;3;20211129 01:35;20, 27, 28, 29/753127 1, 2, 3, 4/1089812 2/1144211;
D;117;3519037;3;20211129 01:35;P;;;;;;
D;117;3519037;3;20211129 01:35;V;;;;;;
B;117;1247469;4;20211129 01:35;;;15;LANDRACE RD;FORBES;2871;3245;M;20211012;20211119;407000;IN1;3;COMMERCIAL;;IFA;;0;AR631342;
C;117;1247469;4;20211129 01:35;26/854997;
D;117;1247469;4;20211129 01:35;P;;;;;;
D;117;1247469;4;20211129 01:35;P;;;;;;
D;117;1247469;4;20211129 01:35;P;;;;;;
D;117;1247469;4;20211129 01:35;P;;;;;;
D;117;1247469;4;20211129 01:35;V;;;;;;
B;117;1248500;5;20211129 01:35;;;17;LANDRACE RD;FORBES;2871;3973;M;20211012;20211119;407000;IN1;3;COMMERCIAL;;IFA;;0;AR631342;
C;117;1248500;5;20211129 01:35;10/794450;
D;117;1248500;5;20211129 01:35;P;;;;;;
D;117;1248500;5;20211129 01:35;P;;;;;;
D;117;1248500;5;20211129 01:35;P;;;;;;
D;117;1248500;5;20211129 01:35;P;;;;;;
D;117;1248500;5;20211129 01:35;V;;;;;;
B;117;2928500;6;20211129 01:35;;;65;LACHLAN ST;FORBES;2871;360.3;M;20211015;20211123;308000;B2;3;COMMERCIAL;;BBA;;0;AR645131;
C;117;2928500;6;20211129 01:35;1/378127 1, 2/527576;
D;117;2928500;6;20211129 01:35;P;;;;;;
D;117;2928500;6;20211129 01:35;V;;;;;;
D;117;2928500;6;20211129 01:35;V;;;;;;
Z;36;6;6;22;
