A;RTSALEDATA;052;20240624 01:06;VALNET;
B;052;2976041;1;20240624 01:06;MILLVILLE;;605;BUNDA RD;MERRIWAGGA;2652;708.62;H;20240509;20240620;3502000;RU1;3;FARM;;RCG;;0;AU170877;
C;052;2976041;1;20240624 01:06;33, 35/755171;
D;052;2976041;1;20240624 01:06;P;;;;;;
D;052;2976041;1;20240624 01:06;V;;;;;;
D;052;2976041;1;20240624 01:06;V;;;;;;
D;052;2976041;1;20240624 01:06;V;;;;;;
D;052;2976041;1;20240624 01:06;V;;;;;;
D;052;2976041;1;20240624 01:06;V;;;;;;
B;052;510201;2;20240624 01:06;;;100;COWPER ST;HILLSTON;2675;3035;M;20240530;20240617;500000;R5;R;RESIDENCE;;HLL;;0;AU160492;
C;052;510201;2;20240624 01:06;14, 15, 16/1/2559;
D;052;510201;2;20240624 01:06;P;;;;;;
D;052;510201;2;20240624 01:06;P;;;;;;
D;052;510201;2;20240624 01:06;V;;;;;;
B;052;3635028;3;20240624 01:06;;;1 A;ROSE ST;HILLSTON;2675;3403;M;20240529;20240617;350000;RU5;R;RESIDENCE;;HHT;;0;AU160495;
C;052;3635028;3;20240624 01:06;6/714339 1/1155135;
D;052;3635028;3;20240624 01:06;P;;;;;;
D;052;3635028;3;20240624 01:06;V;;;;;;
Z;19;3;3;11;
