A;RTSALEDATA;144;20230911 01:06;VALNET;
B;144;1582190;1;20230911 01:06;;8;117;ELOUERA RD;CRONULLA;2230;;;20230729;20230904;770000;;R;RESIDENCE;8;;;0;AT409499;
C;144;1582190;1;20230911 01:06;8/SP45539;
D;144;1582190;1;20230911 01:06;P;;;;;;
D;144;1582190;1;20230911 01:06;P;;;;;;
D;144;1582190;1;20230911 01:06;V;;;;;;
B;144;1579786;2;20230911 01:06;;;12;DINJERRA CL;BANGOR;2234;602.3;M;20230707;20230901;1826000;R2;R;RESIDENCE;;NRB;;0;AT406080;
C;144;1579786;2;20230911 01:06;206/850278;
D;144;1579786;2;20230911 01:06;P;;;;;;
D;144;1579786;2;20230911 01:06;P;;;;;;
D;144;1579786;2;20230911 01:06;V;;;;;;
D;144;1579786;2;20230911 01:06;V;;;;;;
B;144;1588081;3;20230911 01:06;;;10;GEELONG RD;ENGADINE;2233;638.6;M;20230803;20230901;1390000;C4;R;RESIDENCE;;CEW;;0;AT406105;
C;144;1588081;3;20230911 01:06;18/47/237726;
D;144;1588081;3;20230911 01:06;P;;;;;;
D;144;1588081;3;20230911 01:06;V;;;;;;
B;144;1596664;4;20230911 01:06;;;5;KALKADA AVE;GYMEA BAY;2227;607;M;20230627;20230905;1785000;R2;R;RESIDENCE;;HGB;;0;AT414335;
C;144;1596664;4;20230911 01:06;26/29532;
D;144;1596664;4;20230911 01:06;P;;;;;;
D;144;1596664;4;20230911 01:06;P;;;;;;
D;144;1596664;4;20230911 01:06;V;;;;;;
B;144;1596700;5;20230911 01:06;;;18;KALOONA PL;KIRRAWEE;2232;556.4;M;20230725;20230905;1500000;R2;R;RESIDENCE;;HKN;;0;AT412491;
C;144;1596700;5;20230911 01:06;23/223772;
D;144;1596700;5;20230911 01:06;P;;;;;;
D;144;1596700;5;20230911 01:06;P;;;;;;
D;144;1596700;5;20230911 01:06;V;;;;;;
D;144;1596700;5;20230911 01:06;V;;;;;;
B;144;1594094;6;20230911 01:06;;;1;HOMER PL;CARINGBAH SOUTH;2229;796.7;M;20230502;20230904;3500000;C4;R;RESIDENCE;;CDB;;0;AT409626;
C;144;1594094;6;20230911 01:06;5/30570;
D;144;1594094;6;20230911 01:06;P;;;;;;
D;144;1594094;6;20230911 01:06;P;;;;;;
D;144;1594094;6;20230911 01:06;V;;;;;;
B;144;1578159;7;20230911 01:06;;;6;CUMBEE LANE;CARINGBAH SOUTH;2229;585;M;20230705;20230816;5300000;C4;R;RESIDENCE;;CFA;;0;AT357451;
C;144;1578159;7;20230911 01:06;11/A/15550 Licence 430777;
D;144;1578159;7;20230911 01:06;P;;;;;;
D;144;1578159;7;20230911 01:06;V;;;;;;
B;144;1588948;8;20230911 01:06;;34;83;GERRALE ST;CRONULLA;2230;;;20230608;20230907;1720000;;R;RESIDENCE;34;;;0;AT420164;
C;144;1588948;8;20230911 01:06;34/SP6883;
D;144;1588948;8;20230911 01:06;P;;;;;;
D;144;1588948;8;20230911 01:06;V;;;;;;
B;144;1591654;9;20230911 01:06;;;90;GREEN POINT RD;OYSTER BAY;2225;613.11;M;20230722;20230904;1708000;R2;R;RESIDENCE;;HAP;;0;AT410499;
C;144;1591654;9;20230911 01:06;464/14716;
D;144;1591654;9;20230911 01:06;P;;;;;;
D;144;1591654;9;20230911 01:06;P;;;;;;
D;144;1591654;9;20230911 01:06;V;;;;;;
B;144;1581014;10;20230911 01:06;;;28 B;EDINBURGH CRES;WOOLOOWARE;2230;676.6;M;20230804;20230905;2580000;R2;R;RESIDENCE;;HAF;;0;AT412765;
C;144;1581014;10;20230911 01:06;3/527013;
D;144;1581014;10;20230911 01:06;P;;;;;;
D;144;1581014;10;20230911 01:06;P;;;;;;
D;144;1581014;10;20230911 01:06;V;;;;;;
D;144;1581014;10;20230911 01:06;V;;;;;;
B;144;1583700;11;20230911 01:06;;4;95;EVELYN ST;SYLVANIA;2224;;;20230726;20230906;685000;;R;RESIDENCE;4;;;0;AT417438;
C;144;1583700;11;20230911 01:06;4/SP8893;
D;144;1583700;11;20230911 01:06;P;;;;;;
D;144;1583700;11;20230911 01:06;P;;;;;;
D;144;1583700;11;20230911 01:06;V;;;;;;
B;144;1597252;12;20230911 01:06;;12;118;KARIMBLA RD;MIRANDA;2228;;;20230721;20230901;885000;;R;RESIDENCE;27;;;0;AT406644;
C;144;1597252;12;20230911 01:06;27/SP62843;
D;144;1597252;12;20230911 01:06;P;;;;;;
D;144;1597252;12;20230911 01:06;P;;;;;;
D;144;1597252;12;20230911 01:06;V;;;;;;
B;144;1584061;13;20230911 01:06;;2;203;EWOS PDE;CRONULLA;2230;;;20230525;20230901;1785000;;R;RESIDENCE;2;;;0;AT405830;
C;144;1584061;13;20230911 01:06;2/SP48466;
D;144;1584061;13;20230911 01:06;P;;;;;;
D;144;1584061;13;20230911 01:06;V;;;;;;
D;144;1584061;13;20230911 01:06;V;;;;;;
