A;RTSALEDATA;124;20240205 01:07;VALNET;
B;124;1272530;1;20240205 01:07;;;53;KENNA ST;ORANGE;2800;749.5;M;20240116;20240129;787000;R1;R;RESIDENCE;;AGS;;0;AT793747;
C;124;1272530;1;20240205 01:07;101/874456;
D;124;1272530;1;20240205 01:07;P;;;;;;
D;124;1272530;1;20240205 01:07;V;;;;;;
B;124;1269965;2;20240205 01:07;;6;19;ELSHAM AVE;ORANGE;2800;;;20231214;20240125;169000;;3;COMMERCIAL;6;;;0;AT790188;
C;124;1269965;2;20240205 01:07;6/SP61168;
D;124;1269965;2;20240205 01:07;P;;;;;;
D;124;1269965;2;20240205 01:07;P;;;;;;
D;124;1269965;2;20240205 01:07;V;;;;;;
B;124;1278357;3;20240205 01:07;;;154;SIEBEN DR;ORANGE;2800;810;M;20231215;20240125;665000;R2;R;RESIDENCE;;ALC;;0;AT790685;
C;124;1278357;3;20240205 01:07;8/1009040;
D;124;1278357;3;20240205 01:07;P;;;;;;
D;124;1278357;3;20240205 01:07;P;;;;;;
D;124;1278357;3;20240205 01:07;V;;;;;;
B;124;1270505;4;20240205 01:07;;;48;FRANKLIN RD;ORANGE;2800;946;M;20231220;20240201;552500;R1;R;RESIDENCE;;AGS;;0;AT808155;
C;124;1270505;4;20240205 01:07;2/236915;
D;124;1270505;4;20240205 01:07;P;;;;;;
D;124;1270505;4;20240205 01:07;V;;;;;;
B;124;1265613;5;20240205 01:07;;;1;ACACIA DR;ORANGE;2800;864.2;M;20231218;20240129;870000;R2;R;RESIDENCE;;ALS;;0;AT795361;
C;124;1265613;5;20240205 01:07;1/851657;
D;124;1265613;5;20240205 01:07;P;;;;;;
D;124;1265613;5;20240205 01:07;P;;;;;;
D;124;1265613;5;20240205 01:07;V;;;;;;
D;124;1265613;5;20240205 01:07;V;;;;;;
B;124;1265805;6;20240205 01:07;;;29;ALGONA CRES;ORANGE;2800;564.4;M;20231220;20240131;380000;R2;R;RESIDENCE;;ALH;;0;AT804971;
C;124;1265805;6;20240205 01:07;207/255179;
D;124;1265805;6;20240205 01:07;P;;;;;;
D;124;1265805;6;20240205 01:07;V;;;;;;
D;124;1265805;6;20240205 01:07;V;;;;;;
B;124;1276784;7;20240205 01:07;;;314;PEISLEY ST;ORANGE;2800;535.4;M;20231215;20240130;525000;R1;R;RESIDENCE;;AGM;;0;AT800036;
C;124;1276784;7;20240205 01:07;2/631508;
D;124;1276784;7;20240205 01:07;P;;;;;;
D;124;1276784;7;20240205 01:07;V;;;;;;
D;124;1276784;7;20240205 01:07;V;;;;;;
B;124;1268837;8;20240205 01:07;;;56;CLINTON ST;ORANGE;2800;1031;M;20231211;20240129;1537500;R1;R;RESIDENCE;;AGC;;0;AT793786;
C;124;1268837;8;20240205 01:07;3/9565;
D;124;1268837;8;20240205 01:07;P;;;;;;
D;124;1268837;8;20240205 01:07;P;;;;;;
D;124;1268837;8;20240205 01:07;V;;;;;;
B;124;1280022;9;20240205 01:07;;;152;WARRENDINE ST;ORANGE;2800;1012;M;20231219;20240130;975000;R1;R;RESIDENCE;;AGC;;0;AT798388;
C;124;1280022;9;20240205 01:07;3/2/8196;
D;124;1280022;9;20240205 01:07;P;;;;;;
D;124;1280022;9;20240205 01:07;V;;;;;;
