A;RTSALEDATA;187;20211004 01:27;VALNET;
B;187;1851366;1;20211004 01:27;;;64;OXLEY HWY;GUNNEDAH;2380;2023;M;20210908;20210924;380000;IN1;3;COMMERCIAL;;IND;;0;AR459094;
C;187;1851366;1;20211004 01:27;1/236481;
D;187;1851366;1;20211004 01:27;P;;;;;;
D;187;1851366;1;20211004 01:27;V;;;;;;
B;187;1848811;2;20211004 01:27;;;31;BANDO ST;GUNNEDAH;2380;686.5;M;20210813;20210924;355000;R2;R;RESIDENCE;;AAA;;0;AR459301;
C;187;1848811;2;20211004 01:27;61/261769;
D;187;1848811;2;20211004 01:27;P;;;;;;
D;187;1848811;2;20211004 01:27;V;;;;;;
B;187;1853209;3;20211004 01:27;;;9;PINE ST;CURLEWIS;2381;2023;M;20210903;20210930;295000;RU5;R;RESIDENCE;;AAX;;0;AR475994;
C;187;1853209;3;20211004 01:27;3/6/758320;
D;187;1853209;3;20211004 01:27;P;;;;;;
D;187;1853209;3;20211004 01:27;P;;;;;;
D;187;1853209;3;20211004 01:27;V;;;;;;
D;187;1853209;3;20211004 01:27;V;;;;;;
B;187;1853476;4;20211004 01:27;ARTHOMA;;214;ROBINSON RD;PIALLAWAY;2342;345.4;H;20210727;20210930;630000;RU1;3;FARM;;RMC;;0;AR476062;
C;187;1853476;4;20211004 01:27;112/751013;
D;187;1853476;4;20211004 01:27;P;;;;;;
D;187;1853476;4;20211004 01:27;P;;;;;;
D;187;1853476;4;20211004 01:27;V;;;;;;
D;187;1853476;4;20211004 01:27;V;;;;;;
D;187;1853476;4;20211004 01:27;V;;;;;;
B;187;1848651;5;20211004 01:27;;;45;ABBOTT ST;GUNNEDAH;2380;1012;M;20210906;20210928;410000;B4;R;RESIDENCE;;BBB;;0;AR468731;
C;187;1848651;5;20211004 01:27;2/70886;
D;187;1848651;5;20211004 01:27;P;;;;;;
D;187;1848651;5;20211004 01:27;P;;;;;;
D;187;1848651;5;20211004 01:27;V;;;;;;
Z;28;5;5;16;
