A;RTSALEDATA;267;20230522 01:13;VALNET;
B;267;2892792;1;20230522 01:13;;14;63 A;GROSVENOR CRES;SUMMER HILL;2130;;;20230223;20230518;1300000;;R;RESIDENCE;14;;;0;AT99174;
C;267;2892792;1;20230522 01:13;14/SP67256;
D;267;2892792;1;20230522 01:13;P;;;;;;
D;267;2892792;1;20230522 01:13;P;;;;;;
D;267;2892792;1;20230522 01:13;V;;;;;;
D;267;2892792;1;20230522 01:13;V;;;;;;
B;267;2907349;2;20230522 01:13;;305;23;CORUNNA RD;STANMORE;2048;74;M;20230405;20230512;655000;;R;RESIDENCE;58;;;0;AT83780;
C;267;2907349;2;20230522 01:13;58/SP67188;
D;267;2907349;2;20230522 01:13;P;;;;;;
D;267;2907349;2;20230522 01:13;V;;;;;;
B;267;3494918;3;20230522 01:13;;;71;ST MARYS ST;NEWTOWN;2042;141.9;M;20230401;20230515;2175000;R2;R;RESIDENCE;;EPL;;0;AT86068;
C;267;3494918;3;20230522 01:13;2/1138518;
D;267;3494918;3;20230522 01:13;P;;;;;;
D;267;3494918;3;20230522 01:13;V;;;;;;
D;267;3494918;3;20230522 01:13;V;;;;;;
B;267;4186503;4;20230522 01:13;;108;114;THE BOULEVARDE;DULWICH HILL;2203;131;M;20230403;20230515;1170000;;R;RESIDENCE;17;;;0;AT87605;
C;267;4186503;4;20230522 01:13;17/SP98888;
D;267;4186503;4;20230522 01:13;P;;;;;;
D;267;4186503;4;20230522 01:13;V;;;;;;
D;267;4186503;4;20230522 01:13;V;;;;;;
B;267;4227487;5;20230522 01:13;;;21;DARVALL ST;BALMAIN;2041;159.7;M;20230329;20230517;3450000;R1;R;RESIDENCE;;ECC;;0;AT93682;
C;267;4227487;5;20230522 01:13;101/1255248;
D;267;4227487;5;20230522 01:13;P;;;;;;
D;267;4227487;5;20230522 01:13;P;;;;;;
D;267;4227487;5;20230522 01:13;V;;;;;;
B;267;4147401;6;20230522 01:13;;13;7;MCGILL ST;LEWISHAM;2049;;;20230404;20230517;860000;;R;RESIDENCE;13;;;0;AT94923;
C;267;4147401;6;20230522 01:13;13/SP92191;
D;267;4147401;6;20230522 01:13;P;;;;;;
D;267;4147401;6;20230522 01:13;V;;;;;;
D;267;4147401;6;20230522 01:13;V;;;;;;
B;267;1293347;7;20230522 01:13;;;135;BLAND ST;HABERFIELD;2045;537.4;M;20230304;20230518;1659000;R2;R;RESIDENCE;;ERR;;0;AT98944;
C;267;1293347;7;20230522 01:13;1/958295;
D;267;1293347;7;20230522 01:13;P;;;;;;
D;267;1293347;7;20230522 01:13;V;;;;;;
B;267;1306903;8;20230522 01:13;;;34;TRESSIDER AVE;HABERFIELD;2045;626;M;20230221;20230516;3780000;R2;R;RESIDENCE;;EHH;;0;AT90909;
C;267;1306903;8;20230522 01:13;1/171346;
D;267;1306903;8;20230522 01:13;P;;;;;;
D;267;1306903;8;20230522 01:13;V;;;;;;
D;267;1306903;8;20230522 01:13;V;;;;;;
B;267;1296722;9;20230522 01:13;;;1;EDWARD ST;SUMMER HILL;2130;354;M;20230405;20230517;2200000;R2;R;RESIDENCE;;EPQ;;0;AT93496;
C;267;1296722;9;20230522 01:13;144/1624 144/2229;
D;267;1296722;9;20230522 01:13;P;;;;;;
D;267;1296722;9;20230522 01:13;P;;;;;;
D;267;1296722;9;20230522 01:13;V;;;;;;
B;267;1307422;10;20230522 01:13;;;77;WARATAH ST;HABERFIELD;2045;352.6;M;20230211;20230512;2390000;R2;R;RESIDENCE;;EHH;;0;AT81482;
C;267;1307422;10;20230522 01:13;2/601919;
D;267;1307422;10;20230522 01:13;P;;;;;;
D;267;1307422;10;20230522 01:13;V;;;;;;
D;267;1307422;10;20230522 01:13;V;;;;;;
B;267;1296883;11;20230522 01:13;;8;157;EDWIN ST;CROYDON;2132;;;20230415;20230517;600000;;R;RESIDENCE;8;;;0;AT94658;
C;267;1296883;11;20230522 01:13;8/SP13356;
D;267;1296883;11;20230522 01:13;P;;;;;;
D;267;1296883;11;20230522 01:13;V;;;;;;
B;267;1304790;12;20230522 01:13;;;161;QUEEN ST;ASHFIELD;2131;499.5;M;20230401;20230515;2015000;R2;R;RESIDENCE;;ESE;;0;AT85411;
C;267;1304790;12;20230522 01:13;20/426;
D;267;1304790;12;20230522 01:13;P;;;;;;
D;267;1304790;12;20230522 01:13;V;;;;;;
D;267;1304790;12;20230522 01:13;V;;;;;;
B;267;1307590;13;20230522 01:13;;;16;WATTLE ST;HABERFIELD;2045;333.4;M;20230404;20230516;1375000;R2;R;RESIDENCE;;ERR;;0;AT90431;
C;267;1307590;13;20230522 01:13;26/773662;
