A;RTSALEDATA;088;20231016 01:24;VALNET;
B;088;769260;1;20231016 01:24;;25;1;AMHERST ST;CAMMERAY;2062;;;20230826;20231009;1645000;;R;RESIDENCE;25;;;0;AT501648;
C;088;769260;1;20231016 01:24;25/SP46903;
D;088;769260;1;20231016 01:24;P;;;;;;
D;088;769260;1;20231016 01:24;P;;;;;;
D;088;769260;1;20231016 01:24;V;;;;;;
D;088;769260;1;20231016 01:24;V;;;;;;
B;088;771978;2;20231016 01:24;;302;206;BEN BOYD RD;CREMORNE;2090;;;20230831;20231012;1025000;;R;RESIDENCE;8;;;0;AT512922;
C;088;771978;2;20231016 01:24;8/SP6346;
D;088;771978;2;20231016 01:24;P;;;;;;
D;088;771978;2;20231016 01:24;V;;;;;;
B;088;786521;3;20231016 01:24;;19;2;LAMONT ST;WOLLSTONECRAFT;2065;;;20230819;20231009;1500000;;R;RESIDENCE;19;;;0;AT503141;
C;088;786521;3;20231016 01:24;19/SP11077;
D;088;786521;3;20231016 01:24;P;;;;;;
D;088;786521;3;20231016 01:24;P;;;;;;
D;088;786521;3;20231016 01:24;V;;;;;;
D;088;786521;3;20231016 01:24;V;;;;;;
B;088;775103;4;20231016 01:24;;;48;CAMMERAY RD;CAMMERAY;2062;221.3;M;20230902;20231009;2415000;R2;R;RESIDENCE;;RAB;;0;AT501410;
C;088;775103;4;20231016 01:24;1/205124;
D;088;775103;4;20231016 01:24;P;;;;;;
D;088;775103;4;20231016 01:24;P;;;;;;
D;088;775103;4;20231016 01:24;V;;;;;;
B;088;775111;5;20231016 01:24;;;32;CAMMERAY RD;CAMMERAY;2062;572.36;M;20230802;20231009;2820000;R2;R;RESIDENCE;;RAB;;0;AT501412;
C;088;775111;5;20231016 01:24;13/18172;
D;088;775111;5;20231016 01:24;P;;;;;;
D;088;775111;5;20231016 01:24;V;;;;;;
B;088;777903;6;20231016 01:24;;804;2;DIND ST;MILSONS POINT;2061;;;20230809;20231009;1800000;;R;RESIDENCE;65;;;0;AT503760;
C;088;777903;6;20231016 01:24;65/SP61390;
D;088;777903;6;20231016 01:24;P;;;;;;
D;088;777903;6;20231016 01:24;V;;;;;;
B;088;775369;7;20231016 01:24;;15;32;CARABELLA ST;KIRRIBILLI;2061;62;M;20230830;20231011;1125000;;R;RESIDENCE;4;;;0;AT509535;
C;088;775369;7;20231016 01:24;4/SP30765;
D;088;775369;7;20231016 01:24;P;;;;;;
D;088;775369;7;20231016 01:24;V;;;;;;
B;088;783773;8;20231016 01:24;;;11;HIPWOOD ST;NORTH SYDNEY;2060;695.5;M;20230927;20231006;6300000;R3;R;RESIDENCE;;RMC;;0;AT500471;
C;088;783773;8;20231016 01:24;1/795137;
D;088;783773;8;20231016 01:24;P;;;;;;
D;088;783773;8;20231016 01:24;V;;;;;;
D;088;783773;8;20231016 01:24;V;;;;;;
B;088;787354;9;20231016 01:24;;2;60;MACPHERSON ST;CREMORNE;2090;;;20230823;20231009;1077000;;R;RESIDENCE;2;;;0;AT502877;
C;088;787354;9;20231016 01:24;2/SP13504;
D;088;787354;9;20231016 01:24;P;;;;;;
