A;RTSALEDATA;224;20220516 01:17;VALNET;
B;224;2530485;1;20220516 01:18;;;5;BANNISTER WAY;WERRINGTON COUNTY;2747;691.9;M;20220329;20220510;960000;R2;R;RESIDENCE;;RAP;;0;AS116332;
C;224;2530485;1;20220516 01:18;863/255304;
D;224;2530485;1;20220516 01:18;P;;;;;;
D;224;2530485;1;20220516 01:18;P;;;;;;
D;224;2530485;1;20220516 01:18;V;;;;;;
D;224;2530485;1;20220516 01:18;V;;;;;;
B;224;2823746;2;20220516 01:18;;;8;GOOLWA CRES;CRANEBROOK;2749;609.4;M;20220129;20220506;1250000;R2;R;RESIDENCE;;RAV;;0;AS107545;
C;224;2823746;2;20220516 01:18;220/1027241;
D;224;2823746;2;20220516 01:18;P;;;;;;
D;224;2823746;2;20220516 01:18;P;;;;;;
D;224;2823746;2;20220516 01:18;V;;;;;;
D;224;2823746;2;20220516 01:18;V;;;;;;
B;224;4178304;3;20220516 01:18;;44;44;HIGH ST;PENRITH;2750;;;20220330;20220511;520000;;R;RESIDENCE;44;;;0;AS117994;
C;224;4178304;3;20220516 01:18;44/SP98743;
D;224;4178304;3;20220516 01:18;P;;;;;;
D;224;4178304;3;20220516 01:18;P;;;;;;
D;224;4178304;3;20220516 01:18;V;;;;;;
B;224;2528748;4;20220516 01:18;;;85;ANDROMEDA DR;CRANEBROOK;2749;879.5;M;20220207;20220509;1100000;R2;R;RESIDENCE;;RAV;;0;AS112222;
C;224;2528748;4;20220516 01:18;17/827856;
D;224;2528748;4;20220516 01:18;P;;;;;;
D;224;2528748;4;20220516 01:18;P;;;;;;
D;224;2528748;4;20220516 01:18;V;;;;;;
D;224;2528748;4;20220516 01:18;V;;;;;;
B;224;2528806;5;20220516 01:18;;;60;ANDROMEDA DR;CRANEBROOK;2749;457.9;M;20220331;20220512;770000;R2;R;RESIDENCE;;RAV;;0;AS121456;
C;224;2528806;5;20220516 01:18;409/862828;
D;224;2528806;5;20220516 01:18;P;;;;;;
D;224;2528806;5;20220516 01:18;P;;;;;;
D;224;2528806;5;20220516 01:18;V;;;;;;
B;224;2536104;6;20220516 01:18;;;56;CAM ST;CAMBRIDGE PARK;2747;1018;M;20220216;20220511;1460000;R3;V;VACANT LAND;;FMD;;0;AS119704;
C;224;2536104;6;20220516 01:18;A/407524;
D;224;2536104;6;20220516 01:18;P;;;;;;
D;224;2536104;6;20220516 01:18;V;;;;;;
B;224;2538717;7;20220516 01:18;;7;15;CHAPMAN ST;WERRINGTON;2747;;;20220406;20220511;580000;;R;RESIDENCE;7;;;0;AS120352;
C;224;2538717;7;20220516 01:18;7/SP61673;
D;224;2538717;7;20220516 01:18;P;;;;;;
D;224;2538717;7;20220516 01:18;P;;;;;;
D;224;2538717;7;20220516 01:18;V;;;;;;
B;224;2534291;8;20220516 01:18;;1;73;BRINGELLY RD;KINGSWOOD;2747;;;20220411;20220511;540000;;R;RESIDENCE;1;;;0;AS119455;
C;224;2534291;8;20220516 01:18;1/SP11145;
D;224;2534291;8;20220516 01:18;P;;;;;;
D;224;2534291;8;20220516 01:18;P;;;;;;
D;224;2534291;8;20220516 01:18;V;;;;;;
B;224;2547862;9;20220516 01:18;;;8;FORD PL;ERSKINE PARK;2759;643;M;20220421;20220505;1080000;R2;R;RESIDENCE;;RAA;;0;AS103971;
C;224;2547862;9;20220516 01:18;1415/788282;
D;224;2547862;9;20220516 01:18;P;;;;;;
D;224;2547862;9;20220516 01:18;V;;;;;;
D;224;2547862;9;20220516 01:18;V;;;;;;
B;224;2532172;10;20220516 01:18;;;114;BENNETT RD;LONDONDERRY;2753;1.01;H;20220328;20220509;1565000;RU4;R;RESIDENCE;;RLO;;0;AS112878;
C;224;2532172;10;20220516 01:18;51/A/24679;
D;224;2532172;10;20220516 01:18;P;;;;;;
D;224;2532172;10;20220516 01:18;P;;;;;;
D;224;2532172;10;20220516 01:18;V;;;;;;
D;224;2532172;10;20220516 01:18;V;;;;;;
B;224;2537408;11;20220516 01:18;;;99;CARRINGTON RD;LONDONDERRY;2753;3.406;H;20220121;20220509;3200000;RU4;R;RESIDENCE;;RLF;;0;AS112214;
C;224;2537408;11;20220516 01:18;24/26302;
D;224;2537408;11;20220516 01:18;P;;;;;;
D;224;2537408;11;20220516 01:18;V;;;;;;
D;224;2537408;11;20220516 01:18;V;;;;;;
B;224;2543010;12;20220516 01:18;;7;4;DENT ST;JAMISONTOWN;2750;;;20220324;20220511;405000;;R;RESIDENCE;7;;;0;AS118386;
C;224;2543010;12;20220516 01:18;7/SP8886;
D;224;2543010;12;20220516 01:18;P;;;;;;
D;224;2543010;12;20220516 01:18;P;;;;;;
D;224;2543010;12;20220516 01:18;V;;;;;;
B;224;2545704;13;20220516 01:18;;;48;ENDEAVOUR AVE;ST CLAIR;2759;625;M;20220328;20220512;980000;R2;R;RESIDENCE;;RAA;;0;AS121988;
C;224;2545704;13;20220516 01:18;3004/258498;
D;224;2545704;13;20220516 01:18;P;;;;;;
D;224;2545704;13;20220516 01:18;P;;;;;;
D;224;2545704;13;20220516 01:18;V;;;;;;
B;224;2550991;14;20220516 01:18;;;86;GREAT WESTERN HWY;COLYTON;2760;2223.2;M;20220329;20220512;5350000;R2;3;COMMERCIAL;;RAC;;0;AS124631;
C;224;2550991;14;20220516 01:18;1/135369 1/250213;
D;224;2550991;14;20220516 01:18;P;;;;;;
D;224;2550991;14;20220516 01:18;V;;;;;;
D;224;2550991;14;20220516 01:18;V;;;;;;
D;224;2550991;14;20220516 01:18;V;;;;;;
D;224;2550991;14;20220516 01:18;V;;;;;;
B;224;2545858;15;20220516 01:18;;;6;EPPING CL;CAMBRIDGE PARK;2747;613.4;M;20220328;20220509;820000;R2;R;RESIDENCE;;RGU;;0;AS112332;
C;224;2545858;15;20220516 01:18;19/27443;
D;224;2545858;15;20220516 01:18;P;;;;;;
D;224;2545858;15;20220516 01:18;P;;;;;;
D;224;2545858;15;20220516 01:18;V;;;;;;
B;224;2540419;16;20220516 01:18;;;14;CONCORDE PL;ST CLAIR;2759;562.8;M;20220331;20220512;990000;R2;R;RESIDENCE;;RAA;;0;AS122855;
C;224;2540419;16;20220516 01:18;107/260938;
D;224;2540419;16;20220516 01:18;P;;;;;;
D;224;2540419;16;20220516 01:18;P;;;;;;
D;224;2540419;16;20220516 01:18;V;;;;;;
D;224;2540419;16;20220516 01:18;V;;;;;;
B;224;2548663;17;20220516 01:18;;;21;GADARA DR;SOUTH PENRITH;2750;626;M;20220324;20220512;940000;R2;R;RESIDENCE;;RGG;;0;AS123920;
C;224;2548663;17;20220516 01:18;1063/252535;
D;224;2548663;17;20220516 01:18;P;;;;;;
D;224;2548663;17;20220516 01:18;P;;;;;;
D;224;2548663;17;20220516 01:18;V;;;;;;
D;224;2548663;17;20220516 01:18;V;;;;;;
B;224;2532591;18;20220516 01:18;;;46;BIRCH ST;NORTH ST MARYS;2760;619.7;M;20220330;20220511;760000;R2;R;RESIDENCE;;RAE;;0;AS118457;
C;224;2532591;18;20220516 01:18;377/31990;
D;224;2532591;18;20220516 01:18;P;;;;;;
D;224;2532591;18;20220516 01:18;P;;;;;;
D;224;2532591;18;20220516 01:18;V;;;;;;
D;224;2532591;18;20220516 01:18;V;;;;;;
B;224;2532761;19;20220516 01:18;;;5;BIWA CL;ST CLAIR;2759;627.7;M;20220328;20220510;921000;R2;R;RESIDENCE;;RAA;;0;AS113720;
C;224;2532761;19;20220516 01:18;2244/263116;
D;224;2532761;19;20220516 01:18;P;;;;;;
D;224;2532761;19;20220516 01:18;P;;;;;;
D;224;2532761;19;20220516 01:18;V;;;;;;
D;224;2532761;19;20220516 01:18;V;;;;;;
B;224;2540880;20;20220516 01:18;;;9;COOT PL;ERSKINE PARK;2759;674.7;M;20220325;20220506;1157500;R2;R;RESIDENCE;;RAA;;0;AS107359;
C;224;2540880;20;20220516 01:18;3085/713741;
D;224;2540880;20;20220516 01:18;P;;;;;;
D;224;2540880;20;20220516 01:18;V;;;;;;
D;224;2540880;20;20220516 01:18;V;;;;;;
B;224;2546353;21;20220516 01:18;;;2;EVENSTAR PL;ST CLAIR;2759;626.1;M;20220328;20220509;915000;R2;R;RESIDENCE;;RAA;;0;AS112413;
C;224;2546353;21;20220516 01:18;5122/260508;
D;224;2546353;21;20220516 01:18;P;;;;;;
D;224;2546353;21;20220516 01:18;V;;;;;;
B;224;2538355;22;20220516 01:18;;;20;CERES ST;PENRITH;2750;625.3;M;20220307;20220509;990000;R2;R;RESIDENCE;;RGC;;0;AS111154;
C;224;2538355;22;20220516 01:18;36/260455;
D;224;2538355;22;20220516 01:18;P;;;;;;
D;224;2538355;22;20220516 01:18;P;;;;;;
D;224;2538355;22;20220516 01:18;V;;;;;;
B;224;2540925;23;20220516 01:18;;;35;COOWARRA DR;ST CLAIR;2759;655.9;M;20220330;20220511;911000;R2;R;RESIDENCE;;RAA;;0;AS117922;
C;224;2540925;23;20220516 01:18;220/705503;
D;224;2540925;23;20220516 01:18;P;;;;;;
D;224;2540925;23;20220516 01:18;P;;;;;;
D;224;2540925;23;20220516 01:18;V;;;;;;
D;224;2540925;23;20220516 01:18;V;;;;;;
B;224;2533169;24;20220516 01:18;;;15;BLUEBERRY DR;COLYTON;2760;398.1;M;20220317;20220509;840000;R2;R;RESIDENCE;;RAC;;0;AS109618;
C;224;2533169;24;20220516 01:18;425/833485;
D;224;2533169;24;20220516 01:18;P;;;;;;
D;224;2533169;24;20220516 01:18;P;;;;;;
D;224;2533169;24;20220516 01:18;V;;;;;;
D;224;2533169;24;20220516 01:18;V;;;;;;
B;224;2551959;25;20220516 01:18;;;36;GREENWAY DR;SOUTH PENRITH;2750;645;M;20220327;20220509;905000;R2;R;RESIDENCE;;RGG;;0;AS112691;
C;224;2551959;25;20220516 01:18;54/243759;
D;224;2551959;25;20220516 01:18;P;;;;;;
D;224;2551959;25;20220516 01:18;P;;;;;;
D;224;2551959;25;20220516 01:18;V;;;;;;
D;224;2551959;25;20220516 01:18;V;;;;;;
B;224;2552283;26;20220516 01:18;;;15;GUILDFORD RD;CAMBRIDGE PARK;2747;695.6;M;20220328;20220509;780000;R2;R;RESIDENCE;;RGU;;0;AS112188;
C;224;2552283;26;20220516 01:18;47/27443;
D;224;2552283;26;20220516 01:18;P;;;;;;
D;224;2552283;26;20220516 01:18;P;;;;;;
D;224;2552283;26;20220516 01:18;V;;;;;;
D;224;2552283;26;20220516 01:18;V;;;;;;
B;224;2560076;27;20220516 01:18;;;22;LANDAIS PL;EMU HEIGHTS;2750;930.2;M;20220317;20220506;950000;R2;R;RESIDENCE;;RBC;;0;AS107254;
C;224;2560076;27;20220516 01:18;4052/713869;
D;224;2560076;27;20220516 01:18;P;;;;;;
D;224;2560076;27;20220516 01:18;P;;;;;;
D;224;2560076;27;20220516 01:18;V;;;;;;
B;224;2573541;28;20220516 01:18;;9;44;PUTLAND ST;ST MARYS;2760;;;20220326;20220509;328000;;R;RESIDENCE;9;;;0;AS111816;
C;224;2573541;28;20220516 01:18;9/SP30434;
D;224;2573541;28;20220516 01:18;P;;;;;;
D;224;2573541;28;20220516 01:18;P;;;;;;
D;224;2573541;28;20220516 01:18;V;;;;;;
