A;RTSALEDATA;090;20240415 01:05;VALNET;
B;090;2903788;1;20240415 01:05;;17;2;NILE CL;MARSFIELD;2122;;;20240316;20240408;1480000;;R;RESIDENCE;17;;;0;AT963381;
C;090;2903788;1;20240415 01:05;17/SP65290;
D;090;2903788;1;20240415 01:05;P;;;;;;
D;090;2903788;1;20240415 01:05;P;;;;;;
D;090;2903788;1;20240415 01:05;V;;;;;;
D;090;2903788;1;20240415 01:05;V;;;;;;
B;090;2926022;2;20240415 01:05;;28;72;CONSTITUTION RD W;MEADOWBANK;2114;;;20240227;20240405;820000;;R;RESIDENCE;28;;;0;AT959652;
C;090;2926022;2;20240415 01:05;28/SP67799;
D;090;2926022;2;20240415 01:05;P;;;;;;
D;090;2926022;2;20240415 01:05;V;;;;;;
B;090;3461773;3;20240415 01:05;;21;2;UNDERDALE LANE;MEADOWBANK;2114;126;M;20240305;20240411;782000;;R;RESIDENCE;41;;;0;AT975025;
C;090;3461773;3;20240415 01:05;41/SP82318;
D;090;3461773;3;20240415 01:05;P;;;;;;
D;090;3461773;3;20240415 01:05;V;;;;;;
B;090;3463815;4;20240415 01:05;;7;43;BLAXLAND RD;RYDE;2112;;;20240226;20240408;1200000;;R;RESIDENCE;13;;;0;AT963156;
C;090;3463815;4;20240415 01:05;13/SP82464;
D;090;3463815;4;20240415 01:05;P;;;;;;
D;090;3463815;4;20240415 01:05;V;;;;;;
B;090;4170021;5;20240415 01:05;;502;1;NETWORK PL;NORTH RYDE;2113;;;20240308;20240405;628000;;R;RESIDENCE;71;;;0;AT959916;
C;090;4170021;5;20240415 01:05;71/SP98059;
D;090;4170021;5;20240415 01:05;P;;;;;;
D;090;4170021;5;20240415 01:05;V;;;;;;
B;090;4187133;6;20240415 01:05;;713;20;NANCARROW AVE;MEADOWBANK;2114;;;20240228;20240405;1485000;;R;RESIDENCE;119;;;0;AT960037;
C;090;4187133;6;20240415 01:05;119/SP98937;
D;090;4187133;6;20240415 01:05;P;;;;;;
D;090;4187133;6;20240415 01:05;V;;;;;;
B;090;4188465;7;20240415 01:05;;4 A;37;NANCARROW AVE;RYDE;2112;;;20240308;20240408;825000;;R;RESIDENCE;4;;;0;AT964155;
C;090;4188465;7;20240415 01:05;4/SP98936;
D;090;4188465;7;20240415 01:05;P;;;;;;
D;090;4188465;7;20240415 01:05;P;;;;;;
D;090;4188465;7;20240415 01:05;V;;;;;;
D;090;4188465;7;20240415 01:05;V;;;;;;
B;090;4195379;8;20240415 01:05;;2107;120;HERRING RD;MACQUARIE PARK;2113;;;20240227;20240409;702000;;R;RESIDENCE;172;;;0;AT967001;
C;090;4195379;8;20240415 01:05;172/SP99179;
D;090;4195379;8;20240415 01:05;P;;;;;;
D;090;4195379;8;20240415 01:05;V;;;;;;
B;090;865799;9;20240415 01:05;;;7;CLARKE ST;WEST RYDE;2114;524.7;M;20240309;20240411;2535000;R2;R;RESIDENCE;;EG2;;0;AT975430;
C;090;865799;9;20240415 01:05;1/708588;
D;090;865799;9;20240415 01:05;P;;;;;;
D;090;865799;9;20240415 01:05;P;;;;;;
D;090;865799;9;20240415 01:05;V;;;;;;
D;090;865799;9;20240415 01:05;V;;;;;;
B;090;871394;10;20240415 01:05;;8;15;ETHEL ST;EASTWOOD;2122;;;20240211;20240408;709000;;R;RESIDENCE;8;;;0;AT963669;
C;090;871394;10;20240415 01:05;8/SP6600;
D;090;871394;10;20240415 01:05;P;;;;;;
D;090;871394;10;20240415 01:05;V;;;;;;
B;090;863495;11;20240415 01:05;;;10;BRUCE ST;RYDE;2112;673.61;M;20240319;20240410;2400000;R2;R;RESIDENCE;;RED;;0;AT972150;
C;090;863495;11;20240415 01:05;91/12999;
D;090;863495;11;20240415 01:05;P;;;;;;
D;090;863495;11;20240415 01:05;V;;;;;;
B;090;876935;12;20240415 01:05;;;8;JOPLING ST;NORTH RYDE;2113;708.2;M;20240227;20240409;2600000;R2;R;RESIDENCE;;EAD;;0;AT967460;
C;090;876935;12;20240415 01:05;30/205800;
D;090;876935;12;20240415 01:05;P;;;;;;
D;090;876935;12;20240415 01:05;P;;;;;;
D;090;876935;12;20240415 01:05;P;;;;;;
D;090;876935;12;20240415 01:05;V;;;;;;
D;090;876935;12;20240415 01:05;V;;;;;;
B;090;879681;13;20240415 01:05;;5;50;LOVELL RD;EASTWOOD;2122;;;20240225;20240408;1510000;;R;RESIDENCE;5;;;0;AT964295;
C;090;879681;13;20240415 01:05;5/SP63107;
D;090;879681;13;20240415 01:05;P;;;;;;
D;090;879681;13;20240415 01:05;V;;;;;;
B;090;885035;14;20240415 01:05;;;24;PAYTEN ST;PUTNEY;2112;670.2;M;20240308;20240405;3650000;R2;R;RESIDENCE;;RSD;;0;AT959814;
C;090;885035;14;20240415 01:05;133/8902;
D;090;885035;14;20240415 01:05;P;;;;;;
D;090;885035;14;20240415 01:05;V;;;;;;
B;090;869146;15;20240415 01:05;;;20;DELANGE RD;PUTNEY;2112;650.29;M;20240215;20240411;4200000;R2;R;RESIDENCE;;RSD;;0;AT974487;
C;090;869146;15;20240415 01:05;1/8824;
D;090;869146;15;20240415 01:05;P;;;;;;
D;090;869146;15;20240415 01:05;P;;;;;;
D;090;869146;15;20240415 01:05;V;;;;;;
D;090;869146;15;20240415 01:05;V;;;;;;
B;090;864007;16;20240415 01:05;;11;17;BUSACO RD;MARSFIELD;2122;;;20240227;20240409;972000;;R;RESIDENCE;11;;;0;AT968656;
C;090;864007;16;20240415 01:05;11/SP15091;
D;090;864007;16;20240415 01:05;P;;;;;;
D;090;864007;16;20240415 01:05;V;;;;;;
B;090;874860;17;20240415 01:05;;;21;HARFORD ST;NORTH RYDE;2113;670.3;M;20240227;20240410;2040000;R2;R;RESIDENCE;;EA2;;0;AT970503;
C;090;874860;17;20240415 01:05;18/29567;
D;090;874860;17;20240415 01:05;P;;;;;;
D;090;874860;17;20240415 01:05;V;;;;;;
D;090;874860;17;20240415 01:05;V;;;;;;
B;090;883182;18;20240415 01:05;;;8;MORVAN ST;WEST RYDE;2114;765.1;M;20240323;20240405;2025000;R2;R;RESIDENCE;;RWD;;0;AT961760;
C;090;883182;18;20240415 01:05;28/11086;
D;090;883182;18;20240415 01:05;P;;;;;;
D;090;883182;18;20240415 01:05;V;;;;;;
B;090;875197;19;20240415 01:05;;;26;HEATH ST;RYDE;2112;689.2;M;20240203;20240409;3067000;R2;R;RESIDENCE;;RWD;;0;AT968007;
C;090;875197;19;20240415 01:05;19/27089;
D;090;875197;19;20240415 01:05;P;;;;;;
D;090;875197;19;20240415 01:05;V;;;;;;
D;090;875197;19;20240415 01:05;V;;;;;;
B;090;864479;20;20240415 01:05;;;5;BYGRAVE ST;RYDE;2112;550.1;M;20240227;20240410;3210000;R2;R;RESIDENCE;;EF2;;0;AT971826;
C;090;864479;20;20240415 01:05;3/501789;
D;090;864479;20;20240415 01:05;P;;;;;;
D;090;864479;20;20240415 01:05;V;;;;;;
B;090;867168;21;20240415 01:05;;5;125;COXS RD;NORTH RYDE;2113;;;20231021;20240408;750000;;R;RESIDENCE;5;;;0;AT964161;
C;090;867168;21;20240415 01:05;5/SP55137;
D;090;867168;21;20240415 01:05;P;;;;;;
D;090;867168;21;20240415 01:05;V;;;;;;
