A;RTSALEDATA;171;20240729 01:06;VALNET;
B;171;3479052;1;20240729 01:06;;2;20;THOMSON ST;TWEED HEADS;2485;;;20240618;20240723;765000;;R;RESIDENCE;2;;;0;AU267482;
C;171;3479052;1;20240729 01:06;2/SP82638;
D;171;3479052;1;20240729 01:06;P;;;;;;
D;171;3479052;1;20240729 01:06;P;;;;;;
D;171;3479052;1;20240729 01:06;V;;;;;;
B;171;2986500;2;20240729 01:06;;5;47;LEISURE DR;BANORA POINT;2486;;;20240619;20240722;750000;;R;RESIDENCE;5;;;0;AU265520;
C;171;2986500;2;20240729 01:06;5/SP70071;
D;171;2986500;2;20240729 01:06;P;;;;;;
D;171;2986500;2;20240729 01:06;P;;;;;;
D;171;2986500;2;20240729 01:06;V;;;;;;
B;171;3051756;3;20240729 01:06;LU ELLE PALMS;28;1;GRAY ST;TWEED HEADS WEST;2485;;;20240311;20240717;635000;;R;RESIDENCE;28;;;0;AU266876;
C;171;3051756;3;20240729 01:06;28/SP71205;
D;171;3051756;3;20240729 01:06;P;;;;;;
D;171;3051756;3;20240729 01:06;V;;;;;;
B;171;3102613;4;20240729 01:06;;;13;ANGOURIE ST;KINGSCLIFF;2487;696;M;20240521;20240722;2985000;R2;R;RESIDENCE;;ALT;;0;AU265081;
C;171;3102613;4;20240729 01:06;132/1066504;
D;171;3102613;4;20240729 01:06;P;;;;;;
D;171;3102613;4;20240729 01:06;P;;;;;;
D;171;3102613;4;20240729 01:06;V;;;;;;
D;171;3102613;4;20240729 01:06;V;;;;;;
B;171;4563487;5;20240729 01:06;;;;URLIUP RD;BILAMBIL;2486;33.1;H;20240518;20240717;2250000;;3;FARM;;;;0;AU252152;
C;171;4563487;5;20240729 01:06;1/204543 1/775441 1/1221460;
D;171;4563487;5;20240729 01:06;P;;;;;;
D;171;4563487;5;20240729 01:06;V;;;;;;
D;171;4563487;5;20240729 01:06;V;;;;;;
D;171;4563487;5;20240729 01:06;V;;;;;;
D;171;4563487;5;20240729 01:06;V;;;;;;
D;171;4563487;5;20240729 01:06;V;;;;;;
B;171;4530569;6;20240729 01:06;;;11;BULLA CT;TERRANORA;2486;622.4;M;20240521;20240722;530000;R1;V;VACANT LAND;;AJZ;;0;AU265361;
C;171;4530569;6;20240729 01:06;805/1301190;
D;171;4530569;6;20240729 01:06;P;;;;;;
D;171;4530569;6;20240729 01:06;P;;;;;;
D;171;4530569;6;20240729 01:06;V;;;;;;
B;171;4530575;7;20240729 01:06;;;23;BULLA CT;TERRANORA;2486;1269;M;20240619;20240722;720000;R1;R;RESIDENCE;;AJZ;;0;AU264858;
C;171;4530575;7;20240729 01:06;811/1301190;
D;171;4530575;7;20240729 01:06;P;;;;;;
D;171;4530575;7;20240729 01:06;P;;;;;;
D;171;4530575;7;20240729 01:06;V;;;;;;
B;171;4530587;8;20240729 01:06;;;62;PARKES LANE;TERRANORA;2486;640.2;M;20240423;20240722;570000;R1;V;VACANT LAND;;AJZ;;0;AU263848;
C;171;4530587;8;20240729 01:06;823/1301190;
D;171;4530587;8;20240729 01:06;P;;;;;;
D;171;4530587;8;20240729 01:06;P;;;;;;
D;171;4530587;8;20240729 01:06;V;;;;;;
B;171;1805216;9;20240729 01:06;;15;7;BARRETT ST;TWEED HEADS WEST;2485;117;M;20240701;20240719;595000;;R;RESIDENCE;15;;;0;AU260109;
C;171;1805216;9;20240729 01:06;15/SP57689;
D;171;1805216;9;20240729 01:06;P;;;;;;
D;171;1805216;9;20240729 01:06;V;;;;;;
D;171;1805216;9;20240729 01:06;V;;;;;;
B;171;1805235;10;20240729 01:06;;5;3;BARRETT ST;TWEED HEADS WEST;2485;101;M;20240702;20240724;510000;;R;RESIDENCE;5;;;0;AU272824;
C;171;1805235;10;20240729 01:06;5/SP51184;
D;171;1805235;10;20240729 01:06;P;;;;;;
D;171;1805235;10;20240729 01:06;V;;;;;;
B;171;1805657;11;20240729 01:06;;;5;BELLERIVE PL;BANORA POINT;2486;738.3;M;20240521;20240722;1067350;R2;R;RESIDENCE;;AHQ;;0;AU263994;
C;171;1805657;11;20240729 01:06;64/850294;
D;171;1805657;11;20240729 01:06;P;;;;;;
D;171;1805657;11;20240729 01:06;P;;;;;;
D;171;1805657;11;20240729 01:06;V;;;;;;
B;171;1803465;12;20240729 01:06;;13;8;ADVOCATE PL;BANORA POINT;2486;353.3;M;20240625;20240722;810000;R3;R;RESIDENCE;;AKB;;0;AU263996;
C;171;1803465;12;20240729 01:06;13/270091;
D;171;1803465;12;20240729 01:06;P;;;;;;
D;171;1803465;12;20240729 01:06;V;;;;;;
B;171;1806294;13;20240729 01:06;KINGSCLIFF BEACH RETIREMENT VILLAGE;17;1;BLUE JAY CCT;KINGSCLIFF;2487;123;M;20240503;20240708;575000;;R;RESIDENCE;17;;;0;AU226005;
C;171;1806294;13;20240729 01:06;17/SP51791;
D;171;1806294;13;20240729 01:06;P;;;;;;
D;171;1806294;13;20240729 01:06;P;;;;;;
D;171;1806294;13;20240729 01:06;V;;;;;;
B;171;1809765;14;20240729 01:06;;;701;CLOTHIERS CREEK RD;CLOTHIERS CREEK;2484;2.012;H;20240523;20240722;2300000;RU2;R;RESIDENCE;;RRB;;0;AU263760;
C;171;1809765;14;20240729 01:06;12/773969;
D;171;1809765;14;20240729 01:06;P;;;;;;
D;171;1809765;14;20240729 01:06;P;;;;;;
D;171;1809765;14;20240729 01:06;V;;;;;;
D;171;1809765;14;20240729 01:06;V;;;;;;
B;171;1807346;15;20240729 01:06;;1;14;BRIGHTON ST;BANORA POINT;2486;;;20240702;20240719;900000;;R;RESIDENCE;1;;;0;AU259135;
C;171;1807346;15;20240729 01:06;1/SP60708;
D;171;1807346;15;20240729 01:06;P;;;;;;
D;171;1807346;15;20240729 01:06;P;;;;;;
D;171;1807346;15;20240729 01:06;V;;;;;;
D;171;1807346;15;20240729 01:06;V;;;;;;
B;171;1828904;16;20240729 01:06;;;123;PIONEER PDE;BANORA POINT;2486;695;M;20240513;20240723;1265000;R2;R;RESIDENCE;;AHM;;0;AU268798;
C;171;1828904;16;20240729 01:06;21/249173;
D;171;1828904;16;20240729 01:06;P;;;;;;
D;171;1828904;16;20240729 01:06;P;;;;;;
D;171;1828904;16;20240729 01:06;V;;;;;;
D;171;1828904;16;20240729 01:06;V;;;;;;
B;171;1834274;17;20240729 01:06;;;10;THE HERMITAGE;TWEED HEADS SOUTH;2486;725.3;M;20240607;20240719;925000;R2;R;RESIDENCE;;ANB;;0;AU261188;
C;171;1834274;17;20240729 01:06;922/880612;
D;171;1834274;17;20240729 01:06;P;;;;;;
D;171;1834274;17;20240729 01:06;P;;;;;;
