A;RTSALEDATA;620;20220829 01:29;VALNET;
B;620;1255790;1;20220829 01:29;;;114;MARKET ST;MUDGEE;2850;1011.83;M;20220712;20220823;900000;B4;R;RESIDENCE;;BBD;;0;AS412899;
C;620;1255790;1;20220829 01:29;1/156792;
D;620;1255790;1;20220829 01:29;P;;;;;;
D;620;1255790;1;20220829 01:29;V;;;;;;
D;620;1255790;1;20220829 01:29;V;;;;;;
B;620;1253821;2;20220829 01:29;;;71;CHURCH ST;MUDGEE;2850;465.2;M;20220712;20220823;1200000;B3;3;COMMERCIAL;;BBA;;0;AS412904;
C;620;1253821;2;20220829 01:29;1/780555;
D;620;1253821;2;20220829 01:29;P;;;;;;
D;620;1253821;2;20220829 01:29;P;;;;;;
D;620;1253821;2;20220829 01:29;V;;;;;;
B;620;1258235;3;20220829 01:29;RIVER VIEW;;348;MELROSE RD;MOUNT FROME;2850;12.11;H;20220711;20220819;1900000;RU4;R;RESIDENCE;;RHM;;0;AS405730;
C;620;1258235;3;20220829 01:29;3/592205;
D;620;1258235;3;20220829 01:29;P;;;;;;
D;620;1258235;3;20220829 01:29;P;;;;;;
D;620;1258235;3;20220829 01:29;V;;;;;;
B;620;1261219;4;20220829 01:29;;;262;WILBETREE RD;MENAH;2850;9.375;H;20220709;20220822;963000;RU4;R;RESIDENCE;;RHM;;0;AS407236;
C;620;1261219;4;20220829 01:29;1/622091;
D;620;1261219;4;20220829 01:29;P;;;;;;
D;620;1261219;4;20220829 01:29;P;;;;;;
D;620;1261219;4;20220829 01:29;V;;;;;;
B;620;4216036;5;20220829 01:29;;;2;HUGHSON AVE;MUDGEE;2850;502.3;M;20220803;20220824;605000;R1;R;RESIDENCE;;AAT;;0;AS414616;
C;620;4216036;5;20220829 01:29;1/1253932;
D;620;4216036;5;20220829 01:29;P;;;;;;
D;620;4216036;5;20220829 01:29;V;;;;;;
B;620;1261647;6;20220829 01:29;;;65;ELOUERA RD;STUBBO;2852;10.12;H;20220714;20220825;710000;R5;R;RESIDENCE;;RRA;;0;AS418983;
C;620;1261647;6;20220829 01:29;18/251839;
D;620;1261647;6;20220829 01:29;P;;;;;;
D;620;1261647;6;20220829 01:29;V;;;;;;
D;620;1261647;6;20220829 01:29;V;;;;;;
B;620;1262022;7;20220829 01:29;MAROOMBAH;;543;TRIAMBLE RD;HARGRAVES;2850;991.1;H;20220519;20220817;2950000;RU1;R;RESIDENCE;;RGD;;0;AS397736;
C;620;1262022;7;20220829 01:29;41/756918 12/785613 Enclosure Permit 43861;
D;620;1262022;7;20220829 01:29;P;;;;;;
D;620;1262022;7;20220829 01:29;V;;;;;;
D;620;1262022;7;20220829 01:29;V;;;;;;
B;620;1260714;8;20220829 01:29;;;1620;SPRING CREEK RD;COOKS GAP;2850;10.12;H;20220714;20220825;500000;R5;R;RESIDENCE;;RRB;;0;AS419135;
C;620;1260714;8;20220829 01:29;176/251684;
D;620;1260714;8;20220829 01:29;P;;;;;;
D;620;1260714;8;20220829 01:29;P;;;;;;
D;620;1260714;8;20220829 01:29;V;;;;;;
B;620;1282567;9;20220829 01:29;;;15;RUSSELL RD;KANDOS;2848;3294;M;20220712;20220823;405000;RU5;R;RESIDENCE;;VVJ;;0;AS412709;
C;620;1282567;9;20220829 01:29;B/375044;
D;620;1282567;9;20220829 01:29;P;;;;;;
D;620;1282567;9;20220829 01:29;V;;;;;;
D;620;1282567;9;20220829 01:29;V;;;;;;
B;620;1282870;10;20220829 01:29;;;54;MUDGEE ST;RYLSTONE;2849;574.1;M;20220701;20220819;420000;RU5;R;RESIDENCE;;VVH;;0;AS404536;
C;620;1282870;10;20220829 01:29;322/872615;
D;620;1282870;10;20220829 01:29;P;;;;;;
D;620;1282870;10;20220829 01:29;P;;;;;;
D;620;1282870;10;20220829 01:29;V;;;;;;
B;620;4441481;11;20220829 01:29;;;;WALLINGA LANE;SPRING FLAT;2850;82.86;H;20220413;20220811;2500000;;V;VACANT LAND;;;;0;AS382739;
C;620;4441481;11;20220829 01:29;10/1147292;
D;620;4441481;11;20220829 01:29;P;;;;;;
D;620;4441481;11;20220829 01:29;V;;;;;;
D;620;4441481;11;20220829 01:29;V;;;;;;
B;620;4437732;12;20220829 01:29;;;26 A;ENFIELD AVE;CAERLEON;2850;453.3;M;20220201;20220823;625000;R1;R;RESIDENCE;;AAL;;0;AS412268;
C;620;4437732;12;20220829 01:29;1/1279391;
D;620;4437732;12;20220829 01:29;P;;;;;;
D;620;4437732;12;20220829 01:29;V;;;;;;
D;620;4437732;12;20220829 01:29;V;;;;;;
B;620;4437733;13;20220829 01:29;;;26;ENFIELD AVE;CAERLEON;2850;526.5;M;20220201;20220824;639000;R1;R;RESIDENCE;;AAL;;0;AS416755;
C;620;4437733;13;20220829 01:29;2/1279391;
D;620;4437733;13;20220829 01:29;P;;;;;;
