A;RTSALEDATA;124;20211108 01:39;VALNET;
B;124;1276991;1;20211108 01:39;;;89;PHILLIP ST;ORANGE;2800;643.6;M;20181016;20181016;5208200;R1;3;FARM;;AGP;ACI;0;AP295439;
C;124;1276991;1;20211108 01:39;46/875976;
D;124;1276991;1;20211108 01:39;P;;;;;;
D;124;1276991;1;20211108 01:39;V;;;;;;
D;124;1276991;1;20211108 01:39;V;;;;;;
D;124;1276991;1;20211108 01:39;V;;;;;;
D;124;1276991;1;20211108 01:39;V;;;;;;
B;124;4368973;2;20211108 01:39;;;75;STEVENSON WAY;ORANGE;2800;871.5;M;20211001;20211029;255000;R1;V;VACANT LAND;;AGV;;0;AR567059;
C;124;4368973;2;20211108 01:39;40/1274510;
D;124;4368973;2;20211108 01:39;P;;;;;;
D;124;4368973;2;20211108 01:39;V;;;;;;
B;124;1273047;3;20211108 01:39;;;28;LAUREL AVE;ORANGE;2800;810;M;20211006;20211103;495000;R2;R;RESIDENCE;;ALS;;0;AR580450;
C;124;1273047;3;20211108 01:39;82/815919;
D;124;1273047;3;20211108 01:39;P;;;;;;
D;124;1273047;3;20211108 01:39;P;;;;;;
D;124;1273047;3;20211108 01:39;V;;;;;;
D;124;1273047;3;20211108 01:39;V;;;;;;
B;124;1267623;4;20211108 01:39;;;5;BREEN ST;ORANGE;2800;809.43;M;20210924;20211102;680000;R1;R;RESIDENCE;;AGS;;0;AR576754;
C;124;1267623;4;20211108 01:39;22/2/976979;
D;124;1267623;4;20211108 01:39;P;;;;;;
D;124;1267623;4;20211108 01:39;P;;;;;;
D;124;1267623;4;20211108 01:39;V;;;;;;
D;124;1267623;4;20211108 01:39;V;;;;;;
B;124;1277996;5;20211108 01:39;;;123 A;SAMPSON ST;ORANGE;2800;505.9;M;20210917;20211029;625225;R1;R;RESIDENCE;;AGM;;0;AR571139;
C;124;1277996;5;20211108 01:39;3/157384;
D;124;1277996;5;20211108 01:39;P;;;;;;
D;124;1277996;5;20211108 01:39;V;;;;;;
B;124;3994437;6;20211108 01:39;;;1;SUMMER ST;ORANGE;2800;738.7;M;20210921;20211102;945000;R1;R;RESIDENCE;;AGC;;0;AR576977;
C;124;3994437;6;20211108 01:39;11/1228107;
D;124;3994437;6;20211108 01:39;P;;;;;;
D;124;3994437;6;20211108 01:39;V;;;;;;
B;124;3994438;7;20211108 01:39;;;160;WOODWARD ST;ORANGE;2800;1346;M;20210921;20211102;945000;R1;R;RESIDENCE;;AGU;;0;AR576977;
C;124;3994438;7;20211108 01:39;12/1228107;
D;124;3994438;7;20211108 01:39;P;;;;;;
D;124;3994438;7;20211108 01:39;V;;;;;;
B;124;3482268;8;20211108 01:39;;;4396;MITCHELL HWY;LUCKNOW;2800;143.05;H;20210908;20211103;2500000;E3;3;FARM;;REE;;0;AR581548;
C;124;3482268;8;20211108 01:39;A/164513 1/944201;
D;124;3482268;8;20211108 01:39;P;;;;;;
D;124;3482268;8;20211108 01:39;V;;;;;;
D;124;3482268;8;20211108 01:39;V;;;;;;
B;124;3670967;9;20211108 01:39;;;6;TURQUOISE WAY;ORANGE;2800;757.5;M;20210921;20211102;750000;R1;R;RESIDENCE;;AGV;;0;AR577637;
C;124;3670967;9;20211108 01:39;523/1180337;
D;124;3670967;9;20211108 01:39;P;;;;;;
D;124;3670967;9;20211108 01:39;P;;;;;;
D;124;3670967;9;20211108 01:39;V;;;;;;
D;124;3670967;9;20211108 01:39;V;;;;;;
B;124;1275327;10;20211108 01:39;;;426;MITCHELL HWY;ORANGE;2800;2;H;20210805;20211103;2650000;R5;3;COMMERCIAL;;RHF;;0;AR581981;
C;124;1275327;10;20211108 01:39;209/1018862;
D;124;1275327;10;20211108 01:39;P;;;;;;
D;124;1275327;10;20211108 01:39;V;;;;;;
B;124;1270061;11;20211108 01:39;;;10;ENDEAVOUR AVE;ORANGE;2800;638.6;M;20210819;20211101;640000;R1;R;RESIDENCE;;AGS;;0;AR574623;
C;124;1270061;11;20211108 01:39;109/240623;
D;124;1270061;11;20211108 01:39;P;;;;;;
D;124;1270061;11;20211108 01:39;V;;;;;;
B;124;4376784;12;20211108 01:39;;;12;TEMPEST WAY;ORANGE;2800;747.5;M;20210920;20211101;259000;R1;V;VACANT LAND;;AGV;;0;AR572015;
C;124;4376784;12;20211108 01:39;213/1274859;
D;124;4376784;12;20211108 01:39;P;;;;;;
D;124;4376784;12;20211108 01:39;P;;;;;;
D;124;4376784;12;20211108 01:39;V;;;;;;
B;124;1276512;13;20211108 01:39;;;3;PARK ST;ORANGE;2800;657.71;M;20211005;20211102;486100;R1;R;RESIDENCE;;AGE;;0;AR578468;
C;124;1276512;13;20211108 01:39;25/999510;
D;124;1276512;13;20211108 01:39;P;;;;;;
D;124;1276512;13;20211108 01:39;P;;;;;;
D;124;1276512;13;20211108 01:39;V;;;;;;
B;124;1268648;14;20211108 01:39;;;10;CIANFRANO PL;ORANGE;2800;814;M;20211006;20211102;800000;R2;R;RESIDENCE;;ALC;;0;AR578768;
C;124;1268648;14;20211108 01:39;313/1001898;
D;124;1268648;14;20211108 01:39;P;;;;;;
D;124;1268648;14;20211108 01:39;V;;;;;;
B;124;3770718;15;20211108 01:39;;1;19;MOONSTONE DR;ORANGE;2800;398;M;20210920;20211101;473000;;R;RESIDENCE;1;;;0;AR572504;
C;124;3770718;15;20211108 01:39;1/SP89706;
D;124;3770718;15;20211108 01:39;P;;;;;;
D;124;3770718;15;20211108 01:39;V;;;;;;
