A;RTSALEDATA;123;20211025 01:18;VALNET;
B;123;4333499;1;20211025 01:19;;;30;SCOTT CL;OBERON;2787;2.484;H;20210901;20211021;260000;R5;V;VACANT LAND;;OLL;;0;AR540978;
C;123;4333499;1;20211025 01:19;104/1255277;
D;123;4333499;1;20211025 01:19;P;;;;;;
D;123;4333499;1;20211025 01:19;P;;;;;;
D;123;4333499;1;20211025 01:19;V;;;;;;
B;123;1263258;2;20211025 01:19;;;143;GORMANS LANE;PORTERS RETREAT;2787;64.75;H;20210903;20211015;1100000;RU1;3;FARM;;RSE;;0;AR523936;
C;123;1263258;2;20211025 01:19;18/753027;
D;123;1263258;2;20211025 01:19;P;;;;;;
D;123;1263258;2;20211025 01:19;V;;;;;;
B;123;3469028;3;20211025 01:19;;;106;ABERCROMBIE RD;PORTERS RETREAT;2787;314.27;H;20210903;20211015;5100000;RU1;3;FARM;;RSF;;0;AR523937;
C;123;3469028;3;20211025 01:19;7, 8, 9, 13, 19/753027 1/1129205;
D;123;3469028;3;20211025 01:19;P;;;;;;
D;123;3469028;3;20211025 01:19;V;;;;;;
D;123;3469028;3;20211025 01:19;V;;;;;;
Z;16;3;3;8;
