A;RTSALEDATA;124;20240318 01:05;VALNET;
B;124;1271683;1;20240318 01:05;;;288;HINEY RD;SPRING CREEK;2800;24.28;H;20231006;20240308;2280000;C3;3;FARM;;CMW;;0;AT889981;
C;124;1271683;1;20240318 01:05;1/593858;
D;124;1271683;1;20240318 01:05;P;;;;;;
D;124;1271683;1;20240318 01:05;P;;;;;;
D;124;1271683;1;20240318 01:05;V;;;;;;
D;124;1271683;1;20240318 01:05;V;;;;;;
B;124;1266338;2;20240318 01:05;;;455;ANSON ST;ORANGE;2800;855.8;M;20240131;20240313;679000;R1;R;RESIDENCE;;AGP;;0;AT900216;
C;124;1266338;2;20240318 01:05;254/873248;
D;124;1266338;2;20240318 01:05;P;;;;;;
D;124;1266338;2;20240318 01:05;P;;;;;;
D;124;1266338;2;20240318 01:05;V;;;;;;
B;124;1274694;3;20240318 01:05;;;121;MARGARET ST;ORANGE;2800;714.5;M;20240220;20240308;590000;R1;R;RESIDENCE;;AGM;;0;AT891552;
C;124;1274694;3;20240318 01:05;B/410924;
D;124;1274694;3;20240318 01:05;P;;;;;;
D;124;1274694;3;20240318 01:05;P;;;;;;
D;124;1274694;3;20240318 01:05;V;;;;;;
B;124;1269423;4;20240318 01:05;;;75;WILLIAM ST;ORANGE;2800;3927;M;20240216;20240308;500000;E3;R;RESIDENCE;;PSO;;0;AT892120;
C;124;1269423;4;20240318 01:05;2/558371;
D;124;1269423;4;20240318 01:05;P;;;;;;
D;124;1269423;4;20240318 01:05;P;;;;;;
D;124;1269423;4;20240318 01:05;V;;;;;;
D;124;1269423;4;20240318 01:05;V;;;;;;
B;124;4193543;5;20240318 01:05;;;23 A;WILLIAM MAKER DR;ORANGE;2800;352.5;M;20240212;20240308;630000;R1;R;RESIDENCE;;AGV;;0;AT889987;
C;124;4193543;5;20240318 01:05;2052/1251274;
D;124;4193543;5;20240318 01:05;P;;;;;;
D;124;4193543;5;20240318 01:05;P;;;;;;
D;124;4193543;5;20240318 01:05;V;;;;;;
D;124;4193543;5;20240318 01:05;V;;;;;;
B;124;1272111;6;20240318 01:05;;;21;JINDALEE AVE;ORANGE;2800;587.6;M;20240226;20240312;386000;R2;R;RESIDENCE;;ALH;;0;AT898161;
C;124;1272111;6;20240318 01:05;136/255179;
D;124;1272111;6;20240318 01:05;P;;;;;;
D;124;1272111;6;20240318 01:05;P;;;;;;
D;124;1272111;6;20240318 01:05;V;;;;;;
B;124;1272611;7;20240318 01:05;;;29;KENT AVE;ORANGE;2800;963.3;M;20240208;20240313;765000;R2;R;RESIDENCE;;ALC;;0;AT900435;
C;124;1272611;7;20240318 01:05;3/809760;
D;124;1272611;7;20240318 01:05;P;;;;;;
D;124;1272611;7;20240318 01:05;V;;;;;;
D;124;1272611;7;20240318 01:05;V;;;;;;
B;124;1278202;8;20240318 01:05;;;7;SETTLERS CL;ORANGE;2800;816.7;M;20240209;20240308;600000;R1;R;RESIDENCE;;AGP;;0;AT889416;
C;124;1278202;8;20240318 01:05;111/263614;
D;124;1278202;8;20240318 01:05;P;;;;;;
D;124;1278202;8;20240318 01:05;P;;;;;;
D;124;1278202;8;20240318 01:05;V;;;;;;
B;124;1275783;9;20240318 01:05;;;12;NATHAN ST;ORANGE;2800;388.3;M;20240226;20240308;390000;R1;R;RESIDENCE;;AGE;;0;AT889122;
C;124;1275783;9;20240318 01:05;1/737913;
D;124;1275783;9;20240318 01:05;P;;;;;;
D;124;1275783;9;20240318 01:05;V;;;;;;
D;124;1275783;9;20240318 01:05;V;;;;;;
B;124;4120660;10;20240318 01:05;;;52;EMMAVILLE ST;ORANGE;2800;406.3;M;20240129;20240311;625000;R1;R;RESIDENCE;;AGV;;0;AT893068;
C;124;4120660;10;20240318 01:05;1181/1243015;
D;124;4120660;10;20240318 01:05;P;;;;;;
D;124;4120660;10;20240318 01:05;V;;;;;;
D;124;4120660;10;20240318 01:05;V;;;;;;
B;124;4536174;11;20240318 01:05;;;;BEASLEY RD;LUCKNOW;2800;1.383;H;20240214;20240229;610000;;R;RESIDENCE;;;;0;AT869631;
C;124;4536174;11;20240318 01:05;20/1300342;
D;124;4536174;11;20240318 01:05;P;;;;;;
D;124;4536174;11;20240318 01:05;P;;;;;;
D;124;4536174;11;20240318 01:05;V;;;;;;
D;124;4536174;11;20240318 01:05;V;;;;;;
B;124;3217583;12;20240318 01:05;;;17;OPHIR ST;ORANGE;2800;440.9;M;20240215;20240308;620000;R1;R;RESIDENCE;;AGM;;0;AT890392;
C;124;3217583;12;20240318 01:05;1/1090469;
D;124;3217583;12;20240318 01:05;P;;;;;;
D;124;3217583;12;20240318 01:05;V;;;;;;
B;124;3716991;13;20240318 01:05;;5;80 B;FORBES RD;ORANGE;2800;298.8;M;20240227;20240312;665000;R1;R;RESIDENCE;;AGM;;0;AT895563;
C;124;3716991;13;20240318 01:05;7/286478;
D;124;3716991;13;20240318 01:05;P;;;;;;
D;124;3716991;13;20240318 01:05;V;;;;;;
B;124;3283716;14;20240318 01:05;;6;4;COVENT CL;ORANGE;2800;210;M;20240220;20240308;420000;;R;RESIDENCE;6;;;0;AT888762;
C;124;3283716;14;20240318 01:05;6/SP77863;
D;124;3283716;14;20240318 01:05;P;;;;;;
D;124;3283716;14;20240318 01:05;P;;;;;;
D;124;3283716;14;20240318 01:05;V;;;;;;
Z;74;14;14;44;
