A;RTSALEDATA;214;20240226 01:06;VALNET;
B;214;2172681;1;20240226 01:06;;7;15;CLEEVE CL;MOUNT DRUITT;2770;;;20240111;20240222;628000;;3;SHOP;7;;;0;AT852144;
C;214;2172681;1;20240226 01:06;7/SP68252;
D;214;2172681;1;20240226 01:06;P;;;;;;
D;214;2172681;1;20240226 01:06;V;;;;;;
D;214;2172681;1;20240226 01:06;V;;;;;;
D;214;2172681;1;20240226 01:06;V;;;;;;
D;214;2172681;1;20240226 01:06;V;;;;;;
B;214;2961568;2;20240226 01:06;;;1;KARRI PL;PARKLEA;2768;222;M;20240114;20240219;1000000;R2;R;RESIDENCE;;RQH;;0;AT844549;
C;214;2961568;2;20240226 01:06;31/1045145;
D;214;2961568;2;20240226 01:06;P;;;;;;
D;214;2961568;2;20240226 01:06;P;;;;;;
D;214;2961568;2;20240226 01:06;V;;;;;;
B;214;3018132;3;20240226 01:06;;29;2;HYTHE ST;MOUNT DRUITT;2770;;;20240105;20240216;365000;;R;RESIDENCE;29;;;0;AT840172;
C;214;3018132;3;20240226 01:06;29/SP69966;
D;214;3018132;3;20240226 01:06;P;;;;;;
D;214;3018132;3;20240226 01:06;V;;;;;;
B;214;3004638;4;20240226 01:06;;6;47;HYTHE ST;MOUNT DRUITT;2770;;;20240125;20240222;611000;;R;RESIDENCE;6;;;0;AT853302;
C;214;3004638;4;20240226 01:06;6/SP69849;
D;214;3004638;4;20240226 01:06;P;;;;;;
D;214;3004638;4;20240226 01:06;V;;;;;;
D;214;3004638;4;20240226 01:06;V;;;;;;
B;214;3403983;5;20240226 01:06;;14;29;O'BRIEN ST;MOUNT DRUITT;2770;;;20240122;20240219;685000;;R;RESIDENCE;14;;;0;AT843414;
C;214;3403983;5;20240226 01:06;14/SP81103;
D;214;3403983;5;20240226 01:06;P;;;;;;
D;214;3403983;5;20240226 01:06;P;;;;;;
D;214;3403983;5;20240226 01:06;V;;;;;;
D;214;3403983;5;20240226 01:06;V;;;;;;
B;214;3417180;6;20240226 01:06;SUNORA;14;11;GLENVALE AVE;PARKLEA;2768;;;20240105;20240216;615000;;R;RESIDENCE;14;;;0;AT841468;
C;214;3417180;6;20240226 01:06;14/SP81376;
D;214;3417180;6;20240226 01:06;P;;;;;;
D;214;3417180;6;20240226 01:06;V;;;;;;
B;214;4191566;7;20240226 01:06;;401;7;DURHAM ST;MOUNT DRUITT;2770;;;20231209;20240122;512000;;R;RESIDENCE;43;;;0;AT781773;
C;214;4191566;7;20240226 01:06;43/SP98756;
D;214;4191566;7;20240226 01:06;P;;;;;;
D;214;4191566;7;20240226 01:06;V;;;;;;
B;214;4247316;8;20240226 01:06;;302;5;SECOND AVE;BLACKTOWN;2148;183;M;20240106;20240219;621000;;R;RESIDENCE;2;;;0;AT844921;
C;214;4247316;8;20240226 01:06;2/SP99454;
D;214;4247316;8;20240226 01:06;P;;;;;;
D;214;4247316;8;20240226 01:06;P;;;;;;
D;214;4247316;8;20240226 01:06;V;;;;;;
B;214;4247316;9;20240226 01:06;;1707;5;SECOND AVE;BLACKTOWN;2148;100;M;20231220;20240216;497000;;R;RESIDENCE;115;;;0;AT842003;
C;214;4247316;9;20240226 01:06;115/SP99454;
D;214;4247316;9;20240226 01:06;P;;;;;;
D;214;4247316;9;20240226 01:06;V;;;;;;
D;214;4247316;9;20240226 01:06;V;;;;;;
B;214;4176000;10;20240226 01:06;;404;140 B;BEST RD;SEVEN HILLS;2147;152;M;20240109;20240220;665000;;R;RESIDENCE;50;;;50;AT847717;
C;214;4176000;10;20240226 01:06;50/SP97383;
D;214;4176000;10;20240226 01:06;P;;;;;;
D;214;4176000;10;20240226 01:06;P;;;;;;
D;214;4176000;10;20240226 01:06;V;;;;;;
D;214;4176000;10;20240226 01:06;V;;;;;;
B;214;4145142;11;20240226 01:06;;;42;SUNDEW PDE;MARSDEN PARK;2765;417;M;20231204;20240216;860000;R2;V;VACANT LAND;;RMP;;0;AT842077;
C;214;4145142;11;20240226 01:06;2233/1228369;
