A;RTSALEDATA;252;20210215 01:03;VALNET;
B;252;3124538;1;20210215 01:03;;;316;RIVERGLADE RD;WALCHA;2354;871.73;H;20201123;20210208;7000000;RU1;R;RESIDENCE;;RWS;;0;AQ784290;
C;252;3124538;1;20210215 01:03;1/127913 16, 17, 18, 34, 35, 38, 95, 96, 97, 98, 99, 100, 146, 147, 15;
C;252;3124538;1;20210215 01:03;2, 217, 218, 219, 351/756500;
D;252;3124538;1;20210215 01:03;P;;;;;;
D;252;3124538;1;20210215 01:03;P;;;;;;
D;252;3124538;1;20210215 01:03;V;;;;;;
B;252;2677606;2;20210215 01:03;;;171 W;NORTH ST;WALCHA;2354;3794;M;20210113;20210208;188000;R1;R;RESIDENCE;;AAA;;0;AQ783475;
C;252;2677606;2;20210215 01:03;482, 483/756502;
D;252;2677606;2;20210215 01:03;P;;;;;;
D;252;2677606;2;20210215 01:03;V;;;;;;
B;252;3745539;3;20210215 01:03;;;126 S;DERBY ST;WALCHA;2354;3881;M;20210122;20210205;190000;R1;R;RESIDENCE;;AAA;;0;AQ780392;
C;252;3745539;3;20210215 01:03;3/570098;
D;252;3745539;3;20210215 01:03;P;;;;;;
D;252;3745539;3;20210215 01:03;V;;;;;;
D;252;3745539;3;20210215 01:03;V;;;;;;
Z;17;3;4;8;
