A;RTSALEDATA;219;20240212 01:08;VALNET;
B;219;3021979;1;20240212 01:08;;6;21;GROVES AVE;MULGRAVE;2756;;;20231220;20240208;1325000;;3;FACTORY;6;;;0;AT822129;
C;219;3021979;1;20240212 01:08;6/SP71105;
D;219;3021979;1;20240212 01:08;P;;;;;;
D;219;3021979;1;20240212 01:08;V;;;;;;
D;219;3021979;1;20240212 01:08;V;;;;;;
B;219;3167336;2;20240212 01:08;;;542;WINDSOR RD;VINEYARD;2765;3662;M;20230810;20240202;2640000;RU4;V;VACANT LAND;;GDD;;0;AT812309;
C;219;3167336;2;20240212 01:08;60/1070588;
D;219;3167336;2;20240212 01:08;P;;;;;;
D;219;3167336;2;20240212 01:08;V;;;;;;
B;219;3687469;3;20240212 01:08;;;44;MENIN RD;OAKVILLE;2765;5.538;H;20230519;20240206;29625000;R2;R;RESIDENCE;;KDW;;0;AT816900;
C;219;3687469;3;20240212 01:08;2/1180840;
D;219;3687469;3;20240212 01:08;P;;;;;;
D;219;3687469;3;20240212 01:08;V;;;;;;
D;219;3687469;3;20240212 01:08;V;;;;;;
D;219;3687469;3;20240212 01:08;V;;;;;;
D;219;3687469;3;20240212 01:08;V;;;;;;
B;219;3687469;4;20240212 01:08;;;44;MENIN RD;OAKVILLE;2765;5.538;H;20230731;20240206;35000000;R2;R;RESIDENCE;;KDW;;0;AT816901;
C;219;3687469;4;20240212 01:08;2/1180840;
D;219;3687469;4;20240212 01:08;P;;;;;;
D;219;3687469;4;20240212 01:08;V;;;;;;
B;219;2357857;5;20240212 01:08;;;228;HERMITAGE RD;KURRAJONG HILLS;2758;4.99;H;20230907;20240207;2650000;RU4;R;RESIDENCE;;RPP;;0;AT820234;
C;219;2357857;5;20240212 01:08;1003/848888;
D;219;2357857;5;20240212 01:08;P;;;;;;
D;219;2357857;5;20240212 01:08;P;;;;;;
D;219;2357857;5;20240212 01:08;V;;;;;;
D;219;2357857;5;20240212 01:08;V;;;;;;
B;219;2360428;6;20240212 01:08;;;36;LONDONDERRY RD;HOBARTVILLE;2753;676.6;M;20231209;20240205;930000;R3;R;RESIDENCE;;AQA;;0;AT814265;
C;219;2360428;6;20240212 01:08;733/239715;
D;219;2360428;6;20240212 01:08;P;;;;;;
D;219;2360428;6;20240212 01:08;V;;;;;;
D;219;2360428;6;20240212 01:08;V;;;;;;
B;219;2363215;7;20240212 01:08;;;53;OLD BELLS LINE OF ROAD;KURRAJONG;2758;467.9;M;20231213;20240205;867000;R2;R;RESIDENCE;;AEK;;0;AT814890;
C;219;2363215;7;20240212 01:08;13/13511;
D;219;2363215;7;20240212 01:08;P;;;;;;
D;219;2363215;7;20240212 01:08;P;;;;;;
D;219;2363215;7;20240212 01:08;V;;;;;;
B;219;2371100;8;20240212 01:08;;5;16;BOSWORTH ST;RICHMOND;2753;;;20231222;20240131;320000;;R;RESIDENCE;9;;;0;AT812408;
C;219;2371100;8;20240212 01:08;9/SP33332;
D;219;2371100;8;20240212 01:08;P;;;;;;
D;219;2371100;8;20240212 01:08;P;;;;;;
D;219;2371100;8;20240212 01:08;V;;;;;;
B;219;2363472;9;20240212 01:08;;;176;OLD SACKVILLE RD;WILBERFORCE;2756;6.647;H;20231130;20240201;4050000;RU1;R;RESIDENCE;;RQL;;0;AT807076;
C;219;2363472;9;20240212 01:08;PT 513/751665;
D;219;2363472;9;20240212 01:08;P;;;;;;
D;219;2363472;9;20240212 01:08;V;;;;;;
B;219;2363871;10;20240212 01:08;;;103;PEBBLY HILL RD;MARAYLYA;2765;2.349;H;20231209;20240205;2330000;RU4;R;RESIDENCE;;GBB;;0;AT814483;
C;219;2363871;10;20240212 01:08;2/602452;
D;219;2363871;10;20240212 01:08;P;;;;;;
D;219;2363871;10;20240212 01:08;P;;;;;;
D;219;2363871;10;20240212 01:08;V;;;;;;
D;219;2363871;10;20240212 01:08;V;;;;;;
B;219;2356488;11;20240212 01:08;;;22;GREENWAY CRES;WINDSOR;2756;873.7;M;20231220;20240205;813000;R2;R;RESIDENCE;;BBA;;0;AT815642;
C;219;2356488;11;20240212 01:08;1/575559;
D;219;2356488;11;20240212 01:08;P;;;;;;
D;219;2356488;11;20240212 01:08;P;;;;;;
D;219;2356488;11;20240212 01:08;V;;;;;;
B;219;2362153;12;20240212 01:08;;;1;MINCHIN AVE;HOBARTVILLE;2753;560.8;M;20231227;20240207;890000;R3;R;RESIDENCE;;AQA;;0;AT819308;
C;219;2362153;12;20240212 01:08;1082/245717;
D;219;2362153;12;20240212 01:08;P;;;;;;
D;219;2362153;12;20240212 01:08;P;;;;;;
D;219;2362153;12;20240212 01:08;V;;;;;;
D;219;2362153;12;20240212 01:08;V;;;;;;
B;219;2349112;13;20240212 01:08;;;2570;BELLS LINE OF ROAD;BILPIN;2758;18.51;H;20240124;20240129;3600000;RU2;3;FARM;;PGG;;0;AT795297;
C;219;2349112;13;20240212 01:08;24/751626;
D;219;2349112;13;20240212 01:08;P;;;;;;
D;219;2349112;13;20240212 01:08;V;;;;;;
D;219;2349112;13;20240212 01:08;V;;;;;;
B;219;2352048;14;20240212 01:08;;;9;COLLEGE ST;RICHMOND;2753;676.6;M;20231212;20240208;385000;R3;R;RESIDENCE;;AQA;;0;AT823388;
C;219;2352048;14;20240212 01:08;2/538377;
D;219;2352048;14;20240212 01:08;P;;;;;;
D;219;2352048;14;20240212 01:08;V;;;;;;
D;219;2352048;14;20240212 01:08;V;;;;;;
D;219;2352048;14;20240212 01:08;V;;;;;;
B;219;2357370;15;20240212 01:08;;;153;HANCKEL RD;OAKVILLE;2765;2.024;H;20231124;20240207;3700000;RU4;R;RESIDENCE;;LBO;;0;AT820055;
C;219;2357370;15;20240212 01:08;2/576035;
D;219;2357370;15;20240212 01:08;P;;;;;;
D;219;2357370;15;20240212 01:08;V;;;;;;
D;219;2357370;15;20240212 01:08;V;;;;;;
B;219;4466411;16;20240212 01:08;;;85;MAGIC ST;VINEYARD;2765;576.8;M;20231222;20240202;850000;R2;V;VACANT LAND;;OVV;;0;AT811121;
C;219;4466411;16;20240212 01:08;223/1272055;
