A;RTSALEDATA;042;20220815 01:10;VALNET;
B;042;473477;1;20220815 01:10;;;19;BINNI ST;COWRA;2794;1012;M;20220505;20220805;165000;R1;V;VACANT LAND;;ACC;;0;AS366399;
C;042;473477;1;20220815 01:10;4/356093;
D;042;473477;1;20220815 01:10;P;;;;;;
D;042;473477;1;20220815 01:10;V;;;;;;
B;042;473650;2;20220815 01:10;;;53;BRISBANE AVE;COWRA;2794;1011.78;M;20220624;20220805;200000;R1;V;VACANT LAND;;ACS;;0;AS366797;
C;042;473650;2;20220815 01:10;2/7/5909;
D;042;473650;2;20220815 01:10;P;;;;;;
D;042;473650;2;20220815 01:10;P;;;;;;
D;042;473650;2;20220815 01:10;P;;;;;;
D;042;473650;2;20220815 01:10;V;;;;;;
B;042;476636;3;20220815 01:10;;;14;TARONGA DR;COWRA;2794;855.8;M;20220505;20220805;720000;R1;R;RESIDENCE;;ACN;;0;AS367326;
C;042;476636;3;20220815 01:10;14/248539;
D;042;476636;3;20220815 01:10;P;;;;;;
D;042;476636;3;20220815 01:10;P;;;;;;
D;042;476636;3;20220815 01:10;V;;;;;;
D;042;476636;3;20220815 01:10;V;;;;;;
Z;18;3;3;10;
