A;RTSALEDATA;164;20230918 01:06;VALNET;
B;164;3180137;1;20230918 01:06;;;19;NORTH ARM RD;BOWRAVILLE;2449;450;M;20230823;20230913;23900;RU2;V;VACANT LAND;;RCD;;0;AT434224;
C;164;3180137;1;20230918 01:06;19/251792;
D;164;3180137;1;20230918 01:06;P;;;;;;
D;164;3180137;1;20230918 01:06;P;;;;;;
D;164;3180137;1;20230918 01:06;V;;;;;;
B;164;4496913;2;20230918 01:06;;;6;BIRRAW ST;NAMBUCCA HEADS;2448;505.3;M;20210728;20230914;210000;R1;V;VACANT LAND;;ANH;;0;AT439147;
C;164;4496913;2;20230918 01:06;49/1273813;
D;164;4496913;2;20230918 01:06;P;;;;;;
D;164;4496913;2;20230918 01:06;V;;;;;;
B;164;4496923;3;20230918 01:06;;;2;GADUYING CT;NAMBUCCA HEADS;2448;526.6;M;20210728;20230914;230000;R1;V;VACANT LAND;;ANH;;0;AT439571;
C;164;4496923;3;20230918 01:06;59/1273813;
D;164;4496923;3;20230918 01:06;P;;;;;;
D;164;4496923;3;20230918 01:06;V;;;;;;
B;164;4496924;4;20230918 01:06;;;4;GADUYING CT;NAMBUCCA HEADS;2448;499.4;M;20210728;20230914;210000;R1;V;VACANT LAND;;ANH;;0;AT439134;
C;164;4496924;4;20230918 01:06;60/1273813;
D;164;4496924;4;20230918 01:06;P;;;;;;
D;164;4496924;4;20230918 01:06;V;;;;;;
Z;19;4;4;9;
