A;RTSALEDATA;010;20221128 01:05;VALNET;
B;010;3447949;1;20221128 01:05;;;80;WARREN ST;SEAHAM;2324;4046;M;20221011;20221122;850000;RU2;R;RESIDENCE;;RAE;;0;AS653831;
C;010;3447949;1;20221128 01:05;4, 5/7/758899;
D;010;3447949;1;20221128 01:05;P;;;;;;
D;010;3447949;1;20221128 01:05;P;;;;;;
D;010;3447949;1;20221128 01:05;V;;;;;;
B;010;4091253;2;20221128 01:05;;;4;ORIOLE PL;FULLERTON COVE;2318;514.6;M;20221028;20221121;1080000;RU2;R;RESIDENCE;;RAI;;0;AS648521;
C;010;4091253;2;20221128 01:05;217/270695;
D;010;4091253;2;20221128 01:05;P;;;;;;
D;010;4091253;2;20221128 01:05;P;;;;;;
D;010;4091253;2;20221128 01:05;V;;;;;;
D;010;4091253;2;20221128 01:05;V;;;;;;
B;010;4044057;3;20221128 01:05;;;65;SUNNINGDALE CCT;MEDOWIE;2318;980;M;20221011;20221122;399000;R2;R;RESIDENCE;;AAS;;0;AS654072;
C;010;4044057;3;20221128 01:05;160/280007;
D;010;4044057;3;20221128 01:05;P;;;;;;
D;010;4044057;3;20221128 01:05;P;;;;;;
D;010;4044057;3;20221128 01:05;V;;;;;;
B;010;263769;4;20221128 01:05;;;133;GAN GAN RD;ANNA BAY;2316;1409;M;20221005;20221118;4400000;B2;3;COMMERCIAL;;BAB;;0;AS643784;
C;010;263769;4;20221128 01:05;1/857399;
D;010;263769;4;20221128 01:05;P;;;;;;
D;010;263769;4;20221128 01:05;V;;;;;;
B;010;264663;5;20221128 01:05;;;13;BLACKBUTT CRES;MEDOWIE;2318;629.6;M;20221027;20221124;580000;R2;R;RESIDENCE;;AAR;;0;AS660555;
C;010;264663;5;20221128 01:05;189/246947;
D;010;264663;5;20221128 01:05;P;;;;;;
D;010;264663;5;20221128 01:05;V;;;;;;
B;010;266109;6;20221128 01:05;;;13;LAURINA ST;MEDOWIE;2318;727;M;20221027;20221124;700000;R2;R;RESIDENCE;;AAR;;0;AS660642;
C;010;266109;6;20221128 01:05;22/803433;
D;010;266109;6;20221128 01:05;P;;;;;;
D;010;266109;6;20221128 01:05;P;;;;;;
D;010;266109;6;20221128 01:05;V;;;;;;
D;010;266109;6;20221128 01:05;V;;;;;;
B;010;269573;7;20221128 01:05;;;58;JOHN PDE;LEMON TREE PASSAGE;2319;695.6;M;20221014;20221118;706000;R2;R;RESIDENCE;;AAQ;;0;AS647459;
C;010;269573;7;20221128 01:05;86/223671;
D;010;269573;7;20221128 01:05;P;;;;;;
D;010;269573;7;20221128 01:05;P;;;;;;
D;010;269573;7;20221128 01:05;V;;;;;;
D;010;269573;7;20221128 01:05;V;;;;;;
B;010;272166;8;20221128 01:05;;;25;GRAFTON ST;NELSON BAY;2315;689.2;M;20221012;20221123;810000;R2;R;RESIDENCE;;AAC;;0;AS656846;
C;010;272166;8;20221128 01:05;17/B/10861;
D;010;272166;8;20221128 01:05;P;;;;;;
D;010;272166;8;20221128 01:05;V;;;;;;
D;010;272166;8;20221128 01:05;V;;;;;;
D;010;272166;8;20221128 01:05;V;;;;;;
B;010;275053;9;20221128 01:05;;;105;WALLAWA RD;NELSON BAY;2315;815.7;M;20221014;20221122;1200000;R2;R;RESIDENCE;;AAD;;0;AS653667;
C;010;275053;9;20221128 01:05;559/9165;
D;010;275053;9;20221128 01:05;P;;;;;;
D;010;275053;9;20221128 01:05;P;;;;;;
D;010;275053;9;20221128 01:05;V;;;;;;
D;010;275053;9;20221128 01:05;V;;;;;;
B;010;267264;10;20221128 01:05;;;23;AMAROO CRES;FINGAL BAY;2315;877.6;M;20221015;20221121;1200000;R2;R;RESIDENCE;;AAA;;0;AS648665;
C;010;267264;10;20221128 01:05;34/709578;
D;010;267264;10;20221128 01:05;P;;;;;;
D;010;267264;10;20221128 01:05;P;;;;;;
D;010;267264;10;20221128 01:05;V;;;;;;
B;010;269932;11;20221128 01:05;;;4;PURCELL AVE;LEMON TREE PASSAGE;2319;505.9;M;20221011;20221122;720000;R2;R;RESIDENCE;;AAP;;0;AS653376;
C;010;269932;11;20221128 01:05;71/233734;
D;010;269932;11;20221128 01:05;P;;;;;;
D;010;269932;11;20221128 01:05;V;;;;;;
D;010;269932;11;20221128 01:05;V;;;;;;
B;010;286511;12;20221128 01:05;;1;6;THE MAINDECK;CORLETTE;2315;;;20221101;20221122;340000;;R;RESIDENCE;1;;;0;AS653315;
C;010;286511;12;20221128 01:05;1/SP57672;
D;010;286511;12;20221128 01:05;P;;;;;;
D;010;286511;12;20221128 01:05;V;;;;;;
D;010;286511;12;20221128 01:05;V;;;;;;
B;010;278528;13;20221128 01:05;;;2;MIRAGE CL;RAYMOND TERRACE;2324;528.5;M;20221018;20221123;535000;R2;R;RESIDENCE;;ABE;;0;AS656005;
C;010;278528;13;20221128 01:05;20/246039;
D;010;278528;13;20221128 01:05;P;;;;;;
D;010;278528;13;20221128 01:05;V;;;;;;
D;010;278528;13;20221128 01:05;V;;;;;;
B;010;284025;14;20221128 01:05;;;36;KESTREL AVE;SALAMANDER BAY;2317;760.1;M;20220726;20221121;985000;R2;R;RESIDENCE;;AAG;;0;AS648586;
C;010;284025;14;20221128 01:05;19/285046;
D;010;284025;14;20221128 01:05;P;;;;;;
D;010;284025;14;20221128 01:05;V;;;;;;
B;010;286972;15;20221128 01:05;;;4 B;WHITING PL;CORLETTE;2315;327.8;M;20221011;20221122;920000;R2;R;RESIDENCE;;AAE;;0;AS652462;
C;010;286972;15;20221128 01:05;3/1003621;
D;010;286972;15;20221128 01:05;P;;;;;;
D;010;286972;15;20221128 01:05;V;;;;;;
