A;RTSALEDATA;263;20220214 05:38;VALNET;
B;263;4406720;1;20220214 05:39;;;;CORELLA CRES;MULWALA;2647;5823;M;20210720;20220209;273000;R2;V;VACANT LAND;;LMN;;0;AR874297;
C;263;4406720;1;20220214 05:39;175/1273558;
D;263;4406720;1;20220214 05:39;P;;;;;;
D;263;4406720;1;20220214 05:39;P;;;;;;
D;263;4406720;1;20220214 05:39;V;;;;;;
B;263;4406716;2;20220214 05:39;;;;ADAM CL;MULWALA;2647;4117;M;20210527;20220209;239000;R2;V;VACANT LAND;;LMN;;0;AR874316;
C;263;4406716;2;20220214 05:39;171/1273558;
D;263;4406716;2;20220214 05:39;P;;;;;;
D;263;4406716;2;20220214 05:39;P;;;;;;
D;263;4406716;2;20220214 05:39;V;;;;;;
B;263;4406701;3;20220214 05:39;;;;AIDEN END;MULWALA;2647;4661;M;20210622;20220209;248000;R2;R;RESIDENCE;;LMN;;0;AR874317;
C;263;4406701;3;20220214 05:39;156/1273558;
D;263;4406701;3;20220214 05:39;P;;;;;;
D;263;4406701;3;20220214 05:39;V;;;;;;
B;263;4406711;4;20220214 05:39;;;;ADAM CL;MULWALA;2647;4095;M;20210622;20220209;217900;R2;V;VACANT LAND;;LMN;;0;AR874343;
C;263;4406711;4;20220214 05:39;166/1273558;
D;263;4406711;4;20220214 05:39;P;;;;;;
D;263;4406711;4;20220214 05:39;P;;;;;;
D;263;4406711;4;20220214 05:39;V;;;;;;
B;263;4406698;5;20220214 05:39;;;;ADAM CL;MULWALA;2647;4038;M;20210615;20220209;218900;R2;V;VACANT LAND;;LMN;;0;AR874357;
C;263;4406698;5;20220214 05:39;153/1273558;
D;263;4406698;5;20220214 05:39;P;;;;;;
D;263;4406698;5;20220214 05:39;P;;;;;;
D;263;4406698;5;20220214 05:39;V;;;;;;
B;263;4406705;6;20220214 05:39;;;;ADAM CL;MULWALA;2647;4289;M;20210621;20220209;247500;R2;V;VACANT LAND;;LMN;;0;AR874368;
C;263;4406705;6;20220214 05:39;160/1273558;
D;263;4406705;6;20220214 05:39;P;;;;;;
D;263;4406705;6;20220214 05:39;P;;;;;;
D;263;4406705;6;20220214 05:39;V;;;;;;
B;263;515051;7;20220214 05:39;;2;144;FEDERATION AVE;COROWA;2646;;;20211121;20220204;230000;;R;RESIDENCE;2;;;0;AR863022;
C;263;515051;7;20220214 05:39;2/SP35605;
D;263;515051;7;20220214 05:39;P;;;;;;
D;263;515051;7;20220214 05:39;V;;;;;;
D;263;515051;7;20220214 05:39;V;;;;;;
B;263;4406696;8;20220214 05:39;;;151;ADAM CL;MULWALA;2647;4085;M;20210712;20220209;218900;R2;V;VACANT LAND;;LMN;;0;AR874448;
C;263;4406696;8;20220214 05:39;151/1273558;
D;263;4406696;8;20220214 05:39;P;;;;;;
D;263;4406696;8;20220214 05:39;V;;;;;;
B;263;4406714;9;20220214 05:39;;;;ADAM CL;MULWALA;2647;4117;M;20210629;20220209;239000;R2;V;VACANT LAND;;LMN;;0;AR874461;
C;263;4406714;9;20220214 05:39;169/1273558;
D;263;4406714;9;20220214 05:39;P;;;;;;
D;263;4406714;9;20220214 05:39;P;;;;;;
D;263;4406714;9;20220214 05:39;V;;;;;;
B;263;4406713;10;20220214 05:39;;;;ADAM CL;MULWALA;2647;4110;M;20210629;20220209;239000;R2;V;VACANT LAND;;LMN;;0;AR874462;
C;263;4406713;10;20220214 05:39;168/1273558;
D;263;4406713;10;20220214 05:39;P;;;;;;
D;263;4406713;10;20220214 05:39;P;;;;;;
D;263;4406713;10;20220214 05:39;V;;;;;;
B;263;4406695;11;20220214 05:39;;;;ADAM CL;MULWALA;2647;4047;M;20210630;20220209;218900;R2;V;VACANT LAND;;LMN;;0;AR874463;
C;263;4406695;11;20220214 05:39;150/1273558;
D;263;4406695;11;20220214 05:39;P;;;;;;
D;263;4406695;11;20220214 05:39;P;;;;;;
D;263;4406695;11;20220214 05:39;V;;;;;;
B;263;4406703;12;20220214 05:39;;;;ADAM CL;MULWALA;2647;4158;M;20210608;20220209;231000;R2;V;VACANT LAND;;LMN;;0;AR874464;
C;263;4406703;12;20220214 05:39;158/1273558;
D;263;4406703;12;20220214 05:39;P;;;;;;
D;263;4406703;12;20220214 05:39;P;;;;;;
D;263;4406703;12;20220214 05:39;V;;;;;;
B;263;4406704;13;20220214 05:39;;;;ADAM CL;MULWALA;2647;4129;M;20210707;20220209;229000;R2;V;VACANT LAND;;LMN;;0;AR874466;
C;263;4406704;13;20220214 05:39;159/1273558;
D;263;4406704;13;20220214 05:39;P;;;;;;
D;263;4406704;13;20220214 05:39;P;;;;;;
D;263;4406704;13;20220214 05:39;V;;;;;;
B;263;4406700;14;20220214 05:39;;;;ADAM CL;MULWALA;2647;4193;M;20210608;20220209;236500;R2;V;VACANT LAND;;LMN;;0;AR874467;
C;263;4406700;14;20220214 05:39;155/1273558;
D;263;4406700;14;20220214 05:39;P;;;;;;
D;263;4406700;14;20220214 05:39;P;;;;;;
D;263;4406700;14;20220214 05:39;V;;;;;;
B;263;4406699;15;20220214 05:39;;;;ADAM CL;MULWALA;2647;4010;M;20210615;20220209;218900;R2;V;VACANT LAND;;LMN;;0;AR874468;
C;263;4406699;15;20220214 05:39;154/1273558;
D;263;4406699;15;20220214 05:39;P;;;;;;
D;263;4406699;15;20220214 05:39;P;;;;;;
D;263;4406699;15;20220214 05:39;V;;;;;;
B;263;4406708;16;20220214 05:39;;;;ADAM CL;MULWALA;2647;4852;M;20210707;20220209;269500;R2;V;VACANT LAND;;LMN;;0;AR874473;
C;263;4406708;16;20220214 05:39;163/1273558;
D;263;4406708;16;20220214 05:39;P;;;;;;
D;263;4406708;16;20220214 05:39;P;;;;;;
D;263;4406708;16;20220214 05:39;V;;;;;;
B;263;4406721;17;20220214 05:39;;;;CORELLA CRES;MULWALA;2647;5279;M;20210716;20220209;289000;R2;V;VACANT LAND;;LMN;;0;AR874479;
C;263;4406721;17;20220214 05:39;176/1273558;
D;263;4406721;17;20220214 05:39;P;;;;;;
D;263;4406721;17;20220214 05:39;P;;;;;;
D;263;4406721;17;20220214 05:39;V;;;;;;
B;263;4406706;18;20220214 05:39;;;;ADAM CL;MULWALA;2647;4116;M;20210603;20220209;239000;R2;V;VACANT LAND;;LMN;;0;AR874573;
C;263;4406706;18;20220214 05:39;161/1273558;
D;263;4406706;18;20220214 05:39;P;;;;;;
D;263;4406706;18;20220214 05:39;P;;;;;;
D;263;4406706;18;20220214 05:39;V;;;;;;
B;263;2773635;19;20220214 05:39;;;118;HUME ST;COROWA;2646;1012;M;20211101;20220209;485000;R1;R;RESIDENCE;;ACS;;0;AR874589;
C;263;2773635;19;20220214 05:39;13/13/758296;
D;263;2773635;19;20220214 05:39;P;;;;;;
D;263;2773635;19;20220214 05:39;P;;;;;;
D;263;2773635;19;20220214 05:39;V;;;;;;
